Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ACC_NeuN+_Exc	3.4449120063e-06	2.16307927787e-06	0.0556253945608
NAC_NeuN+_D2	1.25725664755e-06	1.61754104781e-06	0.218501474372
DLPFC_NeuN+_Exc	1.0769717738e-06	1.73474036754e-06	0.267357085537
VLPFC_NeuN+_Exc	8.79361530297e-07	1.5416925837e-06	0.284207595462
STC_NeuN+_Exc	1.08476452379e-06	1.94247224114e-06	0.288270168073
DLPFC_NeuN+_VIP	5.97596744776e-07	1.36690229241e-06	0.330986586628
ACC_NeuN+_VIP	5.50561015235e-07	1.39763492125e-06	0.346818819238
PUT_NeuN+_D2	4.74409984871e-07	1.24220909452e-06	0.351264685427
STC_NeuN+_VIP	4.60671611395e-07	1.40608427155e-06	0.371596734092
OFC_NeuN+_VIP	3.34542813508e-07	1.17169774126e-06	0.387622998445
DLPFC_NeuN+_PV	1.42082248571e-07	1.29311699376e-06	0.456253942348
PUT_NeuN+_D1	4.59741215516e-09	1.35085099156e-06	0.49864226435
ACC_NeuN+_PV	-1.69718899373e-07	1.33396708009e-06	0.550620305251
STC_NeuN+_PV	-2.02959858363e-07	1.26161580122e-06	0.563903267052
NAC_NeuN+_D1	-3.13299512702e-07	1.72717365245e-06	0.571970966656
OFC_NeuN+_PV	-2.58821751938e-07	1.19062612138e-06	0.586045019459
OFC_NeuN+_Exc	-4.01134494389e-07	1.58275497458e-06	0.600036151649
VLPFC_NeuN+_PV	-4.38347800157e-07	1.1821182812e-06	0.644612527968
VLPFC_NeuN+_VIP	-1.39997452656e-06	1.21457540382e-06	0.875471981564
