Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DLPFC_NeuN+_VIP	1.95530666371e-07	6.50497098702e-08	0.00132413137103
STC_NeuN+_VIP	1.64754946582e-07	6.11877184591e-08	0.00354470789447
PUT_NeuN+_D1	1.58463821663e-07	6.23148149457e-08	0.00549595624067
VLPFC_NeuN+_VIP	1.40620680985e-07	6.13088192931e-08	0.0109054425365
ACC_NeuN+_VIP	1.23618221156e-07	6.7153030117e-08	0.032822245688
OFC_NeuN+_PV	1.00472982898e-07	5.52675561416e-08	0.0345368152263
NAC_NeuN+_D1	1.25713228449e-07	7.11195469193e-08	0.0385611735736
OFC_NeuN+_VIP	1.07414354305e-07	6.13657331559e-08	0.0400249741473
PUT_NeuN+_D2	9.39119441747e-08	5.60108741847e-08	0.0468031801491
VLPFC_NeuN+_PV	7.71450779818e-08	5.52050618742e-08	0.0811425097832
ACC_NeuN+_PV	6.4757267001e-08	5.37879619092e-08	0.114307146219
DLPFC_NeuN+_PV	5.48682556129e-08	5.67775576098e-08	0.16692897448
STC_NeuN+_PV	4.35863736509e-08	5.38001496815e-08	0.208926011074
NAC_NeuN+_D2	4.5768724274e-08	6.43769318646e-08	0.238557876995
DLPFC_NeuN+_Exc	2.91767958174e-08	7.40485465363e-08	0.346782201902
STC_NeuN+_Exc	4.90976977706e-09	8.48784048853e-08	0.47693614781
VLPFC_NeuN+_Exc	1.04103134298e-09	6.10972030322e-08	0.493202776849
ACC_NeuN+_Exc	-5.58488089629e-08	8.13081593677e-08	0.753920283617
OFC_NeuN+_Exc	-6.13224446984e-08	6.87800936944e-08	0.813688960196
