Name	Coefficient	Coefficient_std_error	Coefficient_P_value
STC_NeuN+_PV	1.01757479467e-06	2.40163441926e-07	1.13258257462e-05
OFC_NeuN+_VIP	1.22605484832e-06	2.92577118066e-07	1.39148331579e-05
DLPFC_NeuN+_VIP	1.10295025615e-06	2.74370834578e-07	2.91083002619e-05
OFC_NeuN+_PV	9.93718067526e-07	2.47681404889e-07	3.00928127144e-05
VLPFC_NeuN+_VIP	1.08301345281e-06	2.77254670056e-07	4.68785777102e-05
STC_NeuN+_VIP	1.05773624598e-06	2.75414064731e-07	6.13842403651e-05
ACC_NeuN+_VIP	1.1340616786e-06	2.95944975423e-07	6.35524045149e-05
ACC_NeuN+_PV	9.76419131272e-07	2.55801907276e-07	6.75172164365e-05
VLPFC_NeuN+_PV	9.35464532298e-07	2.46065319968e-07	7.18556853613e-05
NAC_NeuN+_D2	1.12365492559e-06	3.12803203662e-07	0.000163942464827
PUT_NeuN+_D1	1.1825663966e-06	3.36509621765e-07	0.00022052972133
PUT_NeuN+_D2	1.02506068439e-06	2.93509964246e-07	0.000239330599671
DLPFC_NeuN+_PV	9.39358615016e-07	2.70133470799e-07	0.000253163228269
NAC_NeuN+_D1	1.13563621875e-06	3.6983267549e-07	0.00106787484123
STC_NeuN+_Exc	8.54743858826e-07	2.93092539355e-07	0.00177108574139
VLPFC_NeuN+_Exc	4.38217677913e-07	2.34724254551e-07	0.0309545140824
ACC_NeuN+_Exc	4.85876826996e-07	3.10803446134e-07	0.0589918563617
OFC_NeuN+_Exc	2.0530523824e-07	2.47882026006e-07	0.20376794956
DLPFC_NeuN+_Exc	1.29562772835e-07	2.60406408902e-07	0.309403923799
