Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NAC_NeuN+_D2	1.001057138e-07	4.77181408028e-08	0.0179590026231
DLPFC_NeuN+_PV	5.81977885541e-08	4.52215953159e-08	0.0990564112814
OFC_NeuN+_PV	4.95643958689e-08	4.08377736103e-08	0.112433069628
OFC_NeuN+_Exc	5.13716836661e-08	4.56064460916e-08	0.129995420188
PUT_NeuN+_D2	4.12862812881e-08	4.39567124371e-08	0.173801557008
ACC_NeuN+_PV	3.78704757114e-08	4.41927112743e-08	0.195739186861
STC_NeuN+_PV	3.02374456486e-08	3.6520116996e-08	0.203844641463
VLPFC_NeuN+_PV	3.27447407689e-08	4.12808306587e-08	0.2138251088
PUT_NeuN+_D1	2.14012773374e-08	4.49822760041e-08	0.317118648153
ACC_NeuN+_Exc	2.23923771533e-08	5.11847633828e-08	0.330881165097
DLPFC_NeuN+_Exc	1.36979788678e-08	3.91564294627e-08	0.363234242278
VLPFC_NeuN+_Exc	1.35121168386e-08	4.0120382738e-08	0.368137858391
NAC_NeuN+_D1	1.5759948198e-08	5.61154260866e-08	0.389413199
ACC_NeuN+_VIP	-1.28119889817e-08	3.98920158765e-08	0.625957984915
OFC_NeuN+_VIP	-1.40689263811e-08	3.93616065379e-08	0.639614158479
STC_NeuN+_Exc	-2.18182215969e-08	4.42494537434e-08	0.68901958147
VLPFC_NeuN+_VIP	-2.79787593033e-08	4.06990284945e-08	0.754102042689
DLPFC_NeuN+_VIP	-4.44732907506e-08	4.57760130678e-08	0.834360620415
STC_NeuN+_VIP	-5.18761298763e-08	3.77430119071e-08	0.915350004524
