Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ACC_NeuN+_PV	1.01262618072e-07	3.18089769241e-08	0.000727630114091
DLPFC_NeuN+_PV	9.45686318888e-08	3.03576658943e-08	0.000919262190775
OFC_NeuN+_PV	8.58481815102e-08	2.86390308306e-08	0.00136060047733
VLPFC_NeuN+_PV	7.992394869e-08	2.91421410528e-08	0.00304815432465
STC_NeuN+_PV	7.45289317273e-08	2.91601636008e-08	0.00529647635152
STC_NeuN+_VIP	8.18710618708e-08	3.46832111588e-08	0.00912420731718
OFC_NeuN+_VIP	7.30703872498e-08	3.37550351016e-08	0.0152043542439
VLPFC_NeuN+_VIP	7.14767608038e-08	3.35416598922e-08	0.0165452053123
DLPFC_NeuN+_VIP	7.05974655344e-08	3.43993159147e-08	0.0200706116731
ACC_NeuN+_VIP	6.86988552667e-08	3.84058681473e-08	0.0368267910686
PUT_NeuN+_D2	5.34332571102e-08	3.30657327466e-08	0.0530503181613
PUT_NeuN+_D1	5.3754859309e-08	3.53495442646e-08	0.0641718047447
DLPFC_NeuN+_Exc	5.42609254434e-08	3.96703657115e-08	0.0856881361859
NAC_NeuN+_D2	5.54584594564e-08	4.10231896464e-08	0.0882067369105
VLPFC_NeuN+_Exc	4.69385399738e-08	3.67613112448e-08	0.100828278426
OFC_NeuN+_Exc	3.06424508867e-08	3.92404915133e-08	0.21743402073
NAC_NeuN+_D1	3.39981879016e-08	4.56965559945e-08	0.22843856693
ACC_NeuN+_Exc	1.92245785714e-08	4.29362291076e-08	0.327167807991
STC_NeuN+_Exc	5.4586455612e-09	3.97494145112e-08	0.445386386414
