Name	Coefficient	Coefficient_std_error	Coefficient_P_value
OFC_NeuN+_Exc	6.5978462973e-08	5.76642211657e-08	0.126273727016
STC_NeuN+_Exc	6.74162001442e-08	6.66887710866e-08	0.156030275634
NAC_NeuN+_D2	6.19282855819e-08	6.23286513452e-08	0.160214535768
ACC_NeuN+_Exc	4.98949652505e-08	6.34077425942e-08	0.21567291546
VLPFC_NeuN+_Exc	3.2921330288e-08	5.506753619e-08	0.274974836726
VLPFC_NeuN+_PV	2.459214286e-08	4.33375066671e-08	0.285202091171
PUT_NeuN+_D1	2.89258885746e-08	5.25281273254e-08	0.29092849028
PUT_NeuN+_D2	2.45157603771e-08	4.92417275531e-08	0.309289400789
NAC_NeuN+_D1	3.40655374262e-08	7.26831267862e-08	0.319647178193
VLPFC_NeuN+_VIP	7.44501649507e-09	3.9584864435e-08	0.42540800725
ACC_NeuN+_PV	1.61005045068e-09	4.36122928664e-08	0.485275451379
DLPFC_NeuN+_Exc	-2.29980581933e-09	5.71452644333e-08	0.516051061767
DLPFC_NeuN+_VIP	-9.75870923157e-09	4.12848751837e-08	0.593429123641
STC_NeuN+_PV	-1.25907749825e-08	4.414761161e-08	0.612253465257
OFC_NeuN+_VIP	-1.13216066469e-08	3.95518673829e-08	0.612655557487
DLPFC_NeuN+_PV	-1.36036438526e-08	3.97571491239e-08	0.633887953147
ACC_NeuN+_VIP	-1.66194715123e-08	4.11822385765e-08	0.656731555635
OFC_NeuN+_PV	-1.67339110463e-08	4.07750942102e-08	0.65924203947
STC_NeuN+_VIP	-3.22375546827e-08	3.95122201056e-08	0.792717963109
