Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ACC_NeuN+_Exc	-1.09495651321e-07	3.26517497244e-07	0.631317159683
OFC_NeuN+_Exc	-1.98198526867e-07	2.82989340442e-07	0.758153281529
STC_NeuN+_Exc	-2.3163288604e-07	3.21091137283e-07	0.764666111687
NAC_NeuN+_D1	-2.54446622104e-07	3.30037246651e-07	0.779635672944
VLPFC_NeuN+_Exc	-2.48839160337e-07	2.99677128994e-07	0.796831664657
DLPFC_NeuN+_Exc	-2.19502566218e-07	2.62107686245e-07	0.7988306838
NAC_NeuN+_D2	-2.74597086064e-07	2.69686451346e-07	0.845710602717
ACC_NeuN+_PV	-2.8167010102e-07	2.58359582033e-07	0.862193000215
PUT_NeuN+_D1	-3.2506237469e-07	2.61614884741e-07	0.892978073711
OFC_NeuN+_VIP	-2.90645085878e-07	2.19095457268e-07	0.907674234253
DLPFC_NeuN+_VIP	-3.30527476882e-07	2.36588559857e-07	0.918801640331
ACC_NeuN+_VIP	-3.24873935802e-07	2.26839437475e-07	0.923953231432
PUT_NeuN+_D2	-4.06812956458e-07	2.8094366321e-07	0.926194725912
STC_NeuN+_VIP	-4.19512852558e-07	2.29621540417e-07	0.96614824851
VLPFC_NeuN+_VIP	-4.1902555663e-07	2.20108815778e-07	0.971526670417
STC_NeuN+_PV	-5.61891841269e-07	2.11230283417e-07	0.996094026502
OFC_NeuN+_PV	-5.24842229063e-07	1.95669685656e-07	0.996343963646
DLPFC_NeuN+_PV	-5.864705921e-07	1.93844126089e-07	0.998758786105
VLPFC_NeuN+_PV	-5.77356076266e-07	1.81757533893e-07	0.999254727278
