Name	Coefficient	Coefficient_std_error	Coefficient_P_value
PUT_NeuN+_D2	2.63561134075e-07	1.87679975105e-07	0.0801130661794
DLPFC_NeuN+_Exc	2.10931651985e-07	1.73110357554e-07	0.111520652806
NAC_NeuN+_D1	3.14679116925e-07	2.77941405331e-07	0.128779824462
VLPFC_NeuN+_Exc	1.7191889819e-07	1.80057596235e-07	0.169839556709
PUT_NeuN+_D1	1.64636660109e-07	1.97119505435e-07	0.201799057621
ACC_NeuN+_Exc	8.27623590117e-08	1.99658081547e-07	0.339246494564
VLPFC_NeuN+_VIP	6.94572542726e-08	1.78698190465e-07	0.348754697333
ACC_NeuN+_VIP	5.66127100348e-08	1.78941692501e-07	0.375858877134
NAC_NeuN+_D2	4.71370732461e-08	2.30720397037e-07	0.419058017474
OFC_NeuN+_Exc	2.18713141186e-08	1.80994673407e-07	0.451909063308
DLPFC_NeuN+_VIP	-5.3365950561e-09	1.66233624139e-07	0.512805037357
OFC_NeuN+_VIP	-8.80371868408e-09	1.86211455334e-07	0.518854197923
STC_NeuN+_Exc	-3.0152794551e-08	1.74863573533e-07	0.56845265751
STC_NeuN+_VIP	-9.34585040498e-08	1.67399977306e-07	0.711678385513
VLPFC_NeuN+_PV	-1.22699578555e-07	1.67969172045e-07	0.767454234673
ACC_NeuN+_PV	-1.3154209998e-07	1.77145547905e-07	0.771127485111
DLPFC_NeuN+_PV	-1.51818387005e-07	1.66369094231e-07	0.81925763381
STC_NeuN+_PV	-2.53938511261e-07	1.50424088499e-07	0.954308835804
OFC_NeuN+_PV	-2.71784762171e-07	1.57439732776e-07	0.957851303004
