Name	Coefficient	Coefficient_std_error	Coefficient_P_value
PUT_NeuN+_D2	3.90530449438e-07	2.19112562096e-07	0.0373478815142
VLPFC_NeuN+_PV	2.35875026559e-07	1.56372931194e-07	0.0657243763558
PUT_NeuN+_D1	2.83405717215e-07	1.99586775256e-07	0.0778093132902
NAC_NeuN+_D2	3.63437886191e-07	2.61747475372e-07	0.0824915408024
DLPFC_NeuN+_PV	1.91536809571e-07	1.66376129706e-07	0.124819285601
OFC_NeuN+_PV	1.33199682053e-07	1.5790450122e-07	0.199461625402
NAC_NeuN+_D1	2.54951680335e-07	3.30008216459e-07	0.219890934701
ACC_NeuN+_PV	1.15979135165e-07	1.71996279155e-07	0.250056524867
DLPFC_NeuN+_VIP	1.10526470863e-07	1.6840719414e-07	0.255813974782
ACC_NeuN+_VIP	1.04497931473e-07	1.61367471462e-07	0.25862915151
STC_NeuN+_PV	9.08417748086e-08	1.57737476595e-07	0.282339755015
OFC_NeuN+_VIP	7.33061489477e-08	1.52672277615e-07	0.315559076554
VLPFC_NeuN+_VIP	6.62860029876e-08	1.54251822283e-07	0.333697520768
STC_NeuN+_VIP	-3.39332281492e-09	1.57368046028e-07	0.508601714752
DLPFC_NeuN+_Exc	-1.90796119439e-07	1.60078804919e-07	0.88334755614
VLPFC_NeuN+_Exc	-2.63418379489e-07	1.74519303254e-07	0.934400930146
OFC_NeuN+_Exc	-3.03142050262e-07	1.61035750246e-07	0.970112656004
STC_NeuN+_Exc	-3.10032598881e-07	1.62724751673e-07	0.971626714547
ACC_NeuN+_Exc	-4.89572965033e-07	1.95169767449e-07	0.993936837471
