Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NAC_NeuN+_D2	2.61715176467e-06	2.30310940471e-06	0.127903839999
NAC_NeuN+_D1	2.55608189797e-06	2.4709481416e-06	0.150462012955
PUT_NeuN+_D1	1.17278184053e-06	1.85491254936e-06	0.263609408408
PUT_NeuN+_D2	8.64595295534e-07	1.74361559793e-06	0.309995367434
VLPFC_NeuN+_VIP	5.31013198691e-07	1.70420408046e-06	0.377676011913
OFC_NeuN+_PV	4.47352373847e-07	1.56760305648e-06	0.387679003131
STC_NeuN+_Exc	6.46606192195e-07	2.41403791525e-06	0.394406412581
ACC_NeuN+_PV	1.1427328739e-07	1.62052093581e-06	0.47189132758
VLPFC_NeuN+_PV	-1.68842421817e-09	1.54187306737e-06	0.500436860652
ACC_NeuN+_VIP	-4.08745012423e-07	1.68813169136e-06	0.595659752418
DLPFC_NeuN+_VIP	-5.97005898269e-07	1.65220069777e-06	0.641077284166
STC_NeuN+_PV	-5.8414298143e-07	1.60484764382e-06	0.642065979125
STC_NeuN+_VIP	-6.97690972696e-07	1.66663304641e-06	0.662254171426
DLPFC_NeuN+_PV	-7.42065044703e-07	1.44848580352e-06	0.695780860518
OFC_NeuN+_VIP	-8.90777508233e-07	1.65458848068e-06	0.704838496575
VLPFC_NeuN+_Exc	-1.12585588822e-06	2.04907477881e-06	0.708650284555
ACC_NeuN+_Exc	-1.51277316607e-06	2.72537646599e-06	0.710576414798
DLPFC_NeuN+_Exc	-3.11208192759e-06	2.31667970361e-06	0.910418587228
OFC_NeuN+_Exc	-4.16986895508e-06	1.80691847703e-06	0.989492751055
