Name	Coefficient	Coefficient_std_error	Coefficient_P_value
PUT_NeuN+_D1	3.99362464883e-07	1.8118933052e-07	0.0137580620787
STC_NeuN+_VIP	3.79312936635e-07	2.01957336005e-07	0.0301780331306
PUT_NeuN+_D2	3.07812382596e-07	1.76027517845e-07	0.0401748533755
OFC_NeuN+_VIP	2.65808965617e-07	1.79841205547e-07	0.0697011626963
DLPFC_NeuN+_VIP	2.50475932007e-07	1.87979279416e-07	0.0913536115023
ACC_NeuN+_VIP	2.16193419471e-07	1.7024594015e-07	0.102062114476
ACC_NeuN+_Exc	2.6015326332e-07	2.090571117e-07	0.106673909689
VLPFC_NeuN+_Exc	1.41429883355e-07	1.27229585532e-07	0.133152591049
NAC_NeuN+_D1	2.56007544919e-07	2.31890599205e-07	0.134796266363
ACC_NeuN+_PV	1.91415926156e-07	1.73854083321e-07	0.135445098704
STC_NeuN+_PV	1.83597656945e-07	1.74156636533e-07	0.145893405617
OFC_NeuN+_PV	1.67944936127e-07	1.71989711368e-07	0.164412718337
STC_NeuN+_Exc	1.03157036377e-07	1.57278286913e-07	0.255947899879
VLPFC_NeuN+_VIP	6.7347651442e-08	1.43690745317e-07	0.319642543203
DLPFC_NeuN+_PV	2.81875974771e-08	1.61736516694e-07	0.430822325929
OFC_NeuN+_Exc	1.52617173909e-08	1.37383488247e-07	0.455773107773
DLPFC_NeuN+_Exc	-8.03892006056e-10	1.42192168734e-07	0.50225543224
VLPFC_NeuN+_PV	-8.81027725055e-09	1.66848212729e-07	0.521056020639
NAC_NeuN+_D2	-1.91866647419e-08	1.92732908174e-07	0.539649418276
