Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NAC_NeuN+_D2	6.13577756866e-08	4.11645114504e-08	0.0680397980095
PUT_NeuN+_D2	4.15931243625e-08	4.01492986001e-08	0.150110070903
OFC_NeuN+_VIP	3.29758492794e-08	3.30663062468e-08	0.159318100163
STC_NeuN+_Exc	3.33803040042e-08	3.42027221898e-08	0.164543481846
PUT_NeuN+_D1	3.57307646994e-08	3.82781306456e-08	0.17529354316
DLPFC_NeuN+_VIP	3.09808830236e-08	3.35396889542e-08	0.17781915169
DLPFC_NeuN+_Exc	2.69247626476e-08	3.07551355267e-08	0.190662967212
VLPFC_NeuN+_VIP	2.35645346331e-08	3.35901967183e-08	0.241486123146
ACC_NeuN+_VIP	1.91857729871e-08	3.44185166627e-08	0.288618233312
VLPFC_NeuN+_PV	1.52288980446e-08	3.2045710317e-08	0.317313578895
NAC_NeuN+_D1	1.98374066179e-08	4.64801352123e-08	0.334764972262
OFC_NeuN+_PV	1.29561134452e-08	3.1367025842e-08	0.339785417789
ACC_NeuN+_Exc	1.24319120115e-08	3.89710473817e-08	0.374861817495
STC_NeuN+_VIP	6.44870668473e-09	3.17277158579e-08	0.419469220403
OFC_NeuN+_Exc	5.99422477533e-09	3.26501132917e-08	0.427167668736
DLPFC_NeuN+_PV	5.30388978296e-09	3.0125374588e-08	0.430123189717
VLPFC_NeuN+_Exc	-2.15028950374e-09	3.16650797772e-08	0.527070279053
STC_NeuN+_PV	-3.71500049664e-09	2.86982823414e-08	0.551499315086
ACC_NeuN+_PV	-1.28876601598e-08	3.36422066618e-08	0.649169815874
