Name	Coefficient	Coefficient_std_error	Coefficient_P_value
VLPFC_NeuN+_PV	1.38629856169e-06	9.98689133544e-07	0.0825505278189
PUT_NeuN+_D1	1.0608067278e-06	1.23426606881e-06	0.195042403918
OFC_NeuN+_PV	7.92945905103e-07	9.40581432665e-07	0.199603591322
OFC_NeuN+_VIP	2.2127679783e-07	1.02193715989e-06	0.414288562972
NAC_NeuN+_D1	9.23163645781e-08	1.48978587958e-06	0.475294875761
ACC_NeuN+_PV	-1.27215002833e-08	1.11818873367e-06	0.504538620986
ACC_NeuN+_VIP	-1.49580395795e-08	1.0416250154e-06	0.505728730821
VLPFC_NeuN+_VIP	-4.81545769141e-08	9.84802749678e-07	0.51949958404
STC_NeuN+_Exc	-1.53415707301e-07	1.40653186867e-06	0.543428002978
DLPFC_NeuN+_PV	-1.17264837607e-07	1.00890196402e-06	0.546264933099
NAC_NeuN+_D2	-1.55317265847e-07	1.30059015492e-06	0.54752893198
STC_NeuN+_PV	-2.38496713138e-07	9.95694368348e-07	0.594651918943
DLPFC_NeuN+_VIP	-2.97403528272e-07	9.75883186171e-07	0.61972293779
STC_NeuN+_VIP	-3.54753337061e-07	1.00787840753e-06	0.637573479016
PUT_NeuN+_D2	-4.46578024659e-07	1.16146157921e-06	0.649694791154
DLPFC_NeuN+_Exc	-4.40326905825e-07	1.08849165844e-06	0.657088278121
ACC_NeuN+_Exc	-8.38459929851e-07	1.40363055305e-06	0.724863425544
OFC_NeuN+_Exc	-7.98508727322e-07	1.11607432069e-06	0.76283818262
VLPFC_NeuN+_Exc	-1.02119941271e-06	1.04231676704e-06	0.836392758091
