Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NAC_NeuN+_D2	2.2772473383e-06	1.55465878057e-06	0.0714892243391
ACC_NeuN+_Exc	2.78064535178e-06	1.92518119899e-06	0.0743195519384
VLPFC_NeuN+_Exc	1.55481859402e-06	1.4746840948e-06	0.145863615107
DLPFC_NeuN+_Exc	1.76668971691e-06	1.7416997561e-06	0.155208356571
OFC_NeuN+_Exc	1.4786398354e-06	1.53038262792e-06	0.166974648778
PUT_NeuN+_D2	9.26230587981e-07	1.2129417383e-06	0.222545876344
STC_NeuN+_Exc	6.59961243873e-07	1.82728430604e-06	0.358985984972
DLPFC_NeuN+_PV	3.43967014124e-07	1.24118078549e-06	0.390840581754
NAC_NeuN+_D1	-5.31827218796e-08	1.74662619327e-06	0.512145448418
PUT_NeuN+_D1	-4.96611904421e-08	1.35727022091e-06	0.514593651715
ACC_NeuN+_PV	-2.16724348548e-07	1.31412172073e-06	0.56549634351
DLPFC_NeuN+_VIP	-4.05018300851e-07	1.30676709289e-06	0.62169639031
ACC_NeuN+_VIP	-4.16596054504e-07	1.33864014779e-06	0.622178900035
STC_NeuN+_VIP	-4.49957228262e-07	1.30445320433e-06	0.634930012992
STC_NeuN+_PV	-5.61450205148e-07	1.21916147986e-06	0.677429067341
OFC_NeuN+_PV	-5.68761508047e-07	1.15384920121e-06	0.688967328592
VLPFC_NeuN+_PV	-8.21103009371e-07	1.19480561427e-06	0.754030241179
OFC_NeuN+_VIP	-1.44936123789e-06	1.20369832264e-06	0.885722622704
VLPFC_NeuN+_VIP	-1.84979756915e-06	1.25427842633e-06	0.929865525688
