Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ACC_NeuN+_PV	1.16343840042e-06	2.43485138319e-07	8.84037215451e-07
VLPFC_NeuN+_PV	1.15195667957e-06	2.46009649515e-07	1.41652235088e-06
OFC_NeuN+_VIP	1.22123030995e-06	2.61365875684e-07	1.48782593982e-06
ACC_NeuN+_VIP	1.25067244587e-06	2.80887351414e-07	4.24229800552e-06
STC_NeuN+_VIP	1.1134998653e-06	2.51641657421e-07	4.8233986668e-06
DLPFC_NeuN+_PV	9.897744012e-07	2.34655876969e-07	1.23248929106e-05
VLPFC_NeuN+_VIP	1.09372244842e-06	2.61359814026e-07	1.42747347674e-05
PUT_NeuN+_D2	1.16402395354e-06	3.00700181065e-07	5.4184875535e-05
PUT_NeuN+_D1	1.34630779195e-06	3.52431803107e-07	6.67117881884e-05
OFC_NeuN+_PV	8.89853299779e-07	2.38540924869e-07	9.55876344567e-05
DLPFC_NeuN+_VIP	9.38912486347e-07	2.57164702186e-07	0.000130602395477
NAC_NeuN+_D2	1.14335723895e-06	3.14284792242e-07	0.000137400099099
STC_NeuN+_PV	8.40404223927e-07	2.31289539646e-07	0.000139769161049
NAC_NeuN+_D1	1.24267444921e-06	3.80533655513e-07	0.000546143172747
STC_NeuN+_Exc	9.5199881841e-07	3.19616774417e-07	0.00144801566253
ACC_NeuN+_Exc	9.52319609742e-07	3.25472229834e-07	0.00171696044117
DLPFC_NeuN+_Exc	4.73143235057e-07	2.74160292921e-07	0.0421925527815
VLPFC_NeuN+_Exc	3.74034881408e-07	2.29472825791e-07	0.051553430854
OFC_NeuN+_Exc	3.83942405396e-07	2.52608646586e-07	0.064266799722
