Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ACC_NeuN+_VIP	1.30860897496e-07	3.80235484263e-08	0.000289168953084
STC_NeuN+_VIP	1.25919322774e-07	3.75034502032e-08	0.000393197254513
VLPFC_NeuN+_PV	1.31938252741e-07	4.50093626303e-08	0.00168745458435
STC_NeuN+_PV	1.01479318021e-07	3.47518049914e-08	0.0017495029619
OFC_NeuN+_VIP	1.1136048631e-07	3.87296619583e-08	0.00201803909507
VLPFC_NeuN+_VIP	1.12379465805e-07	4.09253019217e-08	0.00301665569477
NAC_NeuN+_D1	1.5898588568e-07	6.03662464485e-08	0.00422314756511
OFC_NeuN+_PV	8.80696459543e-08	3.37069433374e-08	0.00449013560289
DLPFC_NeuN+_VIP	1.0725311085e-07	4.33445413138e-08	0.00667241508239
PUT_NeuN+_D1	1.27235069063e-07	5.33982704953e-08	0.00859178122748
NAC_NeuN+_D2	1.12806113273e-07	4.81897115293e-08	0.0096192916342
PUT_NeuN+_D2	1.07291915766e-07	4.62136772463e-08	0.0101259342914
ACC_NeuN+_PV	7.84717023259e-08	3.51918147526e-08	0.0128794239431
DLPFC_NeuN+_PV	8.2119227589e-08	4.06846901952e-08	0.0217732125379
STC_NeuN+_Exc	8.54361244857e-08	5.03303591437e-08	0.0448004478159
VLPFC_NeuN+_Exc	4.9774957649e-08	4.18282881554e-08	0.117026509538
ACC_NeuN+_Exc	4.06671117616e-08	5.35817406309e-08	0.223934257424
OFC_NeuN+_Exc	3.27415082701e-08	4.64719677718e-08	0.240547282541
DLPFC_NeuN+_Exc	-1.52548871096e-08	4.40835875143e-08	0.635345398991
