Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NAC_NeuN+_D2	1.05428563246e-07	4.92719447979e-08	0.016188374679
PUT_NeuN+_D2	7.96016758233e-08	4.58768496337e-08	0.041360091843
OFC_NeuN+_Exc	4.14380732943e-08	3.90424780446e-08	0.144263461828
STC_NeuN+_PV	3.70581649843e-08	3.52299273764e-08	0.146423989901
VLPFC_NeuN+_PV	4.28678267575e-08	4.29763147129e-08	0.159266847614
ACC_NeuN+_PV	4.09661649802e-08	4.28004328628e-08	0.169247362756
NAC_NeuN+_D1	5.70724475275e-08	5.99703033171e-08	0.170630031485
OFC_NeuN+_PV	3.4997624999e-08	3.93703511956e-08	0.187019403824
PUT_NeuN+_D1	4.09572083023e-08	4.71415060418e-08	0.192474391494
VLPFC_NeuN+_Exc	3.05513230557e-08	3.65576021242e-08	0.201660808954
STC_NeuN+_Exc	3.38322363178e-08	4.08015791791e-08	0.203498625496
DLPFC_NeuN+_VIP	3.05300229716e-08	4.8476712662e-08	0.264416844274
DLPFC_NeuN+_PV	2.55969465576e-08	4.10558219338e-08	0.266488869306
ACC_NeuN+_VIP	2.66482297778e-08	4.38385361666e-08	0.271636101614
OFC_NeuN+_VIP	2.3410845496e-08	4.33412818712e-08	0.294546381196
STC_NeuN+_VIP	1.57626078884e-08	3.79176728978e-08	0.338812538839
VLPFC_NeuN+_VIP	1.33033422739e-08	4.65911241883e-08	0.387617593875
ACC_NeuN+_Exc	-2.23846574872e-09	4.45590493883e-08	0.520032814294
DLPFC_NeuN+_Exc	-2.70757517729e-08	3.78561861017e-08	0.762765486562
