Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ACC_PV_0.984375	1.91679126835e-07	7.63554129588e-07	0.40089336472
DLPFC_VIP_0.96875	1.21756018031e-07	5.27612339595e-07	0.408747540688
DLPFC_VIP_0.9375	9.06780692667e-08	4.36346445426e-07	0.417687843902
ACC_PV_0.96875	7.67244092563e-08	5.96923833879e-07	0.448863593538
VLPFC_VIP_0.96875	-1.33125215526e-09	4.11541792016e-07	0.501290493103
DLPFC_VIP_0.984375	-1.94946395459e-08	6.36700361938e-07	0.512212999127
DLPFC_PV_0.96875	-3.66942283011e-08	4.93979375749e-07	0.529607364596
ACC_PV_0.9375	-3.48412995743e-08	4.6482448046e-07	0.529875067815
DLPFC_VIP_0.875	-3.0946020448e-08	3.44347473494e-07	0.535804177473
DLPFC_SST_0.9375	-3.92596953014e-08	3.81974226643e-07	0.540931609805
ACC_VIP_0.984375	-5.72556969581e-08	4.66806701655e-07	0.548809443923
VLPFC_PV_0.96875	-8.40090519346e-08	4.23450293107e-07	0.578630720839
VLPFC_VIP_0.9375	-7.12664042247e-08	3.49339390019e-07	0.580824557661
VLPFC_PV_0.984375	-1.02757583471e-07	4.95256487815e-07	0.582183888091
VLPFC_VIP_0.984375	-1.04802022259e-07	4.78285244351e-07	0.58672184411
ACC_PV_0.875	-8.63528861774e-08	3.31462003621e-07	0.602769126168
STC_VIP_0.875	-9.16433679964e-08	3.1688507085e-07	0.613786082201
NAC_PV_0.875	-8.67728218029e-08	2.77626642042e-07	0.622689556234
ACC_SST_0.96875	-1.26970963552e-07	3.74658720696e-07	0.63265658616
DLPFC_EXC_0.984375	-1.13258333223e-07	2.603405846e-07	0.668232976092
DLPFC_PV_0.875	-1.31043112208e-07	2.92712246229e-07	0.672810009551
ACC_VIP_0.9375	-1.54948275249e-07	3.37802166697e-07	0.676773514807
OFC_PV_0.96875	-2.09787873199e-07	4.55054116394e-07	0.677606945231
STC_SST_0.9375	-1.49603765071e-07	3.24061443143e-07	0.677834718925
VLPFC_SST_0.9375	-1.46932186231e-07	3.09621506758e-07	0.682447621035
DLPFC_PV_0.9375	-1.90048243489e-07	3.98515677553e-07	0.683279864547
ACC_VIP_0.96875	-1.95909941618e-07	3.91057664892e-07	0.691805486436
VLPFC_PV_0.9375	-1.70098414428e-07	3.29318728661e-07	0.697252989807
NAC_D1_0.984375	-2.20599169365e-07	3.89393115172e-07	0.714479988086
OFC_VIP_0.984375	-2.84582715546e-07	4.93770902619e-07	0.717809216137
ACC_VIP_0.875	-1.60734488358e-07	2.78045935883e-07	0.718397001654
OFC_VIP_0.9375	-1.98866615284e-07	3.43863252315e-07	0.718479505299
NAC_PV_0.75	-1.32841015658e-07	2.18962106204e-07	0.727969995911
STC_PV_0.875	-1.78154014059e-07	2.8350426339e-07	0.735128956314
DLPFC_SST_0.875	-1.90671405307e-07	2.96064089179e-07	0.740218998158
ACC_PV_0.75	-1.81375606685e-07	2.46201559958e-07	0.769346259332
ACC_EXC_0.9375	-2.01892000332e-07	2.56251649882e-07	0.784612498003
OFC_PV_0.9375	-2.64486648098e-07	3.3565268247e-07	0.784644967639
STC_VIP_0.75	-2.02429635211e-07	2.56189598519e-07	0.785281536615
ACC_SST_0.875	-2.11882451908e-07	2.62427658204e-07	0.790280167617
VLPFC_SST_0.875	-2.00720992264e-07	2.44985073079e-07	0.793697860661
ACC_SST_0.9375	-2.56891629266e-07	3.1265407206e-07	0.794361401887
OFC_SST_0.9375	-2.55761078689e-07	3.11014176463e-07	0.794559828853
VLPFC_PV_0.875	-2.02201746284e-07	2.44965745844e-07	0.795435864151
ACC_EXC_0.984375	-2.63898554797e-07	3.19186977811e-07	0.795820133081
ACC_EXC_0.96875	-2.30113800101e-07	2.77260948315e-07	0.796717570333
