Name	Coefficient	Coefficient_std_error	Coefficient_P_value
PUT_Cpu-D1_cutoff0.9375	7.503436960051144e-07	4.3356011790783183e-07	0.041756511732886116
PUT_Cpu-D2_cutoff0.9375	4.013168558034902e-07	4.389533379445876e-07	0.18029049448804307
PUT_Cpu-D1_cutoff0.5	6.70182110844752e-09	7.844401888518168e-08	0.46595800560398215
PUT_Cpu-D1_cutoff0.875	6.6250916238733035e-09	1.9209984803028657e-07	0.48624410512448923
NAC_Nac-D1_cutoff0.9375	4.04613859365491e-09	4.042075132707035e-07	0.49600663335604533
STC_Ctx-EXC_cutoff0.9375	-1.921089363279304e-08	3.5741046291738936e-07	0.5214329175071927
PUT_Cpu-D2_cutoff0.5	-1.2892413194518835e-08	8.034119101096194e-08	0.5637448793212564
NAC_Nac-D2_cutoff0.5	-1.7052819678185177e-08	8.291736060209973e-08	0.5814719132939029
VLPFC_Ctx-EXC_cutoff0.875	-3.332740863434651e-08	1.4398901243762174e-07	0.5915204940916997
PUT_Cpu-D2_cutoff0.875	-4.81896656795249e-08	1.923261262143963e-07	0.5989237120517156
PUT_Cpu-D1_cutoff0.75	-2.837777112182733e-08	1.0349835387723587e-07	0.6080290508732772
PUT_Cpu-D2_cutoff0.75	-3.5228943372584464e-08	1.0894857012291126e-07	0.6267863750700513
NAC_Nac-D1_cutoff0.5	-4.24911820186098e-08	8.042841929367701e-08	0.7013580930270811
NAC_Nac-D2_cutoff0.75	-6.101195765925656e-08	1.0490642726768056e-07	0.7195767250928341
NAC_Nac-D2_cutoff0.875	-1.3162721435353382e-07	1.742609146912447e-07	0.7749791762246967
VLPFC_Ctx-EXC_cutoff0.9375	-3.202043432155857e-07	3.315764985753865e-07	0.8329035335416627
STC_Ctx-EXC_cutoff0.75	-8.468948364245836e-08	8.739240734925896e-08	0.8337452200585331
NAC_Nac-D1_cutoff0.75	-1.2724678052197442e-07	1.194325224059602e-07	0.8566589054214775
NAC_Nac-D2_cutoff0.9375	-4.15035621686092e-07	3.6208846135811606e-07	0.8741494096215845
NAC_Nac-D1_cutoff0.875	-2.3688689536025408e-07	2.0278547845174918e-07	0.8786298892379623
ACC_Ctx-EXC_cutoff0.5	-1.056239556317322e-07	8.45969520605711e-08	0.8940860776250721
DLPFC_Ctx-EXC_cutoff0.9375	-4.0950631209455543e-07	3.1802064687033546e-07	0.9010699340878432
STC_Ctx-EXC_cutoff0.875	-2.091130202591482e-07	1.5044374858128687e-07	0.9177317360412283
OFC_Ctx-EXC_cutoff0.9375	-4.769424477665094e-07	3.376302348648114e-07	0.921115919912805
OFC_Ctx-EXC_cutoff0.75	-1.1701099757816856e-07	8.094357211433066e-08	0.9258535006053864
ACC_Ctx-EXC_cutoff0.875	-2.55458736988651e-07	1.6984890453767036e-07	0.9337138526806609
VLPFC_Ctx-EXC_cutoff0.5	-1.0369411783839119e-07	6.790897913359481e-08	0.93661419692693
STC_Ctx-EXC_cutoff0.5	-1.1496722427641125e-07	7.373228192871563e-08	0.940531652185642
ACC_Ctx-EXC_cutoff0.75	-1.573611607969345e-07	9.898802527902472e-08	0.9440486608380371
VLPFC_Ctx-EXC_cutoff0.75	-1.3503801816930437e-07	8.066759586240366e-08	0.9529352639584977
OFC_Ctx-EXC_cutoff0.5	-1.1977768537603106e-07	7.042038497796101e-08	0.9555186533777009
DLPFC_Ctx-EXC_cutoff0.5	-1.2512297170701435e-07	7.003424428539064e-08	0.9629986776489284
DLPFC_Ctx-EXC_cutoff0.875	-2.451582883798829e-07	1.33691175843629e-07	0.9666556069792336
OFC_Ctx-EXC_cutoff0.875	-2.8682438692633127e-07	1.431899163713599e-07	0.9774169713562831
DLPFC_Ctx-EXC_cutoff0.75	-1.7862108804407334e-07	7.770383539634125e-08	0.9892402095726774
ACC_Ctx-EXC_cutoff0.9375	-1.0047308262144462e-06	3.6137650777890795e-07	0.9972844659288614
