Name	Coefficient	Coefficient_std_error	Coefficient_P_value
OFC_EXC_0.5	3.11753847204e-07	9.60061748574e-08	0.000582676929507
OFC_EXC_0.984375	4.49858871477e-07	1.41436816016e-07	0.000734763543397
OFC_EXC_0.75	3.14169292708e-07	9.89755033281e-08	0.000751217916912
OFC_PV_0.5	2.97245484025e-07	9.55666539769e-08	0.000934337438733
OFC_EXC_0.875	3.02282289964e-07	1.01780661229e-07	0.00148929754973
DLPFC_EXC_0.5	2.80565029672e-07	9.91053658889e-08	0.00232030155992
DLPFC_PV_0.5	2.90778694113e-07	1.03018094815e-07	0.0023818111788
OFC_EXC_0.96875	3.50420741331e-07	1.25788866113e-07	0.00266991347668
OFC_EXC_0.9375	3.20230827387e-07	1.1642265504e-07	0.0029744151212
OFC_SST_0.5	2.96052310621e-07	1.07980051401e-07	0.00305581365194
OFC_PV_0.75	3.15338022631e-07	1.15582728419e-07	0.00318361307652
VLPFC_SST_0.5	2.70283280217e-07	1.03396444721e-07	0.00447382189683
VLPFC_PV_0.5	2.48728681546e-07	9.61924185949e-08	0.00485849566343
STC_PV_0.5	2.78997371743e-07	1.12410337249e-07	0.00653319313723
VLPFC_EXC_0.5	2.42620180476e-07	9.84580972433e-08	0.00686602432189
STC_EXC_0.75	2.7432936565e-07	1.12285396657e-07	0.0072799681683
OFC_VIP_0.5	2.77954047196e-07	1.14499066888e-07	0.00760025943382
VLPFC_EXC_0.75	2.3568437133e-07	9.9414343601e-08	0.00887654446278
OFC_VIP_0.75	3.1483535111e-07	1.35654534847e-07	0.0101471671919
DLPFC_PV_0.75	2.81728702714e-07	1.21498150858e-07	0.0102032116165
DLPFC_EXC_0.75	2.35531639897e-07	1.03496420451e-07	0.0114305865062
DLPFC_SST_0.5	2.39289086915e-07	1.06116273931e-07	0.0120675844494
STC_EXC_0.5	2.41205214309e-07	1.09506715356e-07	0.0138096336673
OFC_PV_0.875	3.15763598534e-07	1.45232700316e-07	0.0148454051159
STC_EXC_0.9375	2.85979883245e-07	1.32823868361e-07	0.0156563530338
ACC_PV_0.75	2.75242213303e-07	1.34154833479e-07	0.0201005944159
STC_EXC_0.875	2.41580326067e-07	1.1914224518e-07	0.0212973255604
VLPFC_EXC_0.875	2.15057073259e-07	1.09366422473e-07	0.0246267710193
ACC_SST_0.5	2.42569512001e-07	1.23368047356e-07	0.0246362319324
ACC_PV_0.5	2.3811740906e-07	1.22145881262e-07	0.0256207951741
OFC_PV_0.9375	3.57085130091e-07	1.86442785653e-07	0.0277301144407
VLPFC_PV_0.75	2.13123292992e-07	1.11745541717e-07	0.0282460749594
STC_PV_0.75	2.37704958794e-07	1.25000174982e-07	0.0286093131009
STC_SST_0.5	2.27078948345e-07	1.20379049881e-07	0.0296228246269
DLPFC_EXC_0.875	2.09503097857e-07	1.11560842593e-07	0.0301955887213
OFC_PV_0.96875	3.37908745742e-07	1.80050761345e-07	0.0302767621521
STC_PV_0.875	2.84705409738e-07	1.51848033945e-07	0.0304007351903
OFC_SST_0.75	2.31015552402e-07	1.24405633968e-07	0.0316588421227
DLPFC_VIP_0.5	2.1903965948e-07	1.20502904992e-07	0.0345540286484
DLPFC_VIP_0.875	2.80883483645e-07	1.55664172462e-07	0.035582776442
DLPFC_VIP_0.75	2.48735264398e-07	1.38032929357e-07	0.0357727451271
VLPFC_VIP_0.5	2.0144202298e-07	1.13786279426e-07	0.0383340732887
DLPFC_EXC_0.9375	2.11223509101e-07	1.19427014532e-07	0.0384769057296
ACC_VIP_0.9375	3.50151308326e-07	1.98103572642e-07	0.0385708946676
ACC_VIP_0.75	2.72939509268e-07	1.5463481237e-07	0.0387769567195
VLPFC_VIP_0.75	2.38177707395e-07	1.35523068414e-07	0.0394188778362
ACC_PV_0.875	2.99829828443e-07	1.70636791321e-07	0.0394484242002
ACC_VIP_0.875	2.77196295584e-07	1.61206036817e-07	0.0427602645263
ACC_EXC_0.5	1.89144183567e-07	1.10320172818e-07	0.0432182628899
DLPFC_SST_0.75	2.1007942496e-07	1.24563661307e-07	0.0458475967721
OFC_SST_0.875	2.3949318e-07	1.42346147201e-07	0.046238829478
STC_VIP_0.75	2.23119782561e-07	1.36817206649e-07	0.0514675889952
STC_EXC_0.96875	2.27586110831e-07	1.42996464268e-07	0.0557428568705
ACC_EXC_0.875	1.88033257984e-07	1.22336797073e-07	0.0621450524511
OFC_VIP_0.875	2.36688315452e-07	1.54079943249e-07	0.0622520625177
ACC_EXC_0.984375	2.43792755548e-07	1.59520693596e-07	0.0632211511416
VLPFC_VIP_0.984375	3.2188033478e-07	2.13490060578e-07	0.0658148409356
OFC_VIP_0.96875	2.86215487033e-07	1.91711036986e-07	0.0677248002403
ACC_EXC_0.75	1.65804708829e-07	1.13288301619e-07	0.0716565225008
