Name	Coefficient	Coefficient_std_error	Coefficient_P_value
PUT_Cpu-D2_cutoff0.9375	7.049687386775963e-07	4.991967444772338e-07	0.07894462741359448
NAC_Nac-D1_cutoff0.875	3.8691004411546564e-07	3.0851940322974023e-07	0.10490526830658503
NAC_Nac-D2_cutoff0.75	1.5856694041807872e-07	1.2851441206078337e-07	0.10863022398443212
NAC_Nac-D1_cutoff0.75	1.6772908042331774e-07	1.421528592091057e-07	0.11901590702948744
PUT_Cpu-D1_cutoff0.9375	4.2528626113258475e-07	3.9674419647449025e-07	0.14187332864519764
DLPFC_Ctx-EXC_cutoff0.75	9.980771562131995e-08	9.385452626294187e-08	0.14379350482638592
PUT_Cpu-D2_cutoff0.875	1.9187093409284057e-07	1.861058242176356e-07	0.15127566453367536
PUT_Cpu-D2_cutoff0.75	9.803224441148658e-08	1.0979794434324964e-07	0.18597082669682669
PUT_Cpu-D2_cutoff0.5	7.476411537532473e-08	8.684582349191378e-08	0.1946511720025163
PUT_Cpu-D1_cutoff0.5	6.89248478557848e-08	8.241811453223929e-08	0.20149792625291368
STC_Ctx-EXC_cutoff0.75	7.915991039733583e-08	9.632471557318473e-08	0.20559460118226885
PUT_Cpu-D1_cutoff0.875	1.3301971355223708e-07	1.7893471910809392e-07	0.2286203753118663
ACC_Ctx-EXC_cutoff0.75	6.45161127954743e-08	1.0797898165095647e-07	0.27509091016752274
NAC_Nac-D1_cutoff0.9375	3.148531313877842e-07	5.396311839039222e-07	0.27979188781411185
NAC_Nac-D1_cutoff0.5	5.844749193263092e-08	1.0102640110512606e-07	0.28145087607554425
VLPFC_Ctx-EXC_cutoff0.75	5.28180685089351e-08	9.347882712792211e-08	0.2860276733973762
PUT_Cpu-D1_cutoff0.75	5.5462369087392286e-08	1.0246625766918144e-07	0.2941592080808253
NAC_Nac-D2_cutoff0.875	9.747169370446035e-08	2.231315377765276e-07	0.3311154609315362
VLPFC_Ctx-EXC_cutoff0.5	2.9173443343343404e-08	6.729238481951648e-08	0.33231393968878437
NAC_Nac-D2_cutoff0.5	3.7934187312166526e-08	9.867696112778213e-08	0.35033062359386474
STC_Ctx-EXC_cutoff0.5	2.66377550978284e-08	7.221416490905741e-08	0.356111713589101
NAC_Nac-D2_cutoff0.9375	6.671826742856314e-08	4.555280883489381e-07	0.441777725613802
VLPFC_Ctx-EXC_cutoff0.9375	9.278565365778173e-08	7.287620905550643e-07	0.44934374800004667
OFC_Ctx-EXC_cutoff0.75	4.954114700856861e-09	9.561838637539797e-08	0.47933951827895155
DLPFC_Ctx-EXC_cutoff0.5	2.491513916302115e-09	6.434640896405722e-08	0.4845566839751611
ACC_Ctx-EXC_cutoff0.5	-2.6101406073721407e-08	7.580220170527151e-08	0.634703089751311
OFC_Ctx-EXC_cutoff0.5	-4.846988071393127e-08	6.80749169824744e-08	0.7617700672135269
OFC_Ctx-EXC_cutoff0.875	-1.154001716025542e-07	1.435364075093309e-07	0.7892952758518663
DLPFC_Ctx-EXC_cutoff0.875	-1.6827495149101091e-07	1.5694892082252618e-07	0.8581767668325717
ACC_Ctx-EXC_cutoff0.875	-1.9518771937825908e-07	1.4744184781379204e-07	0.9072199947436262
STC_Ctx-EXC_cutoff0.9375	-6.643380072093662e-07	4.327780555303283e-07	0.9376148092424652
OFC_Ctx-EXC_cutoff0.9375	-5.700237560268886e-07	3.2444092405875717e-07	0.9605361179659245
VLPFC_Ctx-EXC_cutoff0.875	-2.7519931328295567e-07	1.5040365787786172e-07	0.9663554496187259
DLPFC_Ctx-EXC_cutoff0.9375	-6.208961233689472e-07	3.3922915527958674e-07	0.9663985557869328
STC_Ctx-EXC_cutoff0.875	-3.1915573666296623e-07	1.3162849935862624e-07	0.9923388563080606
ACC_Ctx-EXC_cutoff0.9375	-9.277900169304233e-07	3.533747148269249e-07	0.9956740786784344
