Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NAC_Nac-D2_cutoff0.75	8.684196725609102e-08	3.630434010899499e-08	0.008377172665543088
NAC_Nac-D2_cutoff0.875	1.4397201558704938e-07	6.484251452592618e-08	0.013198064378988066
NAC_Nac-D1_cutoff0.5	6.463361996302105e-08	3.031888169462708e-08	0.016511879156703893
PUT_Cpu-D2_cutoff0.75	7.058053905705266e-08	3.8867643570675104e-08	0.03469130714737961
PUT_Cpu-D1_cutoff0.75	6.18679872371389e-08	3.5724722318603345e-08	0.041654805642734834
PUT_Cpu-D2_cutoff0.875	1.248703321320792e-07	7.280099557591971e-08	0.04315168375819608
PUT_Cpu-D1_cutoff0.5	4.7679219414821985e-08	2.8147801310038174e-08	0.045143295478480304
NAC_Nac-D2_cutoff0.5	4.8669733986803326e-08	3.132547255625446e-08	0.060130482874777534
NAC_Nac-D1_cutoff0.75	5.7852489883100716e-08	3.910560088632645e-08	0.06951786781898274
PUT_Cpu-D2_cutoff0.5	3.3639144456052035e-08	3.1913964861606585e-08	0.14592836482484534
PUT_Cpu-D1_cutoff0.875	6.539124194470706e-08	7.465721703629977e-08	0.19054589362006924
DLPFC_Ctx-EXC_cutoff0.5	2.091909590064426e-08	2.781604410183834e-08	0.22601006374353688
PUT_Cpu-D2_cutoff0.9375	1.0052090361746147e-07	1.449250643187867e-07	0.24396464451576488
NAC_Nac-D1_cutoff0.875	4.728889439543526e-08	8.552821675959925e-08	0.2901645691922813
PUT_Cpu-D1_cutoff0.9375	7.747820133837311e-08	1.465614265888344e-07	0.29852767719226436
OFC_Ctx-EXC_cutoff0.9375	5.794712848659083e-08	1.336175066276149e-07	0.3322607198080343
VLPFC_Ctx-EXC_cutoff0.5	1.0140060381980477e-08	2.7566790944658157e-08	0.35649773129507323
VLPFC_Ctx-EXC_cutoff0.9375	2.2462005362200117e-08	1.326053249678295e-07	0.43274497588328625
VLPFC_Ctx-EXC_cutoff0.75	1.8183683277695708e-09	3.326497950978638e-08	0.4782034165801589
OFC_Ctx-EXC_cutoff0.5	-2.805238044917742e-10	2.480524383523732e-08	0.5045115630207628
STC_Ctx-EXC_cutoff0.9375	-1.3880251415945288e-08	1.5705548588308316e-07	0.5352118811012478
DLPFC_Ctx-EXC_cutoff0.875	-1.5788103814341352e-08	5.1286912642080944e-08	0.6208975180346905
DLPFC_Ctx-EXC_cutoff0.75	-1.1884917178963226e-08	3.7438317545647943e-08	0.6245501625366303
ACC_Ctx-EXC_cutoff0.5	-1.4218947210934174e-08	3.3304414334564764e-08	0.6652880536457808
DLPFC_Ctx-EXC_cutoff0.9375	-7.472083839559596e-08	1.240154402927428e-07	0.7265834383420336
ACC_Ctx-EXC_cutoff0.75	-2.393828240012261e-08	3.891954574181318e-08	0.7307460707236451
STC_Ctx-EXC_cutoff0.875	-4.126229158368729e-08	5.718980971151314e-08	0.7646981901689525
NAC_Nac-D1_cutoff0.9375	-1.1356463484321851e-07	1.5407518898520427e-07	0.769460968121731
STC_Ctx-EXC_cutoff0.5	-2.3143456527760657e-08	3.1259966475338776e-08	0.770457537102959
ACC_Ctx-EXC_cutoff0.875	-4.752564616606354e-08	6.333986873588474e-08	0.7734712618557616
VLPFC_Ctx-EXC_cutoff0.875	-4.368024489947944e-08	5.56836576110092e-08	0.7836077299776432
NAC_Nac-D2_cutoff0.9375	-1.0887055723362596e-07	1.3758199384051794e-07	0.7856196082555289
STC_Ctx-EXC_cutoff0.75	-3.015671716733143e-08	3.80361610529149e-08	0.7860654504677458
OFC_Ctx-EXC_cutoff0.75	-3.340741170648876e-08	3.3817221034024525e-08	0.8383946903937757
ACC_Ctx-EXC_cutoff0.9375	-1.752182533186671e-07	1.4468069753726824e-07	0.8870654474304875
OFC_Ctx-EXC_cutoff0.875	-8.937777772966487e-08	5.552655899868006e-08	0.9462617791116104
