Name	Coefficient	Coefficient_std_error	Coefficient_P_value
OFC_VIP_0.9375	2.61062206597e-06	1.45707255639e-06	0.0365913330826
OFC_VIP_0.96875	2.47414325651e-06	1.57580134755e-06	0.0581975804801
NAC_SST_0.875	2.2129485103e-06	1.44325265719e-06	0.0626001914285
OFC_PV_0.984375	2.44653251783e-06	1.80905007593e-06	0.0881260634613
OFC_VIP_0.875	1.59013856619e-06	1.23810694916e-06	0.0995131627291
NAC_D2_0.75	1.41734118479e-06	1.10426738364e-06	0.0996562607104
NAC_SST_0.9375	1.65201902929e-06	1.55835185657e-06	0.14454806138
PUT_D1_0.96875	1.42593299519e-06	1.39841226466e-06	0.153940128856
NAC_SST_0.75	1.22453881403e-06	1.24217497664e-06	0.162115095111
ACC_PV_0.984375	2.10473074101e-06	2.13992111452e-06	0.16266710774
OFC_PV_0.96875	1.48528310622e-06	1.51493924871e-06	0.163438383649
NAC_D2_0.875	1.19992180734e-06	1.22462284707e-06	0.163585100442
PUT_D2_0.75	8.20719830737e-07	8.84847926777e-07	0.176826640168
NAC_SST_0.5	9.66520564546e-07	1.05507073975e-06	0.179814615506
NAC_D2_0.9375	1.27793008789e-06	1.41047893489e-06	0.182461139199
OFC_VIP_0.984375	1.58488526718e-06	1.76886719931e-06	0.185129362256
ACC_VIP_0.9375	1.27162631851e-06	1.52865879993e-06	0.202744686009
NAC_D1_0.75	9.22234340568e-07	1.20350201525e-06	0.221751196172
OFC_VIP_0.75	7.96668002243e-07	1.06309156621e-06	0.226811707886
NAC_D1_0.875	9.78539118006e-07	1.31041984542e-06	0.227611134555
NAC_PV_0.5	8.16984204546e-07	1.0946456065e-06	0.227729260836
NAC_D2_0.5	7.20037281646e-07	9.66296152597e-07	0.228089989899
PUT_SST_0.9375	9.13950739152e-07	1.23165982053e-06	0.229029118905
PUT_PV_0.9375	1.25409441725e-06	1.7012895752e-06	0.230517568143
NAC_D1_0.5	7.24280709788e-07	1.01730785944e-06	0.238245318942
NAC_PV_0.75	9.73696837052e-07	1.4441072819e-06	0.250074542021
NAC_D1_0.9375	9.95656054812e-07	1.49369713822e-06	0.252522915178
PUT_D2_0.984375	1.0077865515e-06	1.55928984865e-06	0.259038905883
VLPFC_PV_0.984375	1.05963331031e-06	1.64067050919e-06	0.25918701564
PUT_PV_0.984375	1.53992161997e-06	2.44911321729e-06	0.264750797036
OFC_SST_0.5	5.17900551403e-07	8.32096943135e-07	0.266838091631
STC_EXC_0.75	5.30635467165e-07	8.52975166764e-07	0.266938205524
NAC_D1_0.96875	1.02974463889e-06	1.74461918248e-06	0.277514761589
VLPFC_SST_0.5	4.6491221401e-07	8.34089981632e-07	0.288630989895
PUT_D2_0.875	5.3480309602e-07	1.01482870739e-06	0.299100774337
VLPFC_VIP_0.96875	7.97083410416e-07	1.55521353627e-06	0.304142355603
OFC_EXC_0.9375	4.69650004546e-07	9.22263234891e-07	0.305293267756
OFC_EXC_0.75	3.45241265029e-07	7.75245570801e-07	0.328040107172
PUT_SST_0.984375	6.97126960934e-07	1.56930691716e-06	0.328439592072
OFC_EXC_0.875	3.62176254519e-07	8.44270458059e-07	0.333968409899
PUT_SST_0.75	3.94971570566e-07	9.3914312384e-07	0.337036050263
VLPFC_VIP_0.9375	5.68142871451e-07	1.35508703195e-06	0.337510614289
OFC_PV_0.5	3.41370435051e-07	8.23477705879e-07	0.339236677978
VLPFC_SST_0.984375	5.39733327941e-07	1.30247703894e-06	0.339294292811
PUT_SST_0.96875	5.68708035886e-07	1.41578297143e-06	0.343955527328
ACC_PV_0.96875	6.99290816296e-07	1.78357048015e-06	0.347501933738
OFC_PV_0.875	4.22246222837e-07	1.11793068699e-06	0.352825470414
STC_VIP_0.9375	5.61660738686e-07	1.49602318165e-06	0.353668172574
OFC_EXC_0.96875	3.75362800206e-07	1.00882077355e-06	0.354916360412
VLPFC_EXC_0.75	2.83975917382e-07	7.64437353977e-07	0.355138695517
DLPFC_EXC_0.984375	4.05097834805e-07	1.09654310685e-06	0.355902969424
PUT_SST_0.5	3.08036845408e-07	8.36107199185e-07	0.356280832032
VLPFC_PV_0.5	2.67896838577e-07	7.76010092951e-07	0.364963216138
DLPFC_VIP_0.96875	5.19858106592e-07	1.55169360681e-06	0.368802638383
PUT_D1_0.984375	5.18264749666e-07	1.5873783787e-06	0.372026449859
PUT_SST_0.875	3.46208829062e-07	1.11146031244e-06	0.377714052675
PUT_D2_0.9375	3.51498245127e-07	1.15830484263e-06	0.380769973217
STC_EXC_0.5	2.41435391906e-07	8.05300280046e-07	0.382161841643
OFC_EXC_0.5	2.23359184308e-07	7.47286243296e-07	0.382510559686
PUT_D1_0.5	2.35148782358e-07	8.09609575768e-07	0.385737093956
VLPFC_EXC_0.5	2.14470103878e-07	7.4831400728e-07	0.387207613901
PUT_D2_0.5	2.12428700272e-07	7.75646130311e-07	0.392091027671
OFC_SST_0.984375	4.18696040138e-07	1.54056903748e-06	0.392895545431
VLPFC_PV_0.75	2.44264111501e-07	9.13515691643e-07	0.394584806908
PUT_D2_0.96875	3.34132263018e-07	1.28813816535e-06	0.397666542143
STC_EXC_0.9375	2.49542905849e-07	9.74535879673e-07	0.398950967002
NAC_PV_0.875	4.2924911037e-07	1.72525592904e-06	0.401756527035
PUT_D1_0.75	2.2452339555e-07	9.24549260688e-07	0.404062221455
VLPFC_VIP_0.875	2.99767439158e-07	1.23602827042e-06	0.404186793274
ACC_SST_0.5	2.2685525581e-07	9.94615976101e-07	0.40979075626
PUT_D1_0.875	2.48101857702e-07	1.10904342973e-06	0.411492270783
NAC_PV_0.9375	4.51488659193e-07	2.14249578607e-06	0.416548886707
ACC_PV_0.5	1.91097104167e-07	9.43993650726e-07	0.419788438086
VLPFC_VIP_0.984375	3.43058716005e-07	1.72499988e-06	0.421180407005
DLPFC_VIP_0.9375	2.82678835048e-07	1.43221852784e-06	0.421768492932
STC_EXC_0.875	1.64515069888e-07	8.85159812574e-07	0.426277600132
STC_PV_0.75	1.84358749431e-07	1.01387328692e-06	0.427855682323
ACC_PV_0.875	2.12096518585e-07	1.25205975751e-06	0.43274176693
OFC_PV_0.9375	2.10363450635e-07	1.25344294721e-06	0.433359100065
OFC_SST_0.96875	2.28068765967e-07	1.40940133956e-06	0.435723957563
OFC_PV_0.75	1.51633723881e-07	9.74220478991e-07	0.438155949796
OFC_VIP_0.5	1.14141152834e-07	8.7555881121e-07	0.448139312226
STC_VIP_0.984375	2.33415600244e-07	1.9436166594e-06	0.452204566576
VLPFC_PV_0.96875	1.54329498588e-07	1.41045425344e-06	0.45643536206
ACC_VIP_0.96875	1.80343281855e-07	1.76366596512e-06	0.45927722223
VLPFC_PV_0.875	1.03473701639e-07	1.05881791302e-06	0.461075061323
PUT_PV_0.96875	1.16397535989e-07	2.00816653238e-06	0.476889411436
NAC_D1_0.984375	8.33048373538e-08	2.0947596054e-06	0.484138960941
DLPFC_PV_0.75	3.81650705966e-08	9.84019800029e-07	0.484530957693
ACC_PV_0.9375	5.60825970146e-08	1.48367678865e-06	0.484923675795
ACC_EXC_0.5	2.46253122929e-08	8.75798046608e-07	0.488784190658
PUT_D1_0.9375	3.04219966222e-08	1.19809873594e-06	0.489871188166
OFC_EXC_0.984375	1.25457466001e-08	1.11647034742e-06	0.495517190903
NAC_D2_0.96875	-3.51372368506e-09	1.53527155719e-06	0.500913044803
ACC_VIP_0.875	-2.85288005852e-08	1.37745621147e-06	0.508261991227
OFC_SST_0.9375	-3.32332739983e-08	1.29028143543e-06	0.510274264187
NAC_PV_0.96875	-1.39239247426e-07	2.45432924045e-06	0.522620697732
DLPFC_VIP_0.875	-7.51119045194e-08	1.26294603497e-06	0.523712540311
STC_VIP_0.5	-8.43014469777e-08	9.59612649124e-07	0.535001834343
STC_VIP_0.75	-1.08487099702e-07	1.18526518418e-06	0.536464190525
DLPFC_SST_0.984375	-1.37690159584e-07	1.41580570212e-06	0.53873692582
VLPFC_VIP_0.5	-9.26742639221e-08	8.92875034511e-07	0.541333227153
DLPFC_EXC_0.9375	-1.05528164241e-07	9.47665181431e-07	0.544332958437
ACC_PV_0.75	-1.2507507849e-07	1.07561288465e-06	0.54628571815
PUT_PV_0.875	-1.79257741552e-07	1.39275042794e-06	0.551205539409
DLPFC_PV_0.875	-1.35111746656e-07	1.04733291345e-06	0.551323366882
ACC_SST_0.96875	-2.06603955569e-07	1.5228607703e-06	0.553958251705
ACC_VIP_0.75	-1.74337876096e-07	1.19788030768e-06	0.557857196626
DLPFC_EXC_0.96875	-1.88654922192e-07	1.00327863953e-06	0.574576730104
ACC_SST_0.75	-2.30548840834e-07	1.07762998329e-06	0.584703323436
STC_VIP_0.875	-2.79580170151e-07	1.29930981273e-06	0.58518491362
DLPFC_SST_0.96875	-2.95078963938e-07	1.35523721976e-06	0.586181165712
PUT_PV_0.5	-1.86067371185e-07	8.42816197008e-07	0.587363701967
STC_EXC_0.984375	-2.72604835548e-07	1.1820366177e-06	0.591196152627
NAC_PV_0.984375	-6.66396007647e-07	2.86844970804e-06	0.591854958515
ACC_SST_0.9375	-3.35867871058e-07	1.4324154839e-06	0.592692490093
STC_VIP_0.96875	-4.01091241502e-07	1.68984844935e-06	0.593808673212
STC_PV_0.984375	-4.47122698231e-07	1.87897468594e-06	0.59404432917
ACC_EXC_0.875	-2.42789582973e-07	1.00666123515e-06	0.595293359381
DLPFC_SST_0.5	-2.03070927087e-07	8.17613745519e-07	0.598076023646
ACC_EXC_0.75	-2.48454537294e-07	9.47422078181e-07	0.603432837916
VLPFC_SST_0.96875	-3.48403894039e-07	1.29052820282e-06	0.606408331818
PUT_PV_0.75	-3.01878933269e-07	1.08805250877e-06	0.609282267446
VLPFC_EXC_0.984375	-3.12142987101e-07	1.11697700701e-06	0.61005154022
NAC_SST_0.984375	-5.31005151234e-07	1.859133819e-06	0.612415274299
ACC_VIP_0.984375	-5.78603612284e-07	1.99948808607e-06	0.613853122286
DLPFC_EXC_0.875	-2.71953271007e-07	8.6032007828e-07	0.624039384903
VLPFC_PV_0.9375	-3.81722617572e-07	1.20646873144e-06	0.624149255407
DLPFC_PV_0.96875	-4.73403642478e-07	1.40414565024e-06	0.631996995754
STC_EXC_0.96875	-3.55453396618e-07	1.05162718549e-06	0.632319627152
VLPFC_SST_0.75	-3.27460735506e-07	9.44134406882e-07	0.635643106837
OFC_SST_0.75	-3.37158593163e-07	9.45164271031e-07	0.639349123621
VLPFC_EXC_0.96875	-3.59079355527e-07	9.66114550896e-07	0.644932090121
DLPFC_VIP_0.75	-4.18508342116e-07	1.03604020392e-06	0.656875221433
VLPFC_EXC_0.9375	-3.63635808506e-07	8.90817668838e-07	0.65843823894
DLPFC_VIP_0.984375	-7.15219580047e-07	1.73692880078e-06	0.659746924018
STC_SST_0.96875	-6.31280262497e-07	1.53116062132e-06	0.65993609463
ACC_VIP_0.5	-4.1508218624e-07	9.86037663467e-07	0.663107769944
ACC_SST_0.984375	-8.05373870377e-07	1.77468566621e-06	0.675017971458
NAC_D2_0.984375	-8.34771597657e-07	1.78721234312e-06	0.679778770006
VLPFC_VIP_0.75	-5.30670603386e-07	1.08203114472e-06	0.688088465649
DLPFC_SST_0.9375	-6.26779457859e-07	1.26944633322e-06	0.689255935649
DLPFC_PV_0.5	-3.93691920833e-07	7.89156980413e-07	0.69106682649
NAC_SST_0.96875	-8.45075663004e-07	1.68738742585e-06	0.691750739497
DLPFC_PV_0.984375	-8.47909013467e-07	1.56561815266e-06	0.705946401292
STC_SST_0.5	-4.83081009232e-07	8.88034481821e-07	0.706775486337
STC_PV_0.875	-6.38723528629e-07	1.1520421806e-06	0.710356744741
VLPFC_EXC_0.875	-4.52837209064e-07	7.96931772351e-07	0.715059179039
STC_SST_0.9375	-8.62986528086e-07	1.40474555383e-06	0.730503520527
DLPFC_EXC_0.75	-4.89950636183e-07	7.91212797667e-07	0.732120877515
DLPFC_EXC_0.5	-4.78596559233e-07	7.50330616224e-07	0.738213544495
ACC_SST_0.875	-8.57384370292e-07	1.29513826014e-06	0.746015092335
ACC_EXC_0.9375	-7.13265492305e-07	1.06397959502e-06	0.748690667616
VLPFC_SST_0.9375	-8.66923929654e-07	1.2720739313e-06	0.752223795362
STC_PV_0.96875	-1.19005844138e-06	1.64958526916e-06	0.764677156182
STC_SST_0.75	-7.75284632544e-07	1.05821354842e-06	0.768109561691
ACC_EXC_0.984375	-8.92261591606e-07	1.21647188068e-06	0.768368090547
STC_PV_0.5	-6.45882567724e-07	8.54530841157e-07	0.775125321159
ACC_EXC_0.96875	-8.84731706787e-07	1.12965906101e-06	0.783240674536
VLPFC_SST_0.875	-8.72054545102e-07	1.10586731236e-06	0.784818515155
STC_SST_0.984375	-1.34048706365e-06	1.5956224646e-06	0.799574653545
DLPFC_SST_0.75	-8.42034440326e-07	9.90381348122e-07	0.802396477976
OFC_SST_0.875	-9.81169059994e-07	1.13649602032e-06	0.806021477315
DLPFC_VIP_0.5	-8.54067358517e-07	9.03306200615e-07	0.827795720154
DLPFC_PV_0.9375	-1.0878836025e-06	1.15020933985e-06	0.827878158635
DLPFC_SST_0.875	-1.11090005567e-06	1.1452021652e-06	0.83398849586
STC_SST_0.875	-1.56912473412e-06	1.19788270999e-06	0.904887732748
STC_PV_0.9375	-1.89743449333e-06	1.2693484315e-06	0.932517957895
