Name	Coefficient	Coefficient_std_error	Coefficient_P_value
STC_Ctx-EXC_cutoff0.75	2.8976307306431526e-08	7.832311875055743e-08	0.35570668810212724
STC_Ctx-EXC_cutoff0.5	1.874317383267465e-08	5.6641713300996946e-08	0.370357137727105
STC_Ctx-EXC_cutoff0.9375	1.0036834140175042e-07	3.74488856325103e-07	0.394344183781255
OFC_Ctx-EXC_cutoff0.9375	4.5447075094047276e-08	3.4424668651870865e-07	0.44748466414226373
OFC_Ctx-EXC_cutoff0.5	6.083097168117435e-09	5.1115301272434024e-08	0.45263476155590193
ACC_Ctx-EXC_cutoff0.75	7.286210788218545e-09	8.232519451993576e-08	0.46473756138385003
VLPFC_Ctx-EXC_cutoff0.5	2.389299274422624e-09	4.886319303771538e-08	0.4805003985058068
NAC_Nac-D2_cutoff0.5	2.8972012603827254e-09	7.589758246371356e-08	0.48477506919609104
VLPFC_Ctx-EXC_cutoff0.75	-1.8776308351982814e-09	7.089213712388531e-08	0.5105650469726755
VLPFC_Ctx-EXC_cutoff0.9375	-2.985947014085903e-08	3.187521880110196e-07	0.5373167822382248
OFC_Ctx-EXC_cutoff0.75	-1.3136432635659735e-08	7.378816989828676e-08	0.57064989180315
DLPFC_Ctx-EXC_cutoff0.5	-1.0370840043331995e-08	5.572117216351568e-08	0.5738247798265237
ACC_Ctx-EXC_cutoff0.5	-1.8781883193219536e-08	6.114613654681828e-08	0.6206406730751739
PUT_Cpu-D2_cutoff0.5	-2.055989540892768e-08	5.7608162937828984e-08	0.6394136895381168
NAC_Nac-D1_cutoff0.5	-2.9476875799967422e-08	8.092505585416001e-08	0.642163983786823
PUT_Cpu-D1_cutoff0.5	-2.7574165266812217e-08	5.8484779008867604e-08	0.6813495458977071
NAC_Nac-D2_cutoff0.75	-4.938373037946938e-08	1.0021379605729668e-07	0.6889173036182881
VLPFC_Ctx-EXC_cutoff0.875	-8.124990666937151e-08	1.3403595567272896e-07	0.7278023618005922
ACC_Ctx-EXC_cutoff0.9375	-2.533715673263692e-07	3.670291211703621e-07	0.7550069602519067
STC_Ctx-EXC_cutoff0.875	-1.1741947828751964e-07	1.4134358241586426e-07	0.7969391594420431
DLPFC_Ctx-EXC_cutoff0.75	-6.378372799030412e-08	7.574899565473822e-08	0.8001173794067906
NAC_Nac-D1_cutoff0.75	-1.1404040455506862e-07	1.156183055441559e-07	0.8380199169201318
PUT_Cpu-D2_cutoff0.75	-7.919415192873022e-08	8.023421785496445e-08	0.8381877811151026
DLPFC_Ctx-EXC_cutoff0.9375	-3.3855927453909883e-07	3.029368964688001e-07	0.8681289492117765
NAC_Nac-D2_cutoff0.9375	-5.585754857852876e-07	4.120351196544977e-07	0.9123947517386264
DLPFC_Ctx-EXC_cutoff0.875	-1.8043163057808415e-07	1.1565884659402182e-07	0.9406239719284128
OFC_Ctx-EXC_cutoff0.875	-2.1185061374014444e-07	1.306513559883959e-07	0.9475443157636257
NAC_Nac-D2_cutoff0.875	-2.4719790250713245e-07	1.4921156783675726e-07	0.9512093171435343
NAC_Nac-D1_cutoff0.875	-3.018447218173453e-07	1.7978974070515112e-07	0.9534119158656152
ACC_Ctx-EXC_cutoff0.875	-3.0138761538326113e-07	1.5173018423951016e-07	0.9765021645758203
PUT_Cpu-D1_cutoff0.75	-1.6579630788749654e-07	7.286385656670089e-08	0.9885598040386357
PUT_Cpu-D1_cutoff0.875	-3.8951874547814397e-07	1.4348345649212813e-07	0.9966835019495748
PUT_Cpu-D2_cutoff0.875	-4.077706761118897e-07	1.3372785772570543e-07	0.9988529613006042
NAC_Nac-D1_cutoff0.9375	-1.0883958855717528e-06	3.1536028859228284e-07	0.9997210302647357
PUT_Cpu-D2_cutoff0.9375	-1.0252503591145512e-06	2.9556029533593204e-07	0.9997386413299731
PUT_Cpu-D1_cutoff0.9375	-9.296106615621501e-07	2.6382752447985567e-07	0.9997871002424912
