Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NAC_SST_0.5	8.45778569693e-08	2.66713551307e-08	0.000759282647117
NAC_D1_0.5	7.65130354439e-08	2.54276498645e-08	0.00131033574656
NAC_D2_0.5	7.06135655441e-08	2.53918004009e-08	0.0027099258954
NAC_D2_0.75	7.80291313568e-08	2.85428699939e-08	0.00313085822525
PUT_D1_0.5	4.98681136327e-08	1.85297096977e-08	0.00355922277075
NAC_D1_0.75	7.78099226119e-08	2.95784595263e-08	0.0042613639401
PUT_D2_0.5	4.89200383892e-08	1.88082140133e-08	0.00464771364572
PUT_SST_0.5	5.08636692418e-08	1.95951647213e-08	0.00471957172977
NAC_D2_0.875	7.19213490597e-08	2.87133281991e-08	0.00612590920609
NAC_PV_0.75	7.54020204806e-08	3.20024943641e-08	0.00923323980033
PUT_SST_0.75	4.21242503554e-08	1.7994624135e-08	0.00961775081466
NAC_SST_0.75	6.44949049299e-08	2.75535082908e-08	0.0096234314198
PUT_D1_0.75	4.52861735009e-08	1.95016328707e-08	0.0101117997943
NAC_PV_0.5	6.93885332445e-08	3.01285778687e-08	0.0106371635974
NAC_D2_0.9375	7.06351483597e-08	3.07387884753e-08	0.0107832903227
OFC_PV_0.96875	6.48035249189e-08	2.84397710058e-08	0.0113447337716
NAC_D1_0.875	7.00962058784e-08	3.08577312978e-08	0.0115555525611
PUT_D2_0.75	4.79009776097e-08	2.126390087e-08	0.0121393498281
PUT_PV_0.5	4.27420983921e-08	1.94042450041e-08	0.0138072815077
VLPFC_SST_0.875	4.40729816381e-08	2.03561272805e-08	0.0151901447649
VLPFC_PV_0.75	3.6257776953e-08	1.75164169457e-08	0.0192293965147
VLPFC_EXC_0.96875	3.85416526351e-08	1.87543037582e-08	0.0199354896614
OFC_PV_0.875	4.56624875787e-08	2.26121206364e-08	0.0217238155711
VLPFC_SST_0.75	3.62031334701e-08	1.84592926045e-08	0.0249254202412
NAC_PV_0.875	7.42386928308e-08	3.84890004581e-08	0.0268760591825
VLPFC_PV_0.875	4.15379334051e-08	2.16272530423e-08	0.0273892364777
PUT_D2_0.875	4.4807696262e-08	2.33714816931e-08	0.0276065586543
VLPFC_PV_0.9375	4.79174205054e-08	2.52909002209e-08	0.0290693499946
DLPFC_EXC_0.96875	3.78958498943e-08	2.01349988033e-08	0.0299119995869
VLPFC_EXC_0.9375	3.34122199845e-08	1.77751874202e-08	0.0300737199138
DLPFC_EXC_0.9375	3.31634469974e-08	1.79504255396e-08	0.0323372096182
OFC_SST_0.75	3.51496653287e-08	1.91680804257e-08	0.0333447899962
OFC_PV_0.984375	5.73424216904e-08	3.16120387615e-08	0.0348432867405
ACC_EXC_0.9375	3.96835005069e-08	2.19027715588e-08	0.0350083443898
ACC_PV_0.9375	5.23618811411e-08	2.89154164919e-08	0.0350809682803
OFC_PV_0.9375	4.64821421902e-08	2.57297034947e-08	0.0354157919724
VLPFC_EXC_0.984375	3.62606468095e-08	2.02118709225e-08	0.0364044113309
OFC_EXC_0.9375	3.15892100021e-08	1.76414883014e-08	0.0366771102671
NAC_SST_0.984375	6.78360551234e-08	3.82746403106e-08	0.0381682459487
PUT_PV_0.75	3.67258384036e-08	2.08085037923e-08	0.03878661118
NAC_SST_0.875	4.93261916379e-08	2.84842487176e-08	0.0416634386223
VLPFC_EXC_0.875	3.0034999681e-08	1.747978768e-08	0.0428736637772
VLPFC_VIP_0.5	2.89545564912e-08	1.69680097262e-08	0.0439649255061
ACC_EXC_0.96875	3.92426710015e-08	2.37141784074e-08	0.0489806178881
OFC_SST_0.96875	4.40571186447e-08	2.66949210143e-08	0.0494312608284
OFC_EXC_0.96875	2.9903609241e-08	1.84577042789e-08	0.0526037548997
DLPFC_SST_0.96875	4.3958090242e-08	2.72974687148e-08	0.0536622873971
OFC_PV_0.75	2.78506827412e-08	1.73317219437e-08	0.0540360091431
OFC_VIP_0.9375	4.74891170701e-08	2.98130927386e-08	0.055591909033
OFC_SST_0.875	3.38638524634e-08	2.13399703034e-08	0.0562705475706
VLPFC_SST_0.5	2.54553427753e-08	1.62788833493e-08	0.0589436372584
ACC_VIP_0.875	4.30193186808e-08	2.75605986575e-08	0.0592737582721
OFC_SST_0.9375	3.6695339963e-08	2.3525132607e-08	0.0593993649905
PUT_D1_0.96875	3.91207155284e-08	2.52542002164e-08	0.0606815350422
NAC_D2_0.96875	4.79637011711e-08	3.09790049642e-08	0.0607792846165
OFC_VIP_0.96875	5.28741417593e-08	3.41610694501e-08	0.0608365026887
VLPFC_PV_0.5	2.27443002366e-08	1.48515752746e-08	0.0628303107095
ACC_VIP_0.75	3.66517614523e-08	2.40607731511e-08	0.0638419078349
NAC_SST_0.9375	4.66570617799e-08	3.11736822431e-08	0.0672381250611
NAC_PV_0.9375	6.27921334199e-08	4.21072641303e-08	0.0679489458069
DLPFC_SST_0.9375	3.67408379814e-08	2.47426020463e-08	0.0687822230458
OFC_EXC_0.984375	3.05163334151e-08	2.06407647124e-08	0.0696437189051
NAC_D1_0.9375	4.39270051323e-08	3.01199576771e-08	0.0723648911918
PUT_D2_0.96875	3.53995874914e-08	2.44574154601e-08	0.0738928957618
DLPFC_SST_0.984375	4.31139907342e-08	2.99428705879e-08	0.0749513838741
ACC_EXC_0.984375	3.6363897315e-08	2.53289362224e-08	0.0755486754337
ACC_VIP_0.9375	4.80437203937e-08	3.36638023287e-08	0.0767665128292
ACC_PV_0.875	3.68214157003e-08	2.59610681461e-08	0.0780469179447
PUT_D1_0.875	3.28449981264e-08	2.31640000795e-08	0.0781051759595
VLPFC_PV_0.96875	3.72730380168e-08	2.63402740349e-08	0.0785256202611
VLPFC_VIP_0.984375	4.63978366164e-08	3.28119082781e-08	0.078672905552
OFC_VIP_0.984375	5.18494088409e-08	3.69987729586e-08	0.0805499586304
STC_EXC_0.9375	2.7130928585e-08	1.94030843097e-08	0.0810146255391
ACC_VIP_0.5	2.7438547475e-08	1.98308089778e-08	0.0832355392161
DLPFC_PV_0.75	2.53128972555e-08	1.86244399614e-08	0.0870538712928
OFC_PV_0.5	2.06812893164e-08	1.52344759285e-08	0.0873061087038
ACC_SST_0.75	2.84257840452e-08	2.12209382157e-08	0.090201391718
ACC_EXC_0.875	2.66681890733e-08	1.99171530016e-08	0.0902925186243
ACC_VIP_0.96875	4.9883817122e-08	3.79304166247e-08	0.0942313878774
DLPFC_PV_0.9375	3.4202966798e-08	2.60267017694e-08	0.0943980162042
OFC_VIP_0.875	3.25757832466e-08	2.50682894989e-08	0.0968893362725
STC_PV_0.875	2.89253406141e-08	2.24932171708e-08	0.0992287975579
STC_EXC_0.96875	2.49962502308e-08	1.95218575063e-08	0.100198070692
OFC_VIP_0.75	2.61820280005e-08	2.05752727921e-08	0.101597819228
OFC_VIP_0.5	2.15959691665e-08	1.70000328776e-08	0.101980229248
PUT_D2_0.9375	2.69612781565e-08	2.13109670424e-08	0.102911234782
STC_VIP_0.5	2.35131928082e-08	1.86104997891e-08	0.103216098782
OFC_SST_0.5	2.03572533143e-08	1.63324832704e-08	0.106303778689
VLPFC_VIP_0.875	2.90788256875e-08	2.33464552438e-08	0.106467590549
STC_EXC_0.984375	2.81310000166e-08	2.25901723938e-08	0.106515153207
ACC_PV_0.75	2.5781336844e-08	2.07088849207e-08	0.106576746381
VLPFC_VIP_0.75	2.37722384056e-08	1.94121885516e-08	0.110362281921
DLPFC_EXC_0.875	2.16382365082e-08	1.77685071503e-08	0.111652682231
ACC_PV_0.96875	3.48434399577e-08	2.9399369486e-08	0.11797384726
DLPFC_EXC_0.984375	2.4170639793e-08	2.0886304037e-08	0.123585465163
OFC_EXC_0.75	1.74910428976e-08	1.51803182747e-08	0.124615657558
