Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NAC_Nac-D2_cutoff0.5	1.0796143335420331e-07	1.829528313035038e-08	1.8059454495300052e-09
NAC_Nac-D1_cutoff0.5	1.1453937339833755e-07	1.9646788159450957e-08	2.7725538208184563e-09
NAC_Nac-D2_cutoff0.75	9.705059452915208e-08	2.214275524419281e-08	5.854142993606225e-06
VLPFC_Ctx-EXC_cutoff0.5	5.8407031822230606e-08	1.362672125437021e-08	9.087230773842704e-06
PUT_Cpu-D1_cutoff0.5	6.522526328393879e-08	1.560146575995344e-08	1.4529771378223574e-05
PUT_Cpu-D2_cutoff0.5	6.412323905316818e-08	1.541795699254576e-08	1.5982394990250987e-05
NAC_Nac-D1_cutoff0.875	1.9346179286309987e-07	4.678944573623878e-08	1.7768497265913887e-05
NAC_Nac-D1_cutoff0.75	1.0311026655827619e-07	2.5307422956738304e-08	2.3075564494021122e-05
OFC_Ctx-EXC_cutoff0.5	5.037466307389747e-08	1.3016836162914852e-08	5.442612907414098e-05
STC_Ctx-EXC_cutoff0.5	5.3950334801305236e-08	1.4181076859570859e-08	7.107727885933533e-05
NAC_Nac-D2_cutoff0.875	1.4222420320806767e-07	3.859091049230144e-08	0.0001141572078292946
DLPFC_Ctx-EXC_cutoff0.5	4.5632687405510577e-08	1.3368947175517557e-08	0.0003208657205526639
OFC_Ctx-EXC_cutoff0.75	5.1521988919101474e-08	1.6344998030065356e-08	0.000810347405830519
ACC_Ctx-EXC_cutoff0.5	5.059800760669669e-08	1.6413101779158267e-08	0.0010253781179615706
VLPFC_Ctx-EXC_cutoff0.75	4.6705134334644516e-08	1.6541653303298704e-08	0.002375221528851443
STC_Ctx-EXC_cutoff0.75	4.5760614580983013e-08	1.780687247488236e-08	0.005087438511306261
PUT_Cpu-D1_cutoff0.75	4.9330841863358944e-08	1.9329188583047368e-08	0.005353137446849171
DLPFC_Ctx-EXC_cutoff0.75	3.931533574282974e-08	1.545845116759472e-08	0.005490690582791796
PUT_Cpu-D2_cutoff0.75	5.001477267226691e-08	2.0207182762089216e-08	0.0066599671520674916
ACC_Ctx-EXC_cutoff0.75	4.49068846718175e-08	2.050850283560832e-08	0.014274033826679789
OFC_Ctx-EXC_cutoff0.875	4.9452650152219636e-08	2.53245828178155e-08	0.025424446605946786
PUT_Cpu-D2_cutoff0.875	4.840137286833494e-08	3.4936452160184506e-08	0.08296329333807279
DLPFC_Ctx-EXC_cutoff0.9375	9.289984562923732e-08	6.774519678108096e-08	0.0851387562720391
NAC_Nac-D1_cutoff0.9375	1.2315199225418963e-07	9.063846358268357e-08	0.08711819234213725
NAC_Nac-D2_cutoff0.9375	1.0554373149892318e-07	8.085698679736467e-08	0.09589302779486386
PUT_Cpu-D1_cutoff0.875	3.949338818182693e-08	3.261352858363791e-08	0.11295707401100918
VLPFC_Ctx-EXC_cutoff0.875	2.6429179238513704e-08	2.5029626427764132e-08	0.14550333127232834
OFC_Ctx-EXC_cutoff0.9375	6.475479273750343e-08	6.23278730236487e-08	0.14941679720662804
STC_Ctx-EXC_cutoff0.875	2.4542060331127918e-08	2.519852504106823e-08	0.16504110791269427
DLPFC_Ctx-EXC_cutoff0.875	2.2609470593781688e-08	2.372709799218604e-08	0.17032123585537784
ACC_Ctx-EXC_cutoff0.875	2.964241055279061e-08	3.14998628996693e-08	0.1733439735664376
VLPFC_Ctx-EXC_cutoff0.9375	5.478770132762949e-08	6.486343572980505e-08	0.19914969626836881
PUT_Cpu-D1_cutoff0.9375	2.750204482943488e-08	7.156794295680336e-08	0.3503859013323917
PUT_Cpu-D2_cutoff0.9375	1.7486047842125206e-08	6.97100703830178e-08	0.40096905260531795
STC_Ctx-EXC_cutoff0.9375	1.24225765103761e-08	7.220215177537692e-08	0.4316980416785168
ACC_Ctx-EXC_cutoff0.9375	3.919719205634728e-09	6.851934202991551e-08	0.4771905393105244
