Name	Coefficient	Coefficient_std_error	Coefficient_P_value
STC_VIP_0.984375	9.20329974745e-08	3.43186139654e-07	0.394283369077
OFC_EXC_0.9375	3.17432319256e-08	1.80173011864e-07	0.430075501794
ACC_VIP_0.96875	4.44441482126e-08	3.21680186712e-07	0.44505598417
ACC_VIP_0.9375	1.31177296846e-08	2.8220008125e-07	0.481462326391
ACC_VIP_0.984375	1.49174579563e-08	3.77870629654e-07	0.484254771935
STC_VIP_0.96875	8.98530585168e-09	3.03814043437e-07	0.488202994609
OFC_EXC_0.96875	4.82338770612e-09	1.98782969226e-07	0.490320778027
OFC_SST_0.5	-3.59988555557e-08	1.49228229961e-07	0.595312944975
STC_VIP_0.9375	-9.40882903365e-08	2.68774115947e-07	0.636854873205
OFC_EXC_0.875	-5.75145401453e-08	1.61165379623e-07	0.639404160461
PUT_SST_0.96875	-1.05490796431e-07	2.7521154572e-07	0.649254308339
OFC_VIP_0.5	-6.92023041957e-08	1.69129555992e-07	0.65879159933
OFC_PV_0.5	-6.60567731096e-08	1.51047808085e-07	0.669061663365
STC_VIP_0.75	-1.01962056796e-07	2.06945342437e-07	0.688887859
OFC_EXC_0.75	-7.65906557175e-08	1.50031333653e-07	0.695148598816
VLPFC_VIP_0.984375	-1.63360986843e-07	3.19861347986e-07	0.695227964683
OFC_EXC_0.984375	-1.1816994181e-07	2.13818150535e-07	0.709753802062
OFC_VIP_0.9375	-1.44955207912e-07	2.60868326658e-07	0.710779806248
STC_EXC_0.9375	-1.06913615881e-07	1.90251541762e-07	0.712928112124
OFC_VIP_0.875	-1.28461696201e-07	2.23295390249e-07	0.717455574523
PUT_D2_0.96875	-1.60412499604e-07	2.70790188462e-07	0.723204156723
OFC_SST_0.75	-1.04956593218e-07	1.76161668487e-07	0.724344575222
VLPFC_VIP_0.9375	-1.59745288959e-07	2.61428490966e-07	0.729416012634
STC_EXC_0.875	-1.08693340323e-07	1.73745648662e-07	0.734207672564
PUT_PV_0.96875	-2.15778875358e-07	3.32177837778e-07	0.742020941048
ACC_EXC_0.875	-1.20931341849e-07	1.78927777453e-07	0.750437386384
PUT_SST_0.984375	-2.14603435056e-07	3.13170149141e-07	0.753410527952
STC_EXC_0.96875	-1.37432327766e-07	1.99079497679e-07	0.755009464743
PUT_SST_0.875	-1.58021047877e-07	2.26125534239e-07	0.757667738825
VLPFC_EXC_0.875	-1.10363990486e-07	1.55527366956e-07	0.76102742164
