Name	Coefficient	Coefficient_std_error	Coefficient_P_value
VLPFC_Ctx-EXC_cutoff0.9375	1.7869091716427721e-06	3.22519806767069e-06	0.28977356753843975
STC_Ctx-EXC_cutoff0.9375	1.6467928159437797e-06	3.5812703343229094e-06	0.32281739235807105
ACC_Ctx-EXC_cutoff0.9375	1.5465838998222e-06	4.008511828065142e-06	0.34981315571376004
STC_Ctx-EXC_cutoff0.5	1.6115364786007527e-07	5.171207926624931e-07	0.3776584443700745
ACC_Ctx-EXC_cutoff0.875	2.9324168994968565e-07	1.2497020588435996e-06	0.4072404781408924
PUT_Cpu-D2_cutoff0.5	8.193147624433313e-08	4.452356066835315e-07	0.4269995698107248
PUT_Cpu-D1_cutoff0.75	7.258713999023999e-08	6.310592658181223e-07	0.4542129371107416
PUT_Cpu-D1_cutoff0.5	3.111912606876677e-08	4.504488771238259e-07	0.47246109931433256
PUT_Cpu-D2_cutoff0.75	4.083136984175019e-08	6.605490504735993e-07	0.4753553621742037
DLPFC_Ctx-EXC_cutoff0.9375	-5.893443636336681e-08	3.1477167238822904e-06	0.5074689265029724
STC_Ctx-EXC_cutoff0.75	-3.139086763519817e-08	6.512033569861467e-07	0.519223328539951
DLPFC_Ctx-EXC_cutoff0.875	-5.5467774963436786e-08	1.1056915716808634e-06	0.5200048216981674
OFC_Ctx-EXC_cutoff0.9375	-3.15884996154173e-07	3.3637390793642115e-06	0.5374092332437479
VLPFC_Ctx-EXC_cutoff0.5	-1.5036348544825563e-07	4.1140500069202573e-07	0.6426263229564017
OFC_Ctx-EXC_cutoff0.75	-2.737611274735693e-07	5.644577527498051e-07	0.6861612726566898
NAC_Nac-D2_cutoff0.5	-3.0131072843941235e-07	5.661227178881134e-07	0.702718624507402
ACC_Ctx-EXC_cutoff0.5	-3.3885627434617706e-07	5.288887310458209e-07	0.739139512303278
NAC_Nac-D1_cutoff0.5	-3.644278873441275e-07	5.633224980186689e-07	0.7411600335046851
OFC_Ctx-EXC_cutoff0.5	-2.976910960395968e-07	4.463997903290037e-07	0.7475727472398555
DLPFC_Ctx-EXC_cutoff0.5	-3.134712942917479e-07	4.6662932857427615e-07	0.7491374662656006
STC_Ctx-EXC_cutoff0.875	-9.610810376249298e-07	1.0952847997882994e-06	0.8098846645780213
DLPFC_Ctx-EXC_cutoff0.75	-4.925473733262508e-07	5.612075048508735e-07	0.8099349011965211
PUT_Cpu-D2_cutoff0.9375	-2.2842537804462304e-06	2.469607372239369e-06	0.8225030350897635
PUT_Cpu-D1_cutoff0.9375	-2.153853149242354e-06	2.267339964982428e-06	0.8289304476137036
ACC_Ctx-EXC_cutoff0.75	-7.044429859174549e-07	6.870125325745531e-07	0.8474060055442383
VLPFC_Ctx-EXC_cutoff0.75	-6.165260078669164e-07	5.360206953003187e-07	0.8749673279258761
NAC_Nac-D2_cutoff0.75	-9.713341107274378e-07	7.396231910028803e-07	0.9054560945984953
NAC_Nac-D1_cutoff0.9375	-3.444039484392739e-06	2.582708235436159e-06	0.9088159886006162
NAC_Nac-D2_cutoff0.875	-1.7724701053777359e-06	1.23269601645528e-06	0.9247660805446527
PUT_Cpu-D1_cutoff0.875	-1.5943105933014988e-06	1.0946228834156208e-06	0.9273718116229077
OFC_Ctx-EXC_cutoff0.875	-1.4214323995681261e-06	9.627888600542943e-07	0.9300776776936434
NAC_Nac-D1_cutoff0.875	-2.3089524472827203e-06	1.4105150952408145e-06	0.9491802644461318
PUT_Cpu-D2_cutoff0.875	-1.876171962528649e-06	1.1440913316777189e-06	0.9494848917553067
VLPFC_Ctx-EXC_cutoff0.875	-1.6554432348916057e-06	1.0022558009223302e-06	0.9507039017869755
NAC_Nac-D1_cutoff0.75	-1.6326453304830228e-06	8.774761786464032e-07	0.9686007167080817
NAC_Nac-D2_cutoff0.9375	-5.908497999791556e-06	2.1598769415204767e-06	0.9968863980408313
