Name	Coefficient	Coefficient_std_error	Coefficient_P_value
PUT_Cpu-D2_cutoff0.5	9.037851009170009e-07	5.852318169354577e-07	0.06125543529022762
PUT_Cpu-D1_cutoff0.5	8.436724769326507e-07	5.874034868035377e-07	0.07546216530483571
PUT_Cpu-D1_cutoff0.75	1.012044488798191e-06	7.915253806353674e-07	0.1005189444740971
PUT_Cpu-D2_cutoff0.875	1.5675361376797087e-06	1.6508403836076494e-06	0.17117345629414366
PUT_Cpu-D2_cutoff0.75	6.724916399801618e-07	8.351731703109096e-07	0.21034861385819154
NAC_Nac-D2_cutoff0.75	5.830562762006393e-07	8.855396339142356e-07	0.25513440831613277
NAC_Nac-D2_cutoff0.5	4.239412441939895e-07	7.052246590361429e-07	0.2738721946770055
NAC_Nac-D1_cutoff0.5	4.316206070928057e-07	7.324041495773436e-07	0.2778232267700829
STC_Ctx-EXC_cutoff0.9375	1.9647863487236773e-06	3.7882545517414103e-06	0.3020016694593315
OFC_Ctx-EXC_cutoff0.875	4.99334248172896e-07	1.1995076695256802e-06	0.33860158830425013
ACC_Ctx-EXC_cutoff0.75	2.52712576285587e-07	8.11328833145808e-07	0.3777179327195609
STC_Ctx-EXC_cutoff0.75	2.1952897279837587e-07	7.497940519089298e-07	0.3848429814427331
ACC_Ctx-EXC_cutoff0.875	2.885779435498159e-07	1.4849744403278602e-06	0.4229579942577489
DLPFC_Ctx-EXC_cutoff0.75	1.1808859675323589e-07	6.708396334403789e-07	0.43013477933484584
NAC_Nac-D1_cutoff0.75	1.4376752327541981e-07	1.053259013206954e-06	0.44571388738520223
ACC_Ctx-EXC_cutoff0.5	6.632076255817114e-08	6.01883810142495e-07	0.45612988300126545
STC_Ctx-EXC_cutoff0.875	-2.0257077176483418e-07	1.4147682360059305e-06	0.5569271754335094
PUT_Cpu-D1_cutoff0.875	-2.989032752110057e-07	1.5296583384517367e-06	0.5774621478589201
DLPFC_Ctx-EXC_cutoff0.5	-1.3074260127792364e-07	5.211162494939815e-07	0.599050233139715
DLPFC_Ctx-EXC_cutoff0.875	-4.161700116451505e-07	1.242554328635466e-06	0.6311614461563724
OFC_Ctx-EXC_cutoff0.75	-2.1622598296306847e-07	6.131544846294633e-07	0.6378227746753482
ACC_Ctx-EXC_cutoff0.9375	-1.256975485912031e-06	3.547775299226752e-06	0.6384428285604576
OFC_Ctx-EXC_cutoff0.5	-2.0994312757209942e-07	4.95733257843734e-07	0.6640348190514944
OFC_Ctx-EXC_cutoff0.9375	-1.5879740128332115e-06	2.9049718757493246e-06	0.7076869807347875
VLPFC_Ctx-EXC_cutoff0.75	-3.6756288650770517e-07	6.38591461385785e-07	0.7175517260871522
DLPFC_Ctx-EXC_cutoff0.9375	-1.8920668479901233e-06	2.9162316482486683e-06	0.7417679174434684
STC_Ctx-EXC_cutoff0.5	-3.9062209954313995e-07	5.525061164178282e-07	0.7602169158945294
NAC_Nac-D2_cutoff0.9375	-2.5000021282747664e-06	3.4672560283905216e-06	0.7645550493638814
VLPFC_Ctx-EXC_cutoff0.9375	-2.3963794018767064e-06	3.2318427724396527e-06	0.7708018321344646
VLPFC_Ctx-EXC_cutoff0.875	-9.061712425532881e-07	1.210394374906221e-06	0.7729682707030873
PUT_Cpu-D2_cutoff0.9375	-2.560098588644207e-06	3.1092418341241794e-06	0.7948550435319579
PUT_Cpu-D1_cutoff0.9375	-2.4700905934489194e-06	2.667849844662269e-06	0.8227440520814616
VLPFC_Ctx-EXC_cutoff0.5	-5.536223068727548e-07	4.983828468404617e-07	0.8666808280413456
NAC_Nac-D2_cutoff0.875	-2.1393334494324367e-06	1.5995221784223625e-06	0.9094674583603786
NAC_Nac-D1_cutoff0.9375	-6.054191645879622e-06	3.4148798515132613e-06	0.9618761754109346
NAC_Nac-D1_cutoff0.875	-3.4248436804384004e-06	1.9281359207304237e-06	0.9621538087567683
