Name	Coefficient	Coefficient_std_error	Coefficient_P_value
PUT_Cpu-D1_cutoff0.5	7.11371115468036e-08	2.9163248160308057e-08	0.007358431361325026
PUT_Cpu-D2_cutoff0.5	6.92007448842202e-08	2.961909468204382e-08	0.009736351692268453
VLPFC_Ctx-EXC_cutoff0.5	4.418654189238472e-08	2.782912467448347e-08	0.05616798957020761
NAC_Nac-D1_cutoff0.75	6.42431473663357e-08	4.757137873705541e-08	0.08843456403899391
DLPFC_Ctx-EXC_cutoff0.5	3.7691438062561004e-08	2.891382538351411e-08	0.09618868564406974
NAC_Nac-D2_cutoff0.5	4.284895804373183e-08	3.385803061128636e-08	0.10283750237979156
STC_Ctx-EXC_cutoff0.5	3.9507488119587587e-08	3.2860310117762406e-08	0.11462638545218845
NAC_Nac-D1_cutoff0.5	4.0509489701713244e-08	3.490614713245873e-08	0.12291736652343693
DLPFC_Ctx-EXC_cutoff0.75	3.4751728654433866e-08	3.661970216995085e-08	0.17131286647034605
OFC_Ctx-EXC_cutoff0.5	2.5775188680672475e-08	2.801252126415841e-08	0.1787521580458502
NAC_Nac-D2_cutoff0.875	5.167604656598422e-08	7.298986502639023e-08	0.23947593783749827
PUT_Cpu-D2_cutoff0.75	2.3150474388172576e-08	3.7130310371447514e-08	0.26648042617365186
OFC_Ctx-EXC_cutoff0.9375	8.303715741143149e-08	1.3395408535462686e-07	0.2676642215757632
VLPFC_Ctx-EXC_cutoff0.75	2.0679924895374103e-08	3.375188677144654e-08	0.27003595176428064
PUT_Cpu-D1_cutoff0.75	2.243981411316154e-08	3.691784685561622e-08	0.2716497622961346
ACC_Ctx-EXC_cutoff0.5	1.6674917814661603e-08	3.192533358941892e-08	0.3007272884460088
OFC_Ctx-EXC_cutoff0.75	1.525718900777059e-08	3.433384997678719e-08	0.3283848538055161
NAC_Nac-D1_cutoff0.875	3.3893741430417746e-08	7.759352582923788e-08	0.33112404303275056
NAC_Nac-D2_cutoff0.75	1.656654806422638e-08	4.2724847162235504e-08	0.3491006240852933
NAC_Nac-D1_cutoff0.9375	5.315665089277658e-08	1.7252051131234394e-07	0.3789963254906846
ACC_Ctx-EXC_cutoff0.75	3.804991004191025e-09	4.350765639257863e-08	0.4651546624438069
DLPFC_Ctx-EXC_cutoff0.9375	-1.2878737178565184e-08	1.5656984866323724e-07	0.5327782450621104
STC_Ctx-EXC_cutoff0.75	-5.176987625387911e-09	4.1584360518543485e-08	0.5495377746737453
NAC_Nac-D2_cutoff0.9375	-2.3661502748161048e-08	1.4998544470658612e-07	0.562676512332975
ACC_Ctx-EXC_cutoff0.9375	-6.210532407428181e-08	1.7097280637410188e-07	0.6417897332279487
ACC_Ctx-EXC_cutoff0.875	-2.986675974421837e-08	6.814081780568641e-08	0.6694189871281713
PUT_Cpu-D2_cutoff0.875	-2.5619822405186416e-08	5.6725183348655214e-08	0.6742387507835838
PUT_Cpu-D1_cutoff0.875	-6.278185946697191e-08	5.716747062287732e-08	0.8639434910882218
PUT_Cpu-D2_cutoff0.9375	-1.6745379358972687e-07	1.468955062669634e-07	0.8728468042002694
STC_Ctx-EXC_cutoff0.9375	-1.8371730433783212e-07	1.511921312764664e-07	0.8878407469596141
DLPFC_Ctx-EXC_cutoff0.875	-7.093950677616085e-08	5.7862731176810885e-08	0.8899000067708311
PUT_Cpu-D1_cutoff0.9375	-1.9099969020006806e-07	1.2926763177513944e-07	0.930236178780981
STC_Ctx-EXC_cutoff0.875	-9.128660794319764e-08	6.074506151892298e-08	0.9335524140907167
OFC_Ctx-EXC_cutoff0.875	-1.1143515559168151e-07	5.919121648744765e-08	0.9701247311488354
VLPFC_Ctx-EXC_cutoff0.9375	-2.4484634784077185e-07	1.281675666930874e-07	0.971956639201355
VLPFC_Ctx-EXC_cutoff0.875	-1.2593694170018647e-07	5.042521233664846e-08	0.9937463676100845
