Name	Coefficient	Coefficient_std_error	Coefficient_P_value
VLPFC_Ctx-EXC_cutoff0.5	5.877646902867216e-07	1.1624728139727265e-07	2.1389281947878188e-07
OFC_Ctx-EXC_cutoff0.5	6.213764077793715e-07	1.2597899378692065e-07	4.0616614367330144e-07
STC_Ctx-EXC_cutoff0.5	6.644999255709547e-07	1.36668489917423e-07	5.806473985333177e-07
NAC_Nac-D1_cutoff0.5	7.140011845803157e-07	1.4758926193438452e-07	6.56558236098152e-07
DLPFC_Ctx-EXC_cutoff0.5	5.817825793993067e-07	1.2195606419437755e-07	9.191760880553753e-07
ACC_Ctx-EXC_cutoff0.5	6.347255456092504e-07	1.3798946919745477e-07	2.1143672059700064e-06
NAC_Nac-D2_cutoff0.5	6.58900709854846e-07	1.43960659583029e-07	2.359023273089985e-06
NAC_Nac-D2_cutoff0.75	8.023240243362092e-07	1.7624845692279064e-07	2.6539763752307075e-06
PUT_Cpu-D1_cutoff0.5	5.404268261452721e-07	1.2581648756614971e-07	8.720591872884015e-06
OFC_Ctx-EXC_cutoff0.75	6.385528755374685e-07	1.5142977739014932e-07	1.2388303506357525e-05
VLPFC_Ctx-EXC_cutoff0.75	6.019695788735869e-07	1.4336688055224968e-07	1.3416361379648521e-05
PUT_Cpu-D2_cutoff0.5	5.146269577988039e-07	1.234007412698657e-07	1.5205161956143523e-05
PUT_Cpu-D1_cutoff0.75	5.961397860414873e-07	1.4536965199956808e-07	2.058136967135366e-05
DLPFC_Ctx-EXC_cutoff0.75	5.589513891208867e-07	1.4658371149352178e-07	6.859257472930268e-05
STC_Ctx-EXC_cutoff0.75	6.151119299739373e-07	1.669862688391388e-07	0.00011497796378244409
PUT_Cpu-D1_cutoff0.875	9.056881403802311e-07	2.5576120632259164e-07	0.0001991954456911944
PUT_Cpu-D2_cutoff0.875	9.412605206634498e-07	2.686480838483866e-07	0.00022942665575090762
PUT_Cpu-D2_cutoff0.75	5.210016424717247e-07	1.5430268406139948e-07	0.00036708370982221883
ACC_Ctx-EXC_cutoff0.75	5.86724221517204e-07	1.7727539149983313e-07	0.0004670190516299243
NAC_Nac-D1_cutoff0.75	6.482457395195233e-07	2.0017968778998653e-07	0.0006011808757188636
OFC_Ctx-EXC_cutoff0.875	5.130407297106476e-07	2.2874412791027744e-07	0.012452967768537212
DLPFC_Ctx-EXC_cutoff0.875	4.887998919715558e-07	2.3432868740637264e-07	0.018491196102250217
NAC_Nac-D1_cutoff0.875	7.84924108709292e-07	3.8515155566271165e-07	0.02077688300183101
PUT_Cpu-D1_cutoff0.9375	1.1074329521446358e-06	7.153683450031961e-07	0.06080395398098011
NAC_Nac-D2_cutoff0.875	4.2684234747779325e-07	2.8242819220582453e-07	0.06535213047951736
STC_Ctx-EXC_cutoff0.875	4.297103766040084e-07	2.9593825165746014e-07	0.07324702790195466
VLPFC_Ctx-EXC_cutoff0.875	3.054621649975119e-07	2.225188646408158e-07	0.08491546349468992
ACC_Ctx-EXC_cutoff0.875	3.457323712814487e-07	2.587524865123207e-07	0.09074997570388066
PUT_Cpu-D2_cutoff0.9375	7.885384800267122e-07	6.69872728558644e-07	0.11956847667210169
OFC_Ctx-EXC_cutoff0.9375	6.833846260202995e-07	6.552396651046874e-07	0.14848487094234464
NAC_Nac-D2_cutoff0.9375	6.51633027146578e-07	7.373143520537324e-07	0.1884040693177233
NAC_Nac-D1_cutoff0.9375	7.037728992416436e-07	8.090616539918661e-07	0.19218760446519417
STC_Ctx-EXC_cutoff0.9375	2.575176272477761e-07	6.195318534646903e-07	0.3388276255234064
ACC_Ctx-EXC_cutoff0.9375	-8.350667540577632e-08	6.834070096294437e-07	0.5486264066161738
DLPFC_Ctx-EXC_cutoff0.9375	-1.020949857933547e-07	6.026960444821792e-07	0.5672578632449549
VLPFC_Ctx-EXC_cutoff0.9375	-3.3518837450051484e-07	5.536126718997902e-07	0.7275621304635891
