Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NAC_Nac-D2_cutoff0.5	9.7379441984452e-08	2.2173955732019806e-08	5.625630353071122e-06
PUT_Cpu-D2_cutoff0.5	8.033226923766521e-08	1.866320673428105e-08	8.375264017361652e-06
NAC_Nac-D1_cutoff0.5	9.590468974420665e-08	2.242925326074001e-08	9.519389264394449e-06
PUT_Cpu-D1_cutoff0.5	7.798844272398098e-08	1.8297656132971324e-08	1.0120779761913975e-05
STC_Ctx-EXC_cutoff0.5	7.818019483943938e-08	1.844045888697225e-08	1.1195852851909842e-05
VLPFC_Ctx-EXC_cutoff0.5	6.920837372986554e-08	1.638741777789297e-08	1.2039532628816922e-05
DLPFC_Ctx-EXC_cutoff0.5	7.045424600362335e-08	1.769085692299878e-08	3.409375028125883e-05
VLPFC_Ctx-EXC_cutoff0.875	1.4656429596697236e-07	3.7319319778008144e-08	4.295177289128955e-05
PUT_Cpu-D1_cutoff0.75	9.298567629351828e-08	2.607271090857951e-08	0.0001809604676760147
OFC_Ctx-EXC_cutoff0.875	1.274758784859306e-07	3.69160795820784e-08	0.0002770649351440884
STC_Ctx-EXC_cutoff0.75	7.924436473617598e-08	2.377869805357801e-08	0.0004302268178837275
NAC_Nac-D1_cutoff0.75	1.1465521374777227e-07	3.491050013657802e-08	0.0005112498872753556
DLPFC_Ctx-EXC_cutoff0.875	1.2675278592413474e-07	4.0537534636163836e-08	0.0008835988318635935
VLPFC_Ctx-EXC_cutoff0.75	6.403332789628975e-08	2.060912308224338e-08	0.0009448606327222658
ACC_Ctx-EXC_cutoff0.5	5.4648444523247076e-08	1.8227701719942446e-08	0.0013583494302412795
NAC_Nac-D2_cutoff0.75	8.872946379912005e-08	2.9953076595614134e-08	0.0015268391320389862
DLPFC_Ctx-EXC_cutoff0.75	6.515712277470808e-08	2.243229983760486e-08	0.0018385442749505126
ACC_Ctx-EXC_cutoff0.9375	5.386574913831204e-07	1.9013670454546718e-07	0.0023056614315505523
OFC_Ctx-EXC_cutoff0.5	4.3662663294094723e-08	1.5951802953609673e-08	0.0030985916403036707
OFC_Ctx-EXC_cutoff0.9375	3.643045253804266e-07	1.3455547518050463e-07	0.003389939276934592
DLPFC_Ctx-EXC_cutoff0.9375	3.7636754424281265e-07	1.4098954465327642e-07	0.0037985381746610224
PUT_Cpu-D2_cutoff0.75	6.704644419737117e-08	2.5205938977896074e-08	0.003907655512037524
OFC_Ctx-EXC_cutoff0.75	5.660529023148278e-08	2.228604890310129e-08	0.005543529436001012
STC_Ctx-EXC_cutoff0.875	1.0065003179960433e-07	4.0374581010312505e-08	0.006335120739932234
ACC_Ctx-EXC_cutoff0.875	1.2136347789243998e-07	5.0511874846619624e-08	0.008137884627133454
NAC_Nac-D1_cutoff0.9375	3.4950035700476437e-07	1.4938542150054557e-07	0.00965250847796594
VLPFC_Ctx-EXC_cutoff0.9375	2.79422752557331e-07	1.2175725617083042e-07	0.010868951158685969
PUT_Cpu-D1_cutoff0.875	1.1056481419781335e-07	4.9431535806188545e-08	0.012652118312701974
NAC_Nac-D1_cutoff0.875	1.585906621037441e-07	7.31599525811751e-08	0.015089806057478852
PUT_Cpu-D1_cutoff0.9375	2.739927555207104e-07	1.3515151346523232e-07	0.02131583587133242
ACC_Ctx-EXC_cutoff0.75	5.2426289663409835e-08	2.760288015590528e-08	0.02876218966787112
PUT_Cpu-D2_cutoff0.875	9.082652479574276e-08	4.958366207794845e-08	0.03349185516148956
PUT_Cpu-D2_cutoff0.9375	2.3731718245818384e-07	1.2992681149258574e-07	0.0338840962571264
NAC_Nac-D2_cutoff0.9375	1.9808656054278913e-07	1.0931646817356385e-07	0.034989479782398934
NAC_Nac-D2_cutoff0.875	8.738534861162226e-08	5.2012370233097334e-08	0.04647011723398697
STC_Ctx-EXC_cutoff0.9375	1.8928257256435627e-07	1.2264535983000237e-07	0.06137505826353022
