Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NAC_D2_0.5	6.59193706197e-08	1.97494365295e-08	0.000422245516024
PUT_D2_0.5	5.16632829126e-08	1.63899825805e-08	0.000810432810817
NAC_D1_0.5	6.15089783291e-08	2.04073746377e-08	0.00128889935749
PUT_D2_0.75	5.31204225362e-08	1.85798297969e-08	0.0021246454837
PUT_PV_0.5	5.34439442941e-08	1.87538064839e-08	0.00218757601077
NAC_SST_0.5	5.96228610013e-08	2.19457102269e-08	0.00329547856675
PUT_SST_0.5	4.64358613817e-08	1.77179911926e-08	0.00438578606122
PUT_D2_0.9375	6.39463793102e-08	2.4702200049e-08	0.004817065833
NAC_D2_0.75	5.57799742267e-08	2.21777575353e-08	0.00594940145866
PUT_D1_0.5	4.28975194889e-08	1.71966380519e-08	0.00630621358798
NAC_D2_0.9375	6.71871464451e-08	2.70496161047e-08	0.00649855578938
NAC_D1_0.984375	1.1730272268e-07	4.74506885866e-08	0.00671614618429
PUT_D2_0.875	5.29207711375e-08	2.15094437879e-08	0.00694006901478
NAC_D2_0.96875	8.05626750741e-08	3.2768533201e-08	0.00697520594327
NAC_D1_0.75	5.61440745903e-08	2.30105544693e-08	0.00734511377138
PUT_SST_0.875	6.12263990918e-08	2.56412354484e-08	0.0084745502474
PUT_D1_0.875	5.45220906389e-08	2.30277652116e-08	0.00895030826314
PUT_D1_0.984375	9.78205036695e-08	4.17228756708e-08	0.00952555729634
PUT_SST_0.9375	6.77506430784e-08	2.89515634949e-08	0.00963831747432
PUT_D1_0.75	4.53828180066e-08	1.95916457368e-08	0.0102672033927
NAC_SST_0.75	5.90175965916e-08	2.59025393636e-08	0.0113499409482
NAC_D2_0.984375	8.9059385577e-08	3.9543326312e-08	0.0121548930461
PUT_PV_0.75	5.39719446264e-08	2.44685221648e-08	0.0137000360345
PUT_SST_0.96875	7.23387808429e-08	3.29035746545e-08	0.013956453097
PUT_SST_0.75	4.668535354e-08	2.18966594085e-08	0.0165002779805
PUT_PV_0.875	5.98721294932e-08	2.8215163338e-08	0.0169195343871
PUT_SST_0.984375	7.98557675607e-08	3.84924688055e-08	0.0190126643892
PUT_D1_0.96875	7.18201701981e-08	3.57859820892e-08	0.0223782472706
NAC_PV_0.5	4.56386905309e-08	2.27967656443e-08	0.0226433902276
NAC_D1_0.875	5.42797046716e-08	2.734350152e-08	0.0235664297173
NAC_SST_0.984375	8.84688767925e-08	4.53151711738e-08	0.0254512095624
NAC_SST_0.9375	6.77259191315e-08	3.48748354399e-08	0.026070305425
NAC_SST_0.875	5.89944740907e-08	3.03914976905e-08	0.0261200062997
NAC_D1_0.96875	8.1206206996e-08	4.28054465538e-08	0.0289073793388
NAC_D2_0.875	4.71920956669e-08	2.48824285862e-08	0.0289401586997
NAC_PV_0.75	5.32781909591e-08	3.12701839477e-08	0.0442090749568
NAC_SST_0.96875	6.1624362311e-08	3.72514071808e-08	0.049035032657
VLPFC_EXC_0.875	3.23051389376e-08	2.05772293898e-08	0.0582138375134
PUT_D2_0.96875	4.37044957042e-08	2.83522780435e-08	0.06159989129
OFC_EXC_0.9375	3.51484141802e-08	2.2930153531e-08	0.0626567939913
VLPFC_EXC_0.75	2.50337584421e-08	1.68114469138e-08	0.068231827869
STC_EXC_0.96875	3.82677543288e-08	2.59183758062e-08	0.0699086227631
ACC_EXC_0.9375	3.60195621334e-08	2.44352871196e-08	0.0702300588953
NAC_D1_0.9375	5.06335074641e-08	3.44778308476e-08	0.0709731563625
OFC_EXC_0.96875	3.700373234e-08	2.52127893067e-08	0.0710986779306
STC_SST_0.5	2.97779680699e-08	2.03974578619e-08	0.0721606707275
PUT_D1_0.9375	3.99935356613e-08	2.76808768846e-08	0.0742559964812
NAC_PV_0.875	5.13214938109e-08	3.59219408947e-08	0.0765459719217
STC_EXC_0.75	2.73879726864e-08	1.92854074262e-08	0.0777835074622
NAC_PV_0.9375	5.82301404503e-08	4.1671007405e-08	0.081149996412
VLPFC_SST_0.5	2.29804219261e-08	1.73281346948e-08	0.0923881658628
ACC_VIP_0.75	3.67219058723e-08	2.78355215313e-08	0.0935434095471
VLPFC_VIP_0.875	3.75449309867e-08	2.84806889199e-08	0.0937084423135
STC_EXC_0.875	2.74341536655e-08	2.13016540646e-08	0.0988924029648
OFC_EXC_0.875	2.59736255166e-08	2.03009074839e-08	0.100372530226
ACC_EXC_0.875	2.8977702026e-08	2.28930922162e-08	0.102795273561
VLPFC_VIP_0.75	2.60414625208e-08	2.18154541127e-08	0.116294486882
OFC_EXC_0.75	2.06405478777e-08	1.73374016272e-08	0.116920759528
STC_EXC_0.984375	3.36542562315e-08	2.8589376244e-08	0.119565922407
STC_VIP_0.875	3.71578389646e-08	3.16365904127e-08	0.120093208106
VLPFC_PV_0.5	1.8480811179e-08	1.58299143709e-08	0.121512079783
VLPFC_VIP_0.5	1.95147458545e-08	1.68971208546e-08	0.124062526925
OFC_PV_0.75	2.24634575677e-08	2.00708924685e-08	0.131526193826
PUT_D2_0.984375	3.92982022562e-08	3.53068207357e-08	0.132843809843
VLPFC_EXC_0.96875	2.60273899911e-08	2.3809541773e-08	0.137164070665
STC_PV_0.5	2.01160271267e-08	1.89402006023e-08	0.144099458233
VLPFC_PV_0.75	2.11636978153e-08	2.05827140948e-08	0.151921582271
ACC_VIP_0.875	3.52594853447e-08	3.45617125096e-08	0.153819372705
DLPFC_EXC_0.9375	2.27601198722e-08	2.26400665012e-08	0.157375558862
STC_EXC_0.9375	2.30556479952e-08	2.33424685281e-08	0.161646734924
OFC_EXC_0.984375	2.54147799145e-08	2.62911990383e-08	0.166855783652
OFC_VIP_0.875	2.67922610496e-08	2.80062995287e-08	0.169371659501
STC_VIP_0.5	2.00883339108e-08	2.11297858852e-08	0.170875382601
ACC_EXC_0.96875	2.35705190741e-08	2.55559292818e-08	0.178183144256
PUT_PV_0.9375	2.91311940408e-08	3.24881663528e-08	0.184947270919
OFC_SST_0.5	1.68155767127e-08	1.87721081267e-08	0.18518659244
VLPFC_SST_0.75	1.96066380915e-08	2.19781502099e-08	0.186170517425
DLPFC_EXC_0.96875	2.04317258515e-08	2.30378382022e-08	0.18757259773
VLPFC_EXC_0.984375	2.26951905897e-08	2.56114969595e-08	0.187772952677
STC_PV_0.75	1.89584913721e-08	2.28252403515e-08	0.203101714635
OFC_VIP_0.75	1.79627519904e-08	2.22022634541e-08	0.209243054192
STC_SST_0.9375	2.46717879947e-08	3.086018859e-08	0.212009033179
STC_EXC_0.5	1.32224831855e-08	1.65884957917e-08	0.212700098181
STC_SST_0.875	2.16241590419e-08	2.73524061812e-08	0.214595694401
STC_VIP_0.75	2.10569047447e-08	2.7026710347e-08	0.21795610388
DLPFC_EXC_0.984375	1.87563414027e-08	2.47909952769e-08	0.224651123838
VLPFC_PV_0.875	1.77402721334e-08	2.37473242968e-08	0.227518805801
DLPFC_VIP_0.875	2.11263793986e-08	2.87025657239e-08	0.230851662492
ACC_EXC_0.75	1.48459038996e-08	2.10391129282e-08	0.240208027949
VLPFC_EXC_0.9375	1.47663435483e-08	2.16825281075e-08	0.247927838122
VLPFC_EXC_0.5	1.01317928084e-08	1.51264696491e-08	0.251490888411
ACC_VIP_0.9375	2.54646816824e-08	3.81154488612e-08	0.252036971692
OFC_PV_0.5	1.18313391468e-08	1.77639601856e-08	0.252695805282
OFC_EXC_0.5	1.09648146381e-08	1.66866010426e-08	0.255557363653
ACC_EXC_0.984375	1.68432542286e-08	2.68517568623e-08	0.265241709694
DLPFC_VIP_0.9375	2.0672115383e-08	3.3022486119e-08	0.265657082624
DLPFC_EXC_0.875	1.20628698297e-08	1.97329305474e-08	0.2704983255
OFC_SST_0.875	1.5874162719e-08	2.60717178482e-08	0.271306883314
DLPFC_EXC_0.75	1.03675706046e-08	1.77763909301e-08	0.279872152342
