Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ACC_PV_0.875	9.20598487039e-08	2.43267305094e-08	7.70683231762e-05
VLPFC_PV_0.75	6.31412903949e-08	1.68101562193e-08	8.62772953292e-05
OFC_EXC_0.875	5.99475093375e-08	1.65879498146e-08	0.000150801578501
OFC_EXC_0.9375	6.39163402895e-08	1.79361680733e-08	0.000182940037365
DLPFC_EXC_0.875	5.91058696268e-08	1.69425974201e-08	0.000242782639621
DLPFC_EXC_0.5	4.99323729629e-08	1.44926834112e-08	0.000285159752483
VLPFC_SST_0.5	5.5814353881e-08	1.62448495888e-08	0.000295383360099
VLPFC_EXC_0.5	4.93618813415e-08	1.44420548835e-08	0.00031550078402
VLPFC_PV_0.875	6.7877676725e-08	1.99069696116e-08	0.000325119027211
OFC_EXC_0.5	4.69788932693e-08	1.41184751532e-08	0.000438182015285
ACC_EXC_0.75	5.9256515105e-08	1.79692124796e-08	0.000487454914939
ACC_EXC_0.9375	7.09649927736e-08	2.15317823083e-08	0.000490665102064
VLPFC_EXC_0.875	5.63182186208e-08	1.71006019926e-08	0.000495010795691
OFC_EXC_0.75	4.98437577761e-08	1.52690101653e-08	0.000548531486551
ACC_SST_0.75	6.87272338868e-08	2.14449811932e-08	0.000675742587842
DLPFC_EXC_0.9375	5.88524686471e-08	1.83960475452e-08	0.000689069306043
VLPFC_EXC_0.75	4.96103048003e-08	1.56273903675e-08	0.000750283504876
DLPFC_EXC_0.75	4.86982039388e-08	1.57430410745e-08	0.000989665600992
ACC_EXC_0.5	5.11117111482e-08	1.66122958107e-08	0.00104638958904
DLPFC_SST_0.5	5.06880610984e-08	1.65262036777e-08	0.00108061413818
ACC_PV_0.5	5.43709352855e-08	1.79380359959e-08	0.0012185578978
OFC_SST_0.5	4.75852547749e-08	1.57092836099e-08	0.0012263492217
ACC_VIP_0.75	7.02399495678e-08	2.32788110658e-08	0.00127504306934
OFC_EXC_0.984375	6.70312469472e-08	2.22397089312e-08	0.00128899302271
VLPFC_PV_0.5	4.63440674336e-08	1.54446173261e-08	0.00134696960307
DLPFC_PV_0.5	4.7111622355e-08	1.57781470064e-08	0.00141382704511
VLPFC_EXC_0.9375	5.15268652689e-08	1.74184382166e-08	0.00154730977108
ACC_EXC_0.875	5.64163754463e-08	1.91217977921e-08	0.00158696874265
VLPFC_SST_0.984375	8.54378504094e-08	2.9112871447e-08	0.00166929491475
STC_EXC_0.75	4.92853424907e-08	1.68535912703e-08	0.00172603238453
DLPFC_SST_0.75	5.39072750504e-08	1.84683520463e-08	0.00175634375106
DLPFC_VIP_0.5	5.03463556644e-08	1.72976828553e-08	0.00180377100126
ACC_SST_0.9375	8.05242676126e-08	2.78751490321e-08	0.00193389745855
VLPFC_SST_0.75	5.54167955992e-08	1.92615573223e-08	0.00200695026402
ACC_EXC_0.96875	6.34651876444e-08	2.21017334565e-08	0.00204262635906
DLPFC_EXC_0.96875	5.49580544353e-08	1.91456642146e-08	0.00204897200991
ACC_SST_0.5	5.23354911598e-08	1.83452694138e-08	0.00216675470267
STC_EXC_0.5	4.3158731194e-08	1.54811566406e-08	0.002653172838
ACC_VIP_0.5	5.30191739659e-08	1.90748273903e-08	0.00272182896919
VLPFC_EXC_0.96875	5.31678159681e-08	1.92503081262e-08	0.00287312555688
OFC_PV_0.5	4.25741576261e-08	1.54821329798e-08	0.00298076663573
DLPFC_PV_0.875	5.26653284137e-08	1.92727624941e-08	0.00314154381536
ACC_EXC_0.984375	6.52055481199e-08	2.40541439881e-08	0.00335623392951
OFC_SST_0.75	5.31057436127e-08	1.96756344622e-08	0.00347676829599
VLPFC_EXC_0.984375	5.79159627381e-08	2.14958454376e-08	0.00352697679145
STC_VIP_0.5	5.14736071207e-08	1.92171695558e-08	0.00369739618582
ACC_PV_0.75	5.46871161521e-08	2.04370248423e-08	0.00372661728633
ACC_PV_0.9375	7.61676504713e-08	2.86368652627e-08	0.00390963034845
OFC_VIP_0.75	5.10858849287e-08	1.92576094003e-08	0.00399178835346
STC_EXC_0.9375	5.15839925633e-08	1.97487900561e-08	0.00450061075831
OFC_EXC_0.96875	5.43078305203e-08	2.08228313354e-08	0.00455244271212
STC_EXC_0.875	4.58720958962e-08	1.78244775303e-08	0.00503312706915
STC_SST_0.5	4.58748297867e-08	1.79084835428e-08	0.00520917822566
VLPFC_VIP_0.75	5.05842882983e-08	1.97508467711e-08	0.00521676584601
DLPFC_PV_0.75	4.41620448149e-08	1.73353899456e-08	0.00542476805177
VLPFC_VIP_0.875	6.06480932926e-08	2.38849586288e-08	0.00555570909765
OFC_PV_0.75	4.38809787797e-08	1.73138350153e-08	0.00563126524689
ACC_VIP_0.875	7.03795486912e-08	2.79189916514e-08	0.00585361197066
VLPFC_VIP_0.5	4.42665470628e-08	1.75774396951e-08	0.00589492199113
STC_PV_0.875	5.27690406985e-08	2.10504697286e-08	0.00609170782157
OFC_SST_0.96875	6.81225179075e-08	2.72721146024e-08	0.00624689274497
VLPFC_SST_0.875	5.33791806337e-08	2.14115180799e-08	0.00633322066872
STC_PV_0.5	4.18981779901e-08	1.69772551457e-08	0.00679540286285
OFC_PV_0.875	4.96543505462e-08	2.02346894842e-08	0.00706538059843
DLPFC_EXC_0.984375	5.31771447859e-08	2.17205237312e-08	0.00717771750615
OFC_SST_0.875	5.18069296416e-08	2.1715499496e-08	0.00852304514686
OFC_SST_0.984375	7.25175248016e-08	3.04323645689e-08	0.00858824333019
ACC_SST_0.96875	7.35880179689e-08	3.15197360671e-08	0.00978046952106
NAC_PV_0.875	7.86646532341e-08	3.39654849413e-08	0.010278660049
