Name	Coefficient	Coefficient_std_error	Coefficient_P_value
STC_NeuN+_VIP	1.1145718107e-07	4.90928461744e-08	0.0115936484657
NAC_NeuN+_D2	1.32868226883e-07	6.54350466017e-08	0.0211510357899
VLPFC_NeuN+_VIP	7.34356598319e-08	4.08542420968e-08	0.0361278291285
PUT_NeuN+_D1	6.96367618858e-08	5.00538724052e-08	0.0820768986451
ACC_NeuN+_Exc	7.737629845e-08	6.07680579915e-08	0.101454839618
VLPFC_NeuN+_Exc	6.24598421756e-08	5.09492240742e-08	0.110113765189
PUT_NeuN+_D2	5.37816460486e-08	4.93347187056e-08	0.137826204404
NAC_NeuN+_D1	6.82358580882e-08	6.3091709326e-08	0.139729719176
OFC_NeuN+_VIP	4.64704749884e-08	4.41417769286e-08	0.146226654198
ACC_NeuN+_VIP	4.59531533741e-08	4.78015860902e-08	0.168192847004
DLPFC_NeuN+_VIP	4.36033690325e-08	4.60744596637e-08	0.171980600008
OFC_NeuN+_Exc	4.82486846655e-08	5.09837919445e-08	0.17198418353
VLPFC_NeuN+_PV	1.56861639727e-08	4.02331419007e-08	0.348312029689
STC_NeuN+_Exc	-6.88064818801e-09	6.37683166232e-08	0.542962782677
ACC_NeuN+_PV	-7.53688336275e-09	4.16723934857e-08	0.571761401268
STC_NeuN+_PV	-2.19670409266e-08	4.28390435724e-08	0.69594768455
DLPFC_NeuN+_PV	-3.17484655268e-08	4.40682219441e-08	0.76437262601
OFC_NeuN+_PV	-3.06865237396e-08	4.18588327574e-08	0.768249920904
DLPFC_NeuN+_Exc	-3.66483805285e-08	4.91405917146e-08	0.772101744225
