Name	Coefficient	Coefficient_std_error	Coefficient_P_value
PUT_NeuN+_D2	2.62531578547e-07	1.50341855532e-07	0.0403854275006
PUT_NeuN+_D1	2.51845293476e-07	1.80751064499e-07	0.0817605023549
NAC_NeuN+_D1	9.26483956515e-08	2.36476720301e-07	0.347607971181
NAC_NeuN+_D2	6.23834820438e-08	1.85926548008e-07	0.368613577125
VLPFC_NeuN+_Exc	4.84571834083e-08	1.58549731058e-07	0.3799440787
OFC_NeuN+_VIP	-1.77891631483e-08	1.52495639432e-07	0.546432713858
ACC_NeuN+_Exc	-3.8569223792e-08	1.90216763628e-07	0.580340481358
DLPFC_NeuN+_Exc	-4.38311616034e-08	1.38841412756e-07	0.623881955031
STC_NeuN+_Exc	-1.00899919696e-07	1.6918464802e-07	0.724542418195
OFC_NeuN+_Exc	-1.27927978708e-07	1.47350646256e-07	0.807354132474
VLPFC_NeuN+_PV	-1.73740188702e-07	1.54636115752e-07	0.869396337954
ACC_NeuN+_PV	-2.27548482243e-07	1.95463895702e-07	0.877817544018
ACC_NeuN+_VIP	-2.66608858983e-07	2.03488515778e-07	0.904934415949
STC_NeuN+_VIP	-2.43878923197e-07	1.76167977392e-07	0.916875025258
DLPFC_NeuN+_VIP	-2.38097233951e-07	1.61817458578e-07	0.929407699356
STC_NeuN+_PV	-2.79573178197e-07	1.58915590168e-07	0.960732967209
VLPFC_NeuN+_VIP	-2.75767638475e-07	1.45087210515e-07	0.971329511194
OFC_NeuN+_PV	-3.05074493376e-07	1.53768455107e-07	0.976371310981
DLPFC_NeuN+_PV	-3.47600732246e-07	1.56160284742e-07	0.986990322268
