Name	Coefficient	Coefficient_std_error	Coefficient_P_value
PUT_NeuN+_D2	3.71234123704e-07	1.74798269753e-07	0.0168440197646
PUT_NeuN+_D1	3.66797639776e-07	1.81765625078e-07	0.0217971753396
NAC_NeuN+_D1	2.53398305985e-07	2.65529147998e-07	0.169962244889
NAC_NeuN+_D2	1.47912823627e-07	2.2241331012e-07	0.253013783358
STC_NeuN+_Exc	1.18965016753e-07	2.50892732122e-07	0.317690464954
VLPFC_NeuN+_PV	4.71648232398e-08	1.14813359461e-07	0.340611208777
STC_NeuN+_PV	4.30273540106e-08	1.26833875592e-07	0.367213786006
VLPFC_NeuN+_Exc	7.90134722583e-08	2.56132187629e-07	0.378855862554
VLPFC_NeuN+_VIP	4.30479163551e-08	1.49917871776e-07	0.387001289424
ACC_NeuN+_VIP	-2.26065650964e-08	1.98570207485e-07	0.545320345514
DLPFC_NeuN+_Exc	-5.84018969335e-08	2.27717548006e-07	0.601204634264
DLPFC_NeuN+_PV	-3.54268448508e-08	1.26025439213e-07	0.610686478048
ACC_NeuN+_PV	-5.75648809186e-08	1.34148290019e-07	0.666079790761
OFC_NeuN+_PV	-7.46129022982e-08	1.36675532968e-07	0.70743700856
DLPFC_NeuN+_VIP	-9.84161527529e-08	1.45040318485e-07	0.751286396199
ACC_NeuN+_Exc	-2.27651037601e-07	2.4278715665e-07	0.825789604101
OFC_NeuN+_VIP	-1.55667586404e-07	1.24878037648e-07	0.893720003421
OFC_NeuN+_Exc	-2.68447499065e-07	1.78319347891e-07	0.933893365858
STC_NeuN+_VIP	-2.10389053438e-07	1.25152212149e-07	0.953624893838
