Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NAC_NeuN+_D2	2.19105571536e-06	2.24923045199e-06	0.16499457907
NAC_NeuN+_D1	1.9053939456e-06	2.44743033298e-06	0.218128794479
OFC_NeuN+_PV	9.19572249748e-07	1.57386251702e-06	0.279516857967
VLPFC_NeuN+_PV	8.09588270167e-07	1.47596158346e-06	0.29166888669
PUT_NeuN+_D1	7.96765144948e-07	1.76413098734e-06	0.325761514404
PUT_NeuN+_D2	2.89392527801e-07	1.65223081318e-06	0.430479862898
DLPFC_NeuN+_PV	-1.57860772142e-07	1.58853759693e-06	0.539579696325
ACC_NeuN+_Exc	-9.34213213143e-07	2.17108213482e-06	0.666510711993
ACC_NeuN+_PV	-6.92881498973e-07	1.59722710766e-06	0.667784154877
STC_NeuN+_Exc	-1.54790757562e-06	1.84509608464e-06	0.799245873994
VLPFC_NeuN+_Exc	-1.56419299928e-06	1.65926063361e-06	0.827084046722
DLPFC_NeuN+_VIP	-2.06860761233e-06	1.61357532986e-06	0.900079115978
DLPFC_NeuN+_Exc	-2.20676498448e-06	1.71939110587e-06	0.900334036592
VLPFC_NeuN+_VIP	-2.28191587805e-06	1.54255060007e-06	0.930471722538
STC_NeuN+_PV	-2.48207149575e-06	1.54309025451e-06	0.946137909224
OFC_NeuN+_Exc	-2.66525896857e-06	1.62220936338e-06	0.949806555442
OFC_NeuN+_VIP	-2.62362474886e-06	1.52594681334e-06	0.957223959789
ACC_NeuN+_VIP	-3.30037628431e-06	1.88512265047e-06	0.960005408299
STC_NeuN+_VIP	-3.61251480451e-06	1.63671915838e-06	0.986348851686
