Name	Coefficient	Coefficient_std_error	Coefficient_P_value
VLPFC_NeuN+_Exc	2.64617856325e-07	1.33232538703e-07	0.0235091479205
PUT_NeuN+_D1	3.14469126044e-07	1.61520638591e-07	0.0257716568156
PUT_NeuN+_D2	2.17704896915e-07	1.36222054618e-07	0.0550034758554
STC_NeuN+_Exc	2.66667646649e-07	1.72329223747e-07	0.0608796309453
STC_NeuN+_VIP	2.39005555221e-07	1.92376942643e-07	0.107047918393
OFC_NeuN+_VIP	2.01566704451e-07	1.62317564721e-07	0.107154325833
ACC_NeuN+_Exc	1.74290070566e-07	1.64226020106e-07	0.144280948819
ACC_NeuN+_VIP	1.34134891223e-07	1.65526270388e-07	0.208868346257
NAC_NeuN+_D1	1.18721235698e-07	1.8402640082e-07	0.259420972523
OFC_NeuN+_Exc	6.85067240193e-08	1.20452916851e-07	0.284765363409
NAC_NeuN+_D2	6.57698584868e-08	1.44000248223e-07	0.323931002189
DLPFC_NeuN+_Exc	2.15147969515e-08	1.26792494927e-07	0.432628897017
STC_NeuN+_PV	-1.05672513191e-08	1.99060373777e-07	0.521168171492
OFC_NeuN+_PV	-3.31455375911e-08	1.88888765733e-07	0.56964737875
ACC_NeuN+_PV	-4.02190960654e-08	2.02485958579e-07	0.578722575034
VLPFC_NeuN+_VIP	-2.50104142281e-08	1.22197959299e-07	0.581085524441
DLPFC_NeuN+_PV	-1.17588435193e-07	1.82869226403e-07	0.739894199667
DLPFC_NeuN+_VIP	-9.40976258298e-08	1.38528510772e-07	0.751515145862
VLPFC_NeuN+_PV	-1.27029969957e-07	1.6238554905e-07	0.78297317661
