Name	Coefficient	Coefficient_std_error	Coefficient_P_value
STC_NeuN+_VIP	9.06063599736e-08	3.8253833219e-08	0.00892882967893
OFC_NeuN+_PV	5.34801173759e-08	3.30306839329e-08	0.0527124282146
DLPFC_NeuN+_Exc	5.2235385279e-08	3.37461497265e-08	0.0608241858996
NAC_NeuN+_D2	8.01925810203e-08	5.66700472067e-08	0.0785227001835
VLPFC_NeuN+_PV	4.34311916152e-08	3.08845093521e-08	0.0798256700436
PUT_NeuN+_D2	5.32793195575e-08	3.82030015268e-08	0.0815626653557
PUT_NeuN+_D1	4.01685640254e-08	3.6169659147e-08	0.1333789694
OFC_NeuN+_Exc	3.3808629589e-08	3.04540428892e-08	0.133466674637
STC_NeuN+_Exc	3.52509164364e-08	3.63083941113e-08	0.165805234899
VLPFC_NeuN+_VIP	3.02432532037e-08	3.16580192836e-08	0.16971023003
NAC_NeuN+_D1	4.55000720194e-08	5.10551408626e-08	0.186412357979
ACC_NeuN+_Exc	2.59708377845e-08	3.70765267965e-08	0.241818238321
VLPFC_NeuN+_Exc	1.84125943972e-08	3.10012813055e-08	0.276279429812
ACC_NeuN+_VIP	1.89243770209e-08	3.37939879033e-08	0.287742304452
DLPFC_NeuN+_PV	1.04604500297e-08	3.16404642931e-08	0.370471979665
OFC_NeuN+_VIP	7.88134141457e-09	3.03277163315e-08	0.397481037415
DLPFC_NeuN+_VIP	6.93142895676e-09	3.36713379074e-08	0.418451906648
ACC_NeuN+_PV	-6.92131810256e-09	3.50047499586e-08	0.578369929435
STC_NeuN+_PV	-2.19913212716e-08	2.78274156892e-08	0.785316516608
