Name	Coefficient	Coefficient_std_error	Coefficient_P_value
STC_NeuN+_PV	1.04641532013e-06	1.00780508859e-06	0.149562595908
VLPFC_NeuN+_PV	9.71625842635e-07	9.5116161455e-07	0.153505256536
OFC_NeuN+_PV	7.5250938852e-07	9.64726627753e-07	0.217688537406
DLPFC_NeuN+_PV	6.30929644669e-07	9.9171426688e-07	0.262322698784
ACC_NeuN+_PV	5.81174918064e-07	1.10964661978e-06	0.300227000341
PUT_NeuN+_D1	4.53192743525e-07	1.15019991509e-06	0.346786033817
STC_NeuN+_Exc	-3.8504123083e-07	1.28627556969e-06	0.617661906091
OFC_NeuN+_Exc	-5.20699082755e-07	1.15047235508e-06	0.674580127872
NAC_NeuN+_D2	-5.56602320122e-07	1.21518597262e-06	0.676537715629
DLPFC_NeuN+_Exc	-5.52664423288e-07	1.05218390916e-06	0.700296888346
STC_NeuN+_VIP	-6.3995094548e-07	1.19050107016e-06	0.704555278985
ACC_NeuN+_VIP	-7.82759617284e-07	1.25310100863e-06	0.733902240331
ACC_NeuN+_Exc	-9.71156901318e-07	1.51397344007e-06	0.739388819827
NAC_NeuN+_D1	-1.26300004164e-06	1.39191594084e-06	0.817897696136
PUT_NeuN+_D2	-9.05718120876e-07	9.66116662925e-07	0.82574496396
OFC_NeuN+_VIP	-1.18123878622e-06	9.80917798082e-07	0.885747318413
VLPFC_NeuN+_VIP	-1.31501750257e-06	1.01220796518e-06	0.903055046952
VLPFC_NeuN+_Exc	-1.38612197602e-06	9.9135256265e-07	0.918975433164
DLPFC_NeuN+_VIP	-1.66844363569e-06	1.0359532243e-06	0.94635994031
