Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ACC_NeuN+_VIP	1.19373420608e-06	3.34225491799e-07	0.000177374244244
PUT_NeuN+_D1	1.0600096557e-06	3.03253342932e-07	0.000236623492268
NAC_NeuN+_D1	1.18650218987e-06	3.46497043234e-07	0.00030821767189
OFC_NeuN+_PV	7.97580215771e-07	2.3640771023e-07	0.000370760083362
ACC_NeuN+_PV	7.51004330012e-07	2.37300777054e-07	0.000776006015865
DLPFC_NeuN+_VIP	8.38752284353e-07	2.66511060404e-07	0.000824330628128
STC_NeuN+_VIP	8.57835648153e-07	2.76758056925e-07	0.000968953595431
VLPFC_NeuN+_PV	7.18793705172e-07	2.46491287221e-07	0.00177217373719
STC_NeuN+_PV	7.31244544386e-07	2.5481069955e-07	0.00205394300729
PUT_NeuN+_D2	7.50545193091e-07	2.65550728483e-07	0.00235392639328
DLPFC_NeuN+_PV	6.69871729692e-07	2.4736055832e-07	0.00338370396721
NAC_NeuN+_D2	7.91618504237e-07	3.01289240443e-07	0.00430153827559
VLPFC_NeuN+_VIP	6.64711927271e-07	2.62615221006e-07	0.00568486756016
STC_NeuN+_Exc	7.09960810633e-07	2.87617082725e-07	0.00678547986022
VLPFC_NeuN+_Exc	5.47143319255e-07	2.591225445e-07	0.0173636738818
OFC_NeuN+_VIP	5.39249134023e-07	2.7072016584e-07	0.0231906839627
OFC_NeuN+_Exc	5.10260715156e-07	2.60955556538e-07	0.0252706001993
ACC_NeuN+_Exc	4.45550308142e-07	2.77832128119e-07	0.0543937000006
DLPFC_NeuN+_Exc	2.87553334769e-07	2.29842542554e-07	0.105451116822
