Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NAC_NeuN+_D2	8.8600901872e-08	4.45281438629e-08	0.0233079691869
DLPFC_NeuN+_PV	5.62699367488e-08	4.58589592412e-08	0.109907223156
PUT_NeuN+_D2	4.18900273196e-08	3.55450142589e-08	0.119297388241
OFC_NeuN+_PV	3.63861172587e-08	3.82608923892e-08	0.170802130905
OFC_NeuN+_Exc	3.74733442541e-08	4.08251854307e-08	0.179336210095
DLPFC_NeuN+_Exc	3.41310304424e-08	4.09010240872e-08	0.202005663044
ACC_NeuN+_PV	2.78984950564e-08	4.37003867167e-08	0.261605413228
STC_NeuN+_PV	2.35493257468e-08	3.83376076689e-08	0.269521189069
ACC_NeuN+_Exc	3.01657605454e-08	4.95851675548e-08	0.271473511474
PUT_NeuN+_D1	2.54950951329e-08	4.3366195959e-08	0.278298868286
VLPFC_NeuN+_PV	2.2154360118e-08	3.82890071086e-08	0.281426550516
NAC_NeuN+_D1	2.23799484012e-08	4.99699624833e-08	0.327124223044
VLPFC_NeuN+_Exc	9.2308240386e-09	3.75397824343e-08	0.402881971305
STC_NeuN+_Exc	-4.28134400829e-08	3.5874756917e-08	0.883646378636
VLPFC_NeuN+_VIP	-6.87010355141e-08	3.03656781165e-08	0.988165403075
OFC_NeuN+_VIP	-7.52322577404e-08	3.24497464888e-08	0.989786844381
ACC_NeuN+_VIP	-7.93112701423e-08	3.34102526929e-08	0.991198393706
STC_NeuN+_VIP	-9.02296262323e-08	3.6690610794e-08	0.993037689206
DLPFC_NeuN+_VIP	-8.8362748115e-08	3.5194784785e-08	0.993975010728
