ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000142599	RERE	1	8412457	8877702	-1	protein_coding	473	RERE	0.999995655258253	-0.582722314	142	16.75	2.8e-09	rs301805	1
ENSG00000142949	PTPRF	1	43990858	44089343	1	protein_coding	5792	PTPRF	0.999998378977356	-1.116923282	124	18.13	8.12e-18	rs951740;rs3001723;rs530373;rs588657;rs56319043;rs512579	2
ENSG00000066135	KDM4A	1	44115829	44171186	1	protein_coding	9682	KDM4A	0.999993865120135	-1.029432354	65	17.97	2.84e-16	rs588657;rs3001723;rs951740;rs56319043	2
ENSG00000126091	ST3GAL3	1	44171495	44396831	1	protein_coding	6487	ST3GAL3	0.573989459299218	0.35827043	112	17.97	1.61e-11	rs951740;rs56319043;rs588657	2
ENSG00000186094	AGBL4	1	48998527	50489585	-1	protein_coding	84871	AGBL4	3.57830057240453e-06	-0.036348452	13	17.04	2e-08	rs1343432	3
ENSG00000162374	ELAVL4	1	50513686	50669458	1	protein_coding	1996	ELAVL4	0.976912761697479	-0.166779752	13	12.69	3.36e-09	rs6669839	4
ENSG00000184588	PDE4B	1	66258197	66840259	1	protein_coding	5142	PDE4B	0.709078616910536	-0.830512064	265	16.98	3.61e-13	rs35825384;rs11208769;rs12088813;rs2186122;rs12727285;rs7539350	5
ENSG00000259030	FPGT-TNNI3K	1	74663919	75009666	1	protein_coding	100526835	FPGT-TNNI3K	1.84157554257575e-38	0.110263941	60	20.5	8.82e-10	rs2344508	7
ENSG00000116783	TNNI3K	1	74663947	75010112	1	protein_coding	51086	TNNI3K	1.80292277016875e-38	0.231252328	60	20.5	8.82e-10	rs2344508	7
ENSG00000162621	LRRC53	1	74935562	74978298	-1	protein_coding	105378803	LRRC53	NA	NA	7	15.42	1.22e-09	rs2344508	7
ENSG00000143032	BARHL2	1	91177096	91182794	-1	protein_coding	343472	BARHL2	0.222344944286557	0.135582777	8	23	6.44e-10	rs12042107;rs12133063;rs72720396;rs4146669	9
ENSG00000143552	NUP210L	1	153965161	154127592	-1	protein_coding	91181	NUP210L	0.144640619732186	0.363113447	15	11.07	3.73e-09	rs12027999	10
ENSG00000143549	TPM3	1	154127784	154167124	-1	protein_coding	7170	TPM3	0.191983984043152	-0.527201952	19	13.37	3.19e-09	rs12027999	10
ENSG00000163263	C1orf189	1	154171848	154178809	-1	protein_coding	388701	C1orf189	0.000114764896185549	-0.162537364	3	1.704	4.06e-09	rs12027999	10
ENSG00000143612	C1orf43	1	154179182	154193104	-1	protein_coding	25912	C1orf43	0.173985957447014	-0.684900977	2	11.77	2.99e-09	rs12027999	10
ENSG00000143569	UBAP2L	1	154192655	154243986	1	protein_coding	9898	UBAP2L	0.999999873126418	0.35646256	15	13.39	5.76e-10	rs12027999	10
ENSG00000143469	SYT14	1	210111538	210337636	1	protein_coding	255928	SYT14	0.966548706607067	-1.294616485	11	16.46	3.03e-08	rs2046850	11
ENSG00000151353	TMEM18	2	667335	677439	-1	protein_coding	129787	TMEM18	0.0536351493645142	-0.434028937	1	1.976	6.23e-09	rs7574085	12
ENSG00000138083	SIX3	2	45168902	45173216	1	protein_coding	6496	SIX3	0.348879193568557	-0.044660275	14	18.09	5.27e-17	rs1004787;rs13386862;rs11692742;rs984494;rs2276588	13
ENSG00000028116	VRK2	2	58134786	58387055	1	protein_coding	7444	VRK2	1.21621414925507e-08	-0.188348208	110	20	2.03e-08	rs1518393	15
ENSG00000115392	FANCL	2	58386378	58468507	-1	protein_coding	55120	FANCL	2.09960326026736e-08	NA	13	19.85	0.0011	rs1518393	15
ENSG00000144229	THSD7B	2	137523115	138435287	1	protein_coding	80731	THSD7B	5.65285413355626e-06	NA	84	20.3	2.43e-09	rs35702515;rs1346733	19
