GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000269831	1	738532	739137	1	1	501723	0.4649	0.321	AL669831.1
ENSG00000269308	1	818043	819983	5	3	538888	-0.46857	0.68031	AL645608.2
ENSG00000187634	1	860260	879955	109	32	592427	1.2916	0.098256	SAMD11
ENSG00000268179	1	861264	866445	35	12	593725	1.8705	0.03071	AL645608.1
ENSG00000188976	1	879584	894689	88	21	599729	-0.84964	0.80224	NOC2L
ENSG00000187961	1	895967	901095	29	9	594511	-0.92346	0.82212	KLHL17
ENSG00000187583	1	901877	911245	55	29	601163	-0.30261	0.61891	PLEKHN1
ENSG00000187642	1	910579	917497	38	13	606709	0.72857	0.23313	C1orf170
ENSG00000188290	1	934342	935552	5	2	605133	-1.2733	0.89855	HES4
ENSG00000187608	1	948803	949920	9	4	603673	-0.83623	0.79849	ISG15
ENSG00000188157	1	955503	991496	205	40	593637	0.91979	0.17884	AGRN
ENSG00000237330	1	1006346	1009687	16	8	591092	-0.15445	0.56137	RNF223
ENSG00000131591	1	1017198	1051741	162	30	601817	-0.2224	0.588	C1orf159
ENSG00000162571	1	1109264	1133315	172	29	616908	-1.0745	0.85871	TTLL10
ENSG00000186891	1	1138888	1142071	18	7	593210	0.28073	0.38946	TNFRSF18
ENSG00000186827	1	1146706	1149518	12	6	616319	-0.53226	0.70273	TNFRSF4
ENSG00000078808	1	1152288	1167411	127	12	612370	0.15878	0.43692	SDF4
ENSG00000176022	1	1167629	1170421	12	5	610563	0.37541	0.35368	B3GALT6
ENSG00000184163	1	1177826	1182102	20	7	603496	-0.61703	0.73139	FAM132A
ENSG00000160087	1	1189289	1209265	78	18	608544	-0.84816	0.80182	UBE2J2
ENSG00000162572	1	1215816	1227409	55	22	617204	-1.035	0.84967	SCNN1D
ENSG00000131584	1	1227756	1244989	85	24	590003	-0.097661	0.5389	ACAP3
ENSG00000169972	1	1243947	1247057	10	7	586807	0.87635	0.19042	PUSL1
ENSG00000127054	1	1246965	1260071	41	18	584867	0.84924	0.19787	CPSF3L
ENSG00000224051	1	1260136	1264277	18	6	601582	0.69358	0.24397	GLTPD1
ENSG00000169962	1	1266694	1270686	25	12	586682	-0.23099	0.59134	TAS1R3
ENSG00000107404	1	1270656	1284730	60	20	603087	0.83061	0.2031	DVL1
ENSG00000162576	1	1288069	1297157	44	13	599557	1.2472	0.10616	MXRA8
ENSG00000175756	1	1309110	1310875	11	4	611165	0.75646	0.22469	AURKAIP1
ENSG00000221978	1	1321091	1334708	41	21	591093	-0.087687	0.53494	CCNL2
ENSG00000224870	1	1334902	1337426	12	5	616319	0.52757	0.2989	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	19	8	590698	0.26635	0.39498	MRPL20
ENSG00000235098	1	1353800	1357149	15	8	603107	0.30747	0.37924	ANKRD65
ENSG00000205116	1	1361508	1363167	8	3	632802	0.79841	0.21232	TMEM88B
ENSG00000179403	1	1370241	1378262	27	9	597592	1.2928	0.098045	VWA1
ENSG00000215915	1	1385069	1405538	105	25	595402	1.9497	0.025607	ATAD3C
ENSG00000160072	1	1407143	1433228	128	21	603987	1.2802	0.10023	ATAD3B
ENSG00000197785	1	1447531	1470067	112	29	599905	0.27919	0.39005	ATAD3A
ENSG00000205090	1	1470554	1475833	15	8	604965	-0.84635	0.80132	TMEM240
ENSG00000160075	1	1477053	1510249	135	23	611233	0.2799	0.38978	SSU72
ENSG00000215014	1	1510355	1511373	3	1	632802	-0.011024	0.5044	AL645728.1
ENSG00000228594	1	1533392	1535476	5	3	591319	0.039334	0.48431	C1orf233
ENSG00000197530	1	1550795	1565990	52	15	610781	2.47	0.0067559	MIB2
ENSG00000248333	1	1570603	1590473	25	7	588606	-0.04611	0.51839	CDK11B
ENSG00000189339	1	1592939	1624167	84	25	605571	0.51223	0.30425	SLC35E2B
ENSG00000008128	1	1634169	1655766	56	7	606515	1.7513	0.039951	CDK11A
ENSG00000215790	1	1656277	1677431	57	19	609008	1.3604	0.086844	SLC35E2
ENSG00000008130	1	1682671	1711896	111	24	608007	0.74154	0.22918	NADK
ENSG00000078369	1	1716729	1822495	292	46	596323	2.0675	0.019345	GNB1
ENSG00000169885	1	1846266	1848735	14	5	618674	1.6999	0.044578	CALML6
ENSG00000178821	1	1849029	1850712	9	5	625389	2.232	0.012807	TMEM52
ENSG00000142609	1	1853396	1935276	456	50	605130	1.6403	0.050475	C1orf222
ENSG00000187730	1	1950780	1962192	52	18	600592	-1.5782	0.94274	GABRD
ENSG00000067606	1	1981909	2116834	625	55	603954	0.1571	0.43758	PRKCZ
ENSG00000162585	1	2115903	2144159	82	26	604567	-0.44817	0.67298	C1orf86
ENSG00000269554	1	2121237	2123179	4	2	632802	-1.5056	0.93391	AL590822.2
ENSG00000203301	1	2143360	2145620	10	6	619459	-0.47333	0.68201	AL590822.1
ENSG00000157933	1	2160134	2241558	365	83	609789	1.5361	0.062261	SKI
ENSG00000116151	1	2252692	2323146	409	61	615173	1.3905	0.082194	MORN1
ENSG00000269753	1	2258581	2259042	1	1	558820	-0.64027	0.739	AL589739.1
ENSG00000157916	1	2323267	2336883	54	22	612377	1.0911	0.13762	RER1
ENSG00000157911	1	2336236	2345236	42	17	609433	1.3303	0.091714	PEX10
ENSG00000149527	1	2357419	2436969	435	79	611758	2.6386	0.004163	PLCH2
ENSG00000157881	1	2439972	2458039	95	25	602899	3.5869	0.00016732	PANK4
ENSG00000197921	1	2460184	2461684	6	4	612167	1.4444	0.074317	HES5
ENSG00000157873	1	2487078	2496821	35	11	612098	0.3277	0.37157	TNFRSF14
ENSG00000157870	1	2517930	2522908	26	16	585709	0.6617	0.25408	FAM213B
ENSG00000142606	1	2522078	2564481	223	23	611617	-0.12243	0.54872	MMEL1
ENSG00000215912	1	2567415	2718286	187	30	607603	0.36527	0.35745	TTC34
ENSG00000169717	1	2938046	2939465	4	2	599444	-1.1453	0.87395	ACTRT2
ENSG00000142611	1	2985732	3355185	2213	259	608666	1.8297	0.033646	PRDM16
ENSG00000130762	1	3370990	3397677	135	25	608875	-0.34505	0.63497	ARHGEF16
ENSG00000162591	1	3406484	3528059	703	124	613692	-1.5341	0.9375	MEGF6
ENSG00000158109	1	3541566	3546691	16	7	616724	2.2698	0.01161	TPRG1L
ENSG00000116213	1	3547331	3569325	69	27	599656	1.9523	0.025451	WRAP73
ENSG00000078900	1	3569084	3652765	417	86	614933	1.8553	0.031778	TP73
ENSG00000162592	1	3668962	3688209	106	32	602625	-0.33093	0.62965	CCDC27
ENSG00000235169	1	3689352	3692546	18	10	607926	1.1842	0.11817	SMIM1
ENSG00000130764	1	3696784	3713068	107	25	612080	1.0646	0.14353	LRRC47
ENSG00000116198	1	3728645	3773778	350	24	618687	0.39811	0.34527	CEP104
ENSG00000169598	1	3773845	3801993	216	38	611700	1.4177	0.07814	DFFB
ENSG00000198912	1	3805689	3816857	60	14	623782	-0.097118	0.53868	C1orf174
ENSG00000196581	1	4714792	4852594	862	110	618051	-0.42329	0.66396	AJAP1
ENSG00000131697	1	5922871	6052533	567	37	610878	-1.2789	0.89953	NPHP4
ENSG00000069424	1	6051526	6161253	459	89	609249	-0.87688	0.80972	KCNAB2
ENSG00000268332	1	6100630	6101399	5	3	630804	1.4173	0.078197	AL035406.1
ENSG00000116254	1	6161853	6240183	370	50	614373	-1.5241	0.93626	CHD5
ENSG00000116251	1	6241329	6269449	90	23	612786	-1.4389	0.92492	RPL22
ENSG00000158286	1	6265535	6281359	56	11	602175	-1.4954	0.9326	RNF207
