ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000147432	CHRNB3	8	42552519	42592550	1	protein_coding	1142	CHRNB3	0.000131863319539552	0.972687613	3	4.035	6.97e-08	rs60749569	1
ENSG00000147434	CHRNA6	8	42607763	42651535	-1	protein_coding	8973	CHRNA6	2.0439355054386e-06	0.380719234	1	1.845	1.95e-08	rs60749569	1
ENSG00000197859	ADAMTSL2	9	136397286	136440641	1	protein_coding	9719	ADAMTSL2	0.0710586670580913	NA	4	7.862	7.35e-17	rs113048552;rs111540753	2
ENSG00000196990	FAM163B	9	136444079	136451319	-1	protein_coding	642968	FAM163B	0.428150995206124	-0.470114741	15	8.821	9.7e-24	rs113048552;rs111540753;rs756771;rs3025318;rs112151537;rs3025327	2
ENSG00000123454	DBH	9	136501482	136524466	1	protein_coding	1621	DBH	2.54160922305115e-06	-0.489499936	16	5.257	2.36e-08	rs6479629;rs3025388;rs2007153	2
ENSG00000110693	SOX6	11	15987995	16761138	-1	protein_coding	55553	SOX6	0.999530959870119	-2.52258098	24	16.25	2.24e-08	rs7127006	3
ENSG00000169758	C15orf27	15	76352178	76521462	1	protein_coding	123591	C15orf27	1.47913813182816e-08	NA	21	18.31	5.81e-08	rs3866543	4
ENSG00000140374	ETFA	15	76507696	76603813	-1	protein_coding	2108	ETFA	0.0129272726537226	-0.104718017	29	18.31	3.75e-08	rs3866543	4
ENSG00000159556	ISL2	15	76629065	76634817	1	protein_coding	64843	ISL2	0.329330132128272	-0.901159128	8	12.78	5.02e-09	rs3866543	4
ENSG00000140386	SCAPER	15	76640526	77197785	-1	protein_coding	49855	SCAPER	0.0392828983920439	0.499724235	217	15.89	9e-09	rs3866543	4
ENSG00000117906	RCN2	15	77223960	77242601	1	protein_coding	5955	RCN2	0.449457626519201	-0.078480128	9	12.63	1.85e-07	rs3866543	4
ENSG00000136381	IREB2	15	78729773	78793798	1	protein_coding	3658	IREB2	0.999999730362402	0.131406258	30	9.944	1.59e-08	rs72740955	5
ENSG00000188266	HYKK	15	78799906	78829714	1	protein_coding	123688	HYKK	0.000214856084289355	-0.450544025	27	8.757	6.59e-09	rs72740955;rs518425	5
ENSG00000268838	AC027228.1	15	78830023	78831288	1	protein_coding	NA	NA	NA	NA	17	8.757	6.59e-09	rs518425;rs72740955	5
ENSG00000041357	PSMA4	15	78832747	78841604	1	protein_coding	5685	PSMA4	0.620423590120457	0.678454526	21	8.757	3.01e-09	rs518425;rs72740955	5
ENSG00000169684	CHRNA5	15	78857862	78887611	1	protein_coding	1138	CHRNA5	2.40946932670794e-06	0.42114192	48	14.97	7.57e-11	rs72740955;rs518425	5
ENSG00000080644	CHRNA3	15	78885394	78913637	-1	protein_coding	1136	CHRNA3	0.00706163755884019	0.011573306	61	15.25	7.57e-11	rs518425;rs72740955	5
ENSG00000117971	CHRNB4	15	78916461	79020096	-1	protein_coding	1143	CHRNB4	0.0186266094522454	-0.17732684	34	15.25	8.04e-09	rs518425;rs72740955	5
ENSG00000077312	SNRPA	19	41256542	41271294	1	protein_coding	6626	SNRPA	0.0602794492639456	-0.11925089	2	3.482	1.54e-09	rs7937	6
ENSG00000268975	MIA-RAB4B	19	41277553	41292590	1	protein_coding	100529262	MIA-RAB4B	NA	NA	8	8.413	3.94e-10	rs7937	6
ENSG00000261857	MIA	19	41277553	41283395	1	protein_coding	8190	MIA	0.00695373031106117	0.348272045	7	6.635	3.94e-10	rs7937	6
ENSG00000167578	RAB4B	19	41284121	41302847	1	protein_coding	53916	RAB4B	0.940202326280457	-0.113761514	8	16.74	5.29e-11	rs7937	6
ENSG00000171570	RAB4B-EGLN2	19	41284147	41314103	1	protein_coding	100529264	RAB4B-EGLN2	NA	NA	8	16.74	5.29e-11	rs7937	6
ENSG00000269858	EGLN2	19	41304901	41314338	1	protein_coding	112398	EGLN2	0.286988738826209	0.020389359	3	16.74	5.29e-11	rs7937	6
ENSG00000268797	CTC-490E21.12	19	41307202	41404187	1	protein_coding	NA	NA	NA	NA	111	21.9	2.52e-26	rs7937;rs111822043;rs7255471;rs59586387;rs28399451;rs2644891;rs11667314;rs12610432;rs56113850;rs7250713;rs1801272;rs145402786	6
ENSG00000255974	CYP2A6	19	41349443	41356352	-1	protein_coding	1548	CYP2A6	2.17794878373007e-06	0.721351243	67	21.9	2.52e-26	rs11667314;rs56113850;rs7250713;rs28399451;rs12610432;rs2644891;rs59586387;rs111822043;rs1801272	6
ENSG00000198077	CYP2A7	19	41381344	41388657	-1	protein_coding	1549	CYP2A7	3.01470348763618e-10	2.76960274	13	4.266	3.41e-11	rs1801272;rs59586387;rs111822043;rs12610432;rs145402786;rs28399451	6
ENSG00000101203	COL20A1	20	61924538	61966203	1	protein_coding	57642	COL20A1	1.26872087443005e-24	0.468227847	9	5.72	8.2e-09	rs4809294	7
ENSG00000101204	CHRNA4	20	61975420	62009753	-1	protein_coding	1137	CHRNA4	0.0208678880743461	1.18697841	30	8.385	2.04e-16	rs4809294;rs2236196;rs4809542;rs6011779;rs11697662;rs6089904	7
ENSG00000101210	EEF1A2	20	62119366	62130505	-1	protein_coding	1917	EEF1A2	0.96413145424868	NA	1	21.6	NA	rs6089904;rs11699828	7
ENSG00000125534	PPDPF	20	62152077	62153559	1	protein_coding	79144	PPDPF	0.000225837231011149	NA	2	0.456	2.59e-08	rs11699828	7
ENSG00000101213	PTK6	20	62159778	62168723	-1	protein_coding	5753	PTK6	1.17663250084696e-07	-0.206799513	2	0.456	2.59e-08	rs11699828	7
ENSG00000100395	L3MBTL2	22	41601209	41627275	1	protein_coding	83746	L3MBTL2	0.0130280434479328	-0.618259224	1	3.254	1.13e-06	rs9607805	8
ENSG00000100399	CHADL	22	41625517	41636938	-1	protein_coding	150356	CHADL	0.080813456311772	0.299036715	4	8.721	1.04e-06	rs9607805	8
