GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000187634	1	860260	879955	19	6	28920	-0.63907	0.73861	SAMD11
ENSG00000268179	1	861264	866445	3	2	22683	-1.1962	0.8842	AL645608.1
ENSG00000188976	1	879584	894689	9	4	26605	1.2773	0.10074	NOC2L
ENSG00000187961	1	895967	901095	6	3	30668	-1.2724	0.89838	KLHL17
ENSG00000187583	1	901877	911245	2	1	28990	-0.84623	0.80129	PLEKHN1
ENSG00000187642	1	910579	917497	1	1	22683	-1.5919	0.9443	C1orf170
ENSG00000188290	1	934342	935552	1	1	22683	1.1091	0.1337	HES4
ENSG00000187608	1	948803	949920	1	1	22683	1.2948	0.0977	ISG15
ENSG00000188157	1	955503	991496	53	12	24491	-0.70003	0.75804	AGRN
ENSG00000237330	1	1006346	1009687	1	1	22683	-1.4374	0.9247	RNF223
ENSG00000131591	1	1017198	1051741	29	9	42592	-0.28277	0.61133	C1orf159
ENSG00000162571	1	1109264	1133315	49	11	41207	-0.083902	0.53343	TTLL10
ENSG00000186891	1	1138888	1142071	8	3	33084	0.55672	0.28886	TNFRSF18
ENSG00000078808	1	1152288	1167411	22	4	45260	-1.4481	0.92621	SDF4
ENSG00000184163	1	1177826	1182102	5	2	50921	-0.72504	0.76579	FAM132A
ENSG00000160087	1	1189289	1209265	22	7	25892	0.34462	0.36519	UBE2J2
ENSG00000162572	1	1215816	1227409	10	5	33272	-0.81581	0.7927	SCNN1D
ENSG00000131584	1	1227756	1244989	20	6	26843	-1.8507	0.96789	ACAP3
ENSG00000169972	1	1243947	1247057	3	2	34449	-0.69435	0.75627	PUSL1
ENSG00000127054	1	1246965	1260071	7	3	27725	-1.2817	0.90003	CPSF3L
ENSG00000224051	1	1260136	1264277	3	2	22683	-0.36551	0.64263	GLTPD1
ENSG00000169962	1	1266694	1270686	5	3	22683	0.29093	0.38555	TAS1R3
ENSG00000107404	1	1270656	1284730	12	4	22683	-0.2871	0.61298	DVL1
ENSG00000162576	1	1288069	1297157	5	2	22683	-1.0665	0.85691	MXRA8
ENSG00000175756	1	1309110	1310875	2	1	40332	0.53562	0.29611	AURKAIP1
ENSG00000221978	1	1321091	1334708	9	4	26605	1.098	0.13611	CCNL2
ENSG00000224870	1	1334902	1337426	3	1	34449	-1.7003	0.95547	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	6	3	34449	-0.16517	0.56559	MRPL20
ENSG00000235098	1	1353800	1357149	1	1	22683	0.12869	0.4488	ANKRD65
ENSG00000205116	1	1361508	1363167	1	1	57980	-1.281	0.8999	TMEM88B
ENSG00000179403	1	1370241	1378262	1	1	35297	1.4006	0.08066	VWA1
ENSG00000215915	1	1385069	1405538	1	1	35297	0.17892	0.429	ATAD3C
ENSG00000160072	1	1407143	1433228	12	3	34661	0.47114	0.31877	ATAD3B
ENSG00000197785	1	1447531	1470067	16	5	34502	1.6532	0.049143	ATAD3A
ENSG00000160075	1	1477053	1510249	14	5	35289	2.441	0.0073225	SSU72
ENSG00000228594	1	1533392	1535476	1	1	57980	0.37212	0.3549	C1orf233
ENSG00000197530	1	1550795	1565990	2	1	28990	0.98245	0.16294	MIB2
ENSG00000248333	1	1570603	1590473	2	1	22683	0.88572	0.18788	CDK11B
ENSG00000189339	1	1592939	1624167	4	2	22683	-0.39	0.65173	SLC35E2B
ENSG00000008128	1	1634169	1655766	1	1	35297	0.2606	0.3972	CDK11A
ENSG00000215790	1	1656277	1677431	4	2	35297	-0.10063	0.54008	SLC35E2
