# ALPHA = 0.05
# NUMBER_OF_TESTS = 15481

# _SET1_  VARIABLE = Curated_gene_sets:reactome_acetylcholine_binding_and_downstream_events (set)
# _SET1_  NGENES = 14
# _SET1_  P-VALUE = 2.89171e-09
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET1_   ENSG00000160716     1  154540257  154552502     39      21  285747       1.3404     0.090053
_SET1_   ENSG00000138435     2  175612320  175629200     70      16  297943     0.061893      0.47532
_SET1_   ENSG00000135902     2  233390703  233401377     44      14  300165      0.70361      0.24084
_SET1_   ENSG00000196811     2  233404437  233411113     38      14  292338    -0.053443      0.52131
_SET1_   ENSG00000174343     4   40337346   40357234    130      17  305488     -0.44644      0.67236
_SET1_   ENSG00000120903     8   27317279   27337400    115      28  299972       1.6944     0.045092
_SET1_   ENSG00000147432     8   42552519   42592550    226      11  306982       1.1795      0.11909
_SET1_   ENSG00000147434     8   42607763   42651535    146      26  300642        4.187   1.4134e-05
_SET1_   ENSG00000175344    15   32322691   32464722    440      88  294138     -0.59285      0.72336
_SET1_   ENSG00000169684    15   78857862   78887611    121      21  296950       5.1504   1.2996e-07
_SET1_   ENSG00000080644    15   78885394   78913637    119      23  298619       6.1405   4.1123e-10
_SET1_   ENSG00000117971    15   78916461   79020096    415      56  293350       4.8673   5.6567e-07
_SET1_   ENSG00000108556    17    4801069    4806369     35      15  295100       1.3564     0.087489
_SET1_   ENSG00000101204    20   61975420   62009753    251      58  294427        6.754   7.1738e-14

# _SET2_  VARIABLE = Curated_gene_sets:reactome_highly_calcium_permeable_postsynaptic_nicotinic_acetylcholine_receptors (set)
# _SET2_  NGENES = 11
# _SET2_  P-VALUE = 2.4097e-09
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET2_   ENSG00000160716     1  154540257  154552502     39      21  285747       1.3404     0.090053
_SET2_   ENSG00000138435     2  175612320  175629200     70      16  297943     0.061893      0.47532
_SET2_   ENSG00000174343     4   40337346   40357234    130      17  305488     -0.44644      0.67236
_SET2_   ENSG00000120903     8   27317279   27337400    115      28  299972       1.6944     0.045092
_SET2_   ENSG00000147432     8   42552519   42592550    226      11  306982       1.1795      0.11909
_SET2_   ENSG00000147434     8   42607763   42651535    146      26  300642        4.187   1.4134e-05
_SET2_   ENSG00000175344    15   32322691   32464722    440      88  294138     -0.59285      0.72336
_SET2_   ENSG00000169684    15   78857862   78887611    121      21  296950       5.1504   1.2996e-07
_SET2_   ENSG00000080644    15   78885394   78913637    119      23  298619       6.1405   4.1123e-10
_SET2_   ENSG00000117971    15   78916461   79020096    415      56  293350       4.8673   5.6567e-07
_SET2_   ENSG00000101204    20   61975420   62009753    251      58  294427        6.754   7.1738e-14

# _SET3_  VARIABLE = Curated_gene_sets:reactome_highly_sodium_permeable_acetylcholine_nicotinic_receptors (set)
# _SET3_  NGENES = 7
# _SET3_  P-VALUE = 5.8324e-08
_SET3_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET3_   ENSG00000160716     1  154540257  154552502     39      21  285747       1.3404     0.090053
_SET3_   ENSG00000135902     2  233390703  233401377     44      14  300165      0.70361      0.24084
_SET3_   ENSG00000196811     2  233404437  233411113     38      14  292338    -0.053443      0.52131
_SET3_   ENSG00000080644    15   78885394   78913637    119      23  298619       6.1405   4.1123e-10
_SET3_   ENSG00000117971    15   78916461   79020096    415      56  293350       4.8673   5.6567e-07
_SET3_   ENSG00000108556    17    4801069    4806369     35      15  295100       1.3564     0.087489
_SET3_   ENSG00000101204    20   61975420   62009753    251      58  294427        6.754   7.1738e-14

# _SET4_  VARIABLE = Curated_gene_sets:reactome_highly_calcium_permeable_nicotinic_acetylcholine_receptors (set)
# _SET4_  NGENES = 9
# _SET4_  P-VALUE = 5.7691e-12
_SET4_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET4_   ENSG00000160716     1  154540257  154552502     39      21  285747       1.3404     0.090053
_SET4_   ENSG00000138435     2  175612320  175629200     70      16  297943     0.061893      0.47532
_SET4_   ENSG00000120903     8   27317279   27337400    115      28  299972       1.6944     0.045092
_SET4_   ENSG00000147432     8   42552519   42592550    226      11  306982       1.1795      0.11909
_SET4_   ENSG00000147434     8   42607763   42651535    146      26  300642        4.187   1.4134e-05
_SET4_   ENSG00000169684    15   78857862   78887611    121      21  296950       5.1504   1.2996e-07
_SET4_   ENSG00000080644    15   78885394   78913637    119      23  298619       6.1405   4.1123e-10
_SET4_   ENSG00000117971    15   78916461   79020096    415      56  293350       4.8673   5.6567e-07
_SET4_   ENSG00000101204    20   61975420   62009753    251      58  294427        6.754   7.1738e-14

# _SET5_  VARIABLE = GO_bp:go_behavioral_response_to_nicotine (set)
# _SET5_  NGENES = 7
# _SET5_  P-VALUE = 1.0275e-06
_SET5_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET5_   ENSG00000160716     1  154540257  154552502     39      21  285747       1.3404     0.090053
_SET5_   ENSG00000169684    15   78857862   78887611    121      21  296950       5.1504   1.2996e-07
_SET5_   ENSG00000080644    15   78885394   78913637    119      23  298619       6.1405   4.1123e-10
_SET5_   ENSG00000117971    15   78916461   79020096    415      56  293350       4.8673   5.6567e-07
_SET5_   ENSG00000170175    17    7348380    7361026     43      11  295533       1.8092     0.035207
_SET5_   ENSG00000101204    20   61975420   62009753    251      58  294427        6.754   7.1738e-14
