# ALPHA = 0.05
# NUMBER_OF_TESTS = 15479

# _SET1_  VARIABLE = Curated_gene_sets:dawson_methylated_in_lymphoma_tcl1 (set)
# _SET1_  NGENES = 56
# _SET1_  P-VALUE = 2.26122e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET1_   ENSG00000196581     1    4714792    4852594    862     110  618051     -0.42329      0.66396
_SET1_   ENSG00000116329     1   29138654   29190208    212      36  611337       2.9267    0.0017131
_SET1_   ENSG00000187140     1   63788730   63790797      5       3  594696       1.6884      0.04567
_SET1_   ENSG00000117114     1   81771845   82458120   3197     255  609378       1.3608     0.086787
_SET1_   ENSG00000119771     2   23608088   23931481   1493     165  617001       4.1666    1.546e-05
_SET1_   ENSG00000144283     2  159313476  159539391    935      41  613979       1.2845     0.099477
_SET1_   ENSG00000182263     2  164449906  164592522    401      76  610830       2.4482    0.0071796
_SET1_   ENSG00000198648     2  168810530  169104651   1371      83  613116       3.5691    0.0001791
_SET1_   ENSG00000174279     2  176942200  176948641     20      11  597169      0.40992      0.34093
_SET1_   ENSG00000128714     2  176957619  176960666      6       3  591531      0.61803      0.26828
_SET1_   ENSG00000079156     2  179059208  179264160    799      64  611344       2.5359    0.0056081
_SET1_   ENSG00000114790     3  153838792  153975616    485      44  609832          2.4    0.0081969
_SET1_   ENSG00000184305     4   91048686   92523064   6600     251  610377       1.2787      0.10051
_SET1_   ENSG00000138650     4  134070470  134129356    177      48  610431       1.9075     0.028228
_SET1_   ENSG00000164197     5   63461671   63668696    543      42  601405       1.5799     0.057059
_SET1_   ENSG00000184838     5  119799973  120023027   1122      86  614797    0.0065543      0.49739
_SET1_   ENSG00000054598     6    1610681    1614127      5       3  606116     -0.50745      0.69408
_SET1_   ENSG00000172201     6   19837617   19840915     19      11  605217     -0.37525      0.64626
_SET1_   ENSG00000152954     6   24126350   24155128    117      48  610239       1.1909      0.11685
_SET1_   ENSG00000112837     6   85397069   85474237    235      36  608913      0.96772      0.16659
_SET1_   ENSG00000135333     6   93949738   94129265    608      87  614307       5.3112    5.445e-08
_SET1_   ENSG00000111879     6  119280928  119470552    817      64  612246      0.52952      0.29822
_SET1_   ENSG00000146352     6  123317116  123394072    272      41  613120       1.8887     0.029467
_SET1_   ENSG00000255330     6  127759551  127840146    281      35  612733       3.3024   0.00047924
_SET1_   ENSG00000214338     6  127759551  127840500    281      35  612733       3.3024   0.00047924
_SET1_   ENSG00000203727     6  147830063  148058683   1303     102  615079      0.52512      0.29975
_SET1_   ENSG00000091831     6  151977826  152450754   2058     153  613871    -0.068815      0.52743
_SET1_   ENSG00000105996     7   27139721   27142430      6       3  601047       0.3588      0.35987
_SET1_   ENSG00000136205     7   47314752   47622156   1227     153  608267     0.031374      0.48749
_SET1_   ENSG00000081803     7  121958481  122526813   1998     110  611757       3.7203   9.9513e-05
_SET1_   ENSG00000234224     7  123670973  123673523      3       2  610563       2.3037     0.010619
_SET1_   ENSG00000164736     8   55370495   55373448      8       3  624463       1.0703      0.14225
_SET1_   ENSG00000180828     8   65492814   65496181      6       3  602650      0.15933       0.4367
_SET1_   ENSG00000079102     8   92967203   93115514    323      29  603977       6.5257   3.3849e-11
_SET1_   ENSG00000153310     8  130851839  131029375    497      69  609466     -0.23583      0.59322
_SET1_   ENSG00000153707     9    8314246   10612723  13938     632  612229       2.2159      0.01335
_SET1_   ENSG00000180447     9   89559279   89562104      6       3  610563        2.157     0.015501
_SET1_   ENSG00000122877    10   64571756   64679660    493      47  609964       2.8716    0.0020421
_SET1_   ENSG00000156599    11   57435219   57468659     81      24  602210    -0.052599      0.52097
_SET1_   ENSG00000149294    11  112831997  113149158   1408      84  608778       9.1986   1.2893e-34
_SET1_   ENSG00000102802    13   31480328   31499709     85      30  608383       -0.531      0.70229
_SET1_   ENSG00000136158    13   80910111   80915086     15       8  574538       2.1412     0.016129
_SET1_   ENSG00000182968    13  112721913  112726020     13       8  582193      0.73745      0.23042
_SET1_   ENSG00000139915    14   47308826   48144157   3398     134  612766     -0.82411      0.79506
_SET1_   ENSG00000272781    14   47311134   48143999   3394     136  612744     -0.84654      0.80137
_SET1_   ENSG00000182107    14   61744088   61748558     16       9  595850      0.43168      0.33299
_SET1_   ENSG00000066455    14   93260576   93306308    202      22  615844      0.80196      0.21129
_SET1_   ENSG00000185215    14  103589779  103603776     56      19  606291      0.21412      0.41523
_SET1_   ENSG00000038532    16   11038345   11276046   1002      57  607192      0.16158      0.43582
_SET1_   ENSG00000177508    16   54317216   54320675      6       4  589928     -0.67267      0.74942
_SET1_   ENSG00000121297    19   31765851   31840453    255      57  612336      0.87708      0.19022
_SET1_   ENSG00000101333    20    9049410    9461889   1409     142  604130     0.094347      0.46242
_SET1_   ENSG00000101230    20   13202418   13281298    425      80  612057      0.10932      0.45648
_SET1_   ENSG00000172264    20   13976015   16033842   8767     450  608517       3.3613   0.00038787
_SET1_   ENSG00000185052    20   19193290   19703581   2231     165  606179       2.6088    0.0045433
_SET1_   ENSG00000205581    21   40714241   40721573     32       7  622678       4.0525   2.5337e-05

# _SET2_  VARIABLE = Curated_gene_sets:reactome_competing_endogenous_rnas_cernas_regulate_pten_translation (set)
# _SET2_  NGENES = 8
# _SET2_  P-VALUE = 2.3243e-06
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET2_   ENSG00000134698     1   36273773   36323491    105      32  607754      0.21207      0.41603
_SET2_   ENSG00000092847     1   36335409   36395211    151      45  598624       2.2421     0.012476
_SET2_   ENSG00000126070     1   36396319   36538101    285      45  600348       1.9646     0.024732
_SET2_   ENSG00000155363     1  113215763  113243368     80      21  606963       2.0582     0.019784
_SET2_   ENSG00000123908     8  141541264  141645718    498      80  606899      0.87904      0.18969
_SET2_   ENSG00000090905    16   24741016   24838953    345      43  591087       4.8817   5.2598e-07
_SET2_   ENSG00000078687    17   76000249   76104916    353      43  614199       2.5966    0.0047073
_SET2_   ENSG00000100354    22   40440821   40731812    875      46  594294       5.5602   1.3475e-08

# _SET3_  VARIABLE = GO_bp:go_neuron_development (set)
# _SET3_  NGENES = 1036
# _SET3_  P-VALUE = 6.52e-09
_SET3_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET3_   ENSG00000188157     1     955503     991496    205      40  593637      0.91979      0.17884
_SET3_   ENSG00000131584     1    1227756    1244989     85      24  590003    -0.097661       0.5389
_SET3_   ENSG00000107404     1    1270656    1284730     60      20  603087      0.83061       0.2031
_SET3_   ENSG00000067606     1    1981909    2116834    625      55  603954       0.1571      0.43758
_SET3_   ENSG00000157933     1    2160134    2241558    365      83  609789       1.5361     0.062261
_SET3_   ENSG00000197921     1    2460184    2461684      6       4  612167       1.4444     0.074317
_SET3_   ENSG00000131697     1    5922871    6052533    567      37  610878      -1.2789      0.89953
_SET3_   ENSG00000142599     1    8412457    8877702   1060      52  610703       5.5934   1.1136e-08
_SET3_   ENSG00000171608     1    9711790    9789172    290      54  590593       1.4032     0.080283
_SET3_   ENSG00000130939     1   10092890   10241297    498      46  602059      0.13158      0.44766
_SET3_   ENSG00000198793     1   11166592   11322564    473      23  608512     -0.49185      0.68859
_SET3_   ENSG00000162490     1   11751786   11785914    147      41  604277    -0.021454      0.50856
_SET3_   ENSG00000142627     1   16450832   16482582    100      33  606945     -0.60091      0.72605
_SET3_   ENSG00000158747     1   19967048   19984945     85      31  610269     -0.46107      0.67763
_SET3_   ENSG00000090432     1   20825943   20834654     41      17  600321       1.0471      0.14753
_SET3_   ENSG00000076864     1   21922708   21995801    333      60  620312       2.3194     0.010186
_SET3_   ENSG00000070831     1   22379120   22419437    153      33  601273     -0.11523      0.54587
_SET3_   ENSG00000070886     1   22890057   22930087    181      37  618498       1.2647      0.10299
_SET3_   ENSG00000173372     1   22962999   22966101     10       5  594696     0.069285      0.47238
_SET3_   ENSG00000133216     1   23037332   23241818    785     115  602094      0.32071      0.37421
_SET3_   ENSG00000004487     1   23345941   23410182    116      23  609041      -0.8252      0.79537
_SET3_   ENSG00000011009     1   24117460   24122029      7       4  578365       -1.049      0.85291
_SET3_   ENSG00000020633     1   25226002   25291612    220      59  600636      -0.1553      0.56171
_SET3_   ENSG00000117632     1   26210672   26233482     41      11  613372      0.70406       0.2407
_SET3_   ENSG00000020129     1   36023074   36032875     25       9  619844      -1.3519      0.91179
_SET3_   ENSG00000183317     1   38179552   38230805    243      35  618000     0.093834      0.46262
_SET3_   ENSG00000127603     1   39546988   39952849   1231      58  603704      0.87665      0.19034
_SET3_   ENSG00000131238     1   40538379   40563375    112      17  617672      0.79573       0.2131
_SET3_   ENSG00000204060     1   41827594   41849262     80      23  614333      0.55551      0.28927
_SET3_   ENSG00000117385     1   43212006   43232755     69      26  609495      0.18528       0.4265
_SET3_   ENSG00000117399     1   43824626   43828874      7       4  623271       2.6303    0.0042656
_SET3_   ENSG00000198198     1   43855553   43918321    155      26  607982       4.6841    1.406e-06
_SET3_   ENSG00000142949     1   43990858   44089343    417      37  598962       8.1192   2.3459e-16
_SET3_   ENSG00000117407     1   44398992   44402913     14       7  623958       3.9288   4.2693e-05
_SET3_   ENSG00000162415     1   45482071   45771881    773      42  607415     -0.90639      0.81763
_SET3_   ENSG00000157193     1   53711217   53793742    291      50  610919     0.047994      0.48086
_SET3_   ENSG00000173406     1   57460451   59012406   6560     367  611927       5.4351   2.7387e-08
_SET3_   ENSG00000177606     1   59246465   59249785      4       2  570896     -0.66278      0.74627
_SET3_   ENSG00000116641     1   62920399   63153969    538      29  603297     -0.68363      0.75289
_SET3_   ENSG00000116745     1   68894505   68915642     80      17  619101       1.7565     0.039499
_SET3_   ENSG00000033122     1   70034081   70617628   2143     113  613857      0.72811      0.23327
_SET3_   ENSG00000172260     1   71861623   72748417   2760     163  608929       6.2507   2.0428e-10
_SET3_   ENSG00000162624     1   75594119   75627218    105      31  589235       1.9773     0.024002
_SET3_   ENSG00000077254     1   78161672   78225537    151      44  607599       2.6063     0.004577
_SET3_   ENSG00000162614     1   78354198   78409580    158      41  604774      0.15152      0.43978
_SET3_   ENSG00000171517     1   85277285   85358896    368      70  612636     -0.31165      0.62234
_SET3_   ENSG00000143032     1   91177096   91182794     18      12  601047      0.93424      0.17509
_SET3_   ENSG00000162676     1   92940319   92952433     44      17  594040      0.79107      0.21445
_SET3_   ENSG00000117598     1   99355806   99470588    571      66  614269       2.7718     0.002787
_SET3_   ENSG00000117600     1   99729509   99775146    188      40  610294      0.59167      0.27704
_SET3_   ENSG00000118733     1  102268130  102462586    933     118  611999      0.62112      0.26726
_SET3_   ENSG00000162631     1  107682629  108026080   1141     110  614612     0.077782        0.469
_SET3_   ENSG00000143126     1  109792641  109818372    102      26  610599     -0.45963      0.67711
_SET3_   ENSG00000181754     1  110046797  110052360     14       7  615114      -1.7634      0.96108
_SET3_   ENSG00000134183     1  110145889  110155679     31      13  610680      0.86763       0.1928
_SET3_   ENSG00000116473     1  112084840  112259313    707      65  617957       5.1074   1.6335e-07
_SET3_   ENSG00000155363     1  113215763  113243368     80      21  606963       2.0582     0.019784
_SET3_   ENSG00000198799     1  113615831  113674882    154      33  613248     -0.89693      0.81512
_SET3_   ENSG00000134198     1  115590632  115632121    196      35  621140       0.9146       0.1802
_SET3_   ENSG00000134259     1  115828539  115880857    236      54  615923      -1.6003      0.94524
_SET3_   ENSG00000092621     1  120202421  120286838    276      43  607986      -1.8658      0.96897
_SET3_   ENSG00000143418     1  150933059  150947479     50      15  610630       1.3532     0.088001
_SET3_   ENSG00000143434     1  151104161  151119104     65      17  606712       2.2525     0.012147
_SET3_   ENSG00000163220     1  153330330  153333503      7       5  596000      0.67667      0.24931
_SET3_   ENSG00000197956     1  153507075  153508720      6       3  579201      0.41125      0.34044
_SET3_   ENSG00000143553     1  153631130  153634306      8       4  583921     -0.52531      0.70032
_SET3_   ENSG00000143545     1  153954127  153958834      6       4  589928       1.3105     0.095018
_SET3_   ENSG00000160716     1  154540257  154552502     37      20  603439       4.9993   2.8772e-07
_SET3_   ENSG00000160691     1  154934774  154946871     25       9  599264      0.15447      0.43862
_SET3_   ENSG00000243364     1  155036207  155042029      9       5  597875       2.1398     0.016185
_SET3_   ENSG00000251246     1  155036224  155059283     49      18  614770       2.9303    0.0016934
_SET3_   ENSG00000143590     1  155036224  155060014     51      18  615477       2.8609    0.0021125
_SET3_   ENSG00000169242     1  155099936  155107333     24      11  603426       4.0842   2.2117e-05
_SET3_   ENSG00000163462     1  155145873  155157447     28      16  602501       3.9879   3.3335e-05
_SET3_   ENSG00000196189     1  156117157  156147543     76      22  610475       1.0746      0.14128
_SET3_   ENSG00000143320     1  156669398  156675608     23      12  601731     0.076791      0.46939
_SET3_   ENSG00000198400     1  156785432  156851642    242      63  605095     -0.19991      0.57923
_SET3_   ENSG00000163554     1  158580496  158656488    323      46  595100     -0.73995      0.77034
_SET3_   ENSG00000085552     1  159896829  159915386     80      23  621728      0.12352      0.45085
_SET3_   ENSG00000162738     1  160370376  160398468     87      22  613119      -1.3327      0.90869
_SET3_   ENSG00000143258     1  161129240  161135513     11       6  608508      -1.3291      0.90808
_SET3_   ENSG00000152332     1  162467041  162499419    111      12  610481      -1.1055      0.86553
_SET3_   ENSG00000162761     1  165171104  165325952    673      83  611877     -0.46611      0.67943
_SET3_   ENSG00000116132     1  170631869  170708560    201      48  606787      -1.5048      0.93381
_SET3_   ENSG00000034971     1  171604557  171621823     85      16  619267      0.66546      0.25288
_SET3_   ENSG00000197959     1  171810621  172387606   1937     120  607744       1.7081     0.043811
_SET3_   ENSG00000120332     1  175036994  175117202    395      49  614786      0.52138      0.30105
_SET3_   ENSG00000116147     1  175284330  175712906   1841     192  610042       1.1077        0.134
_SET3_   ENSG00000143322     1  179068462  179198819    418      42  610786       1.5811     0.056932
_SET3_   ENSG00000121454     1  180199421  180249380    276      63  617449       2.2119     0.013487
_SET3_   ENSG00000116741     1  192778169  192781403      4       2  632802     -0.16366        0.565
_SET3_   ENSG00000134376     1  197170592  197447585    695      86  597646       1.3243     0.092708
_SET3_   ENSG00000143355     1  197881037  197904608     73      23  616610       2.3323    0.0098414
_SET3_   ENSG00000118200     1  200708686  200829832    373      39  603072     -0.31311       0.6229
_SET3_   ENSG00000143858     1  202559724  202679545    426      74  609136     -0.28287      0.61136
_SET3_   ENSG00000159388     1  203274619  203278730      8       4  617325      -1.4884      0.93167
_SET3_   ENSG00000163531     1  204797779  204991950    925      83  607723       0.5935      0.27642
_SET3_   ENSG00000184144     1  205012325  205047627    173      30  617512      0.62714      0.26528
_SET3_   ENSG00000117280     1  205737114  205744588     35      11  618092       2.2823     0.011236
_SET3_   ENSG00000163486     1  206516200  206637783    236      29  618264      0.37127      0.35522
_SET3_   ENSG00000076356     1  208195587  208417665    911      98  612001       2.9961    0.0013675
_SET3_   ENSG00000092969     1  218519577  218617961    328      69  611216     -0.54518      0.70719
_SET3_   ENSG00000116141     1  220701568  220837803    368      31  611170      0.68169      0.24772
_SET3_   ENSG00000154380     1  225674537  225840844    498      31  611279     -0.30494      0.61979
_SET3_   ENSG00000154342     1  228194752  228248961    170      34  610177       1.0463      0.14771
_SET3_   ENSG00000143761     1  228270361  228286912     44      16  605523      0.68555       0.2465
_SET3_   ENSG00000135744     1  230838269  230850043     72      19  618930      0.27829      0.39039
_SET3_   ENSG00000119283     1  231297858  231357302    245      48  616266      -1.0747      0.85875
_SET3_   ENSG00000116984     1  236958610  237067281    392      30  613432     -0.14121      0.55615
_SET3_   ENSG00000189292     2     279558     288851     29      11  593701       2.6455    0.0040788
_SET3_   ENSG00000186487     2    1792885    2335032   2325     173  609201       3.7805   7.8257e-05
_SET3_   ENSG00000115738     2    8818975    8824583     13       7  608622     0.069401      0.47234
_SET3_   ENSG00000134313     2    8865408    8977760    351      48  600518       1.1488      0.12531
_SET3_   ENSG00000143869     2   20866424   20873418     20       5  610945       1.0659      0.14323
_SET3_   ENSG00000119782     2   24272571   24286551     48      18  600831     -0.30084      0.61823
_SET3_   ENSG00000198399     2   24425733   24583583    460      35  612724      -1.1936      0.88368
_SET3_   ENSG00000084733     2   26256976   26360323    358      27  602401      0.80793      0.20957
_SET3_   ENSG00000157851     2   27070615   27173219    276      31  596975      -1.2994       0.9031
_SET3_   ENSG00000163794     2   27530268   27531313      1       1  566086       1.6192       0.0527
_SET3_   ENSG00000179270     2   29283842   29297127     92      19  604843       2.1584     0.015449
_SET3_   ENSG00000171094     2   29415640   30144432   3634     215  611710       1.9086     0.028158
_SET3_   ENSG00000021574     2   32288680   32382706    333      33  609650       4.2804     9.33e-06
_SET3_   ENSG00000171055     2   36778570   36873230    465      51  609731     0.096999      0.46136
_SET3_   ENSG00000115808     2   37070783   37193615    483      44  611126     -0.15685      0.56232
_SET3_   ENSG00000115904     2   39208537   39351486    449      28  608207       2.6632    0.0038698
_SET3_   ENSG00000179915     2   50145643   51259674   4890     206  612410       4.8028   7.8215e-07
_SET3_   ENSG00000115306     2   54683422   54896812    991      56  602558       1.9787     0.023924
_SET3_   ENSG00000115310     2   55199325   55339757    616      57  609748       2.9185    0.0017585
_SET3_   ENSG00000115355     2   55514978   55647057    657      32  605361       1.2783      0.10057
_SET3_   ENSG00000119866     2   60678302   60780702    269      65  602284       3.0468    0.0011565
_SET3_   ENSG00000170340     2   62423248   62451866     89      31  601229     -0.94215      0.82694
_SET3_   ENSG00000143951     2   63348518   64054977   2138      60  610014         4.38   5.9342e-06
_SET3_   ENSG00000138071     2   65454887   65498387    157      26  612256     -0.95147      0.82932
_SET3_   ENSG00000116035     2   71127720   71160576    139      35  612736     -0.76476      0.77779
_SET3_   ENSG00000135638     2   73143389   73162020     40      19  600628       2.6173    0.0044317
_SET3_   ENSG00000114956     2   74153953   74186088    111      17  618807      -0.6258      0.73428
_SET3_   ENSG00000115297     2   74740590   74744274      3       2  610563      -0.2658       0.6048
_SET3_   ENSG00000115317     2   74756504   74760472      6       4  589928      0.85394      0.19657
_SET3_   ENSG00000115325     2   74776153   74784681     22       9  606367     -0.24337      0.59614
_SET3_   ENSG00000135622     2   74881355   74909186     74      19  578471       1.1889      0.11724
_SET3_   ENSG00000115386     2   79347488   79350545     19       9  615751      0.31134      0.37777
_SET3_   ENSG00000066032     2   79412357   80875905   6484     407  612186       4.8712   5.5453e-07
_SET3_   ENSG00000168758     2   97525453   97536494     21      11  568621      0.44007      0.32994
_SET3_   ENSG00000071054     2  102313312  102511149    571      46  600199      0.74983      0.22668
_SET3_   ENSG00000071051     2  106361354  106510730    715      52  615113         1.09      0.13787
_SET3_   ENSG00000114999     2  113239731  113299316    183      32  615361       3.3236   0.00044433
_SET3_   ENSG00000163064     2  119599747  119605254     15      10  585159      0.57551      0.28247
_SET3_   ENSG00000074047     2  121493199  121750229   1048     125  609605      0.82107       0.2058
_SET3_   ENSG00000136720     2  128994290  129076151    397      68  618199          1.5     0.066803
_SET3_   ENSG00000121966     2  136871919  136875735     10       5  590278      0.26551      0.39531
_SET3_   ENSG00000169554     2  145141648  145282147    320      79  604734       1.5687     0.058355
_SET3_   ENSG00000168280     2  149632819  149883273    485      37  586231      -0.1703      0.56761
_SET3_   ENSG00000153234     2  157180944  157198860     23      10  606680     -0.34213      0.63387
