GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000269831	1	738532	739137	1	1	315894	2.3285	0.009943	AL669831.1
ENSG00000269308	1	818043	819983	4	2	315894	-0.15274	0.5607	AL645608.2
ENSG00000187634	1	860260	879955	99	27	315894	-0.66249	0.74617	SAMD11
ENSG00000268179	1	861264	866445	34	11	315894	-1.1942	0.8838	AL645608.1
ENSG00000188976	1	879584	894689	73	16	315894	0.32526	0.37249	NOC2L
ENSG00000187961	1	895967	901095	24	6	315894	0.42214	0.33646	KLHL17
ENSG00000187583	1	901877	911245	50	26	315894	0.34799	0.36392	PLEKHN1
ENSG00000187642	1	910579	917497	32	10	315894	1.3113	0.094872	C1orf170
ENSG00000188290	1	934342	935552	4	2	315894	-1.9001	0.97129	HES4
ENSG00000187608	1	948803	949920	6	2	315894	-0.61978	0.7323	ISG15
ENSG00000188157	1	955503	991496	195	36	315894	-1.5228	0.9361	AGRN
ENSG00000237330	1	1006346	1009687	14	6	315894	-0.83971	0.79946	RNF223
ENSG00000131591	1	1017198	1051741	150	25	315894	-1.6172	0.94709	C1orf159
ENSG00000162571	1	1109264	1133315	164	26	315894	1.6105	0.05364	TTLL10
ENSG00000186891	1	1138888	1142071	14	4	315894	1.7693	0.038418	TNFRSF18
ENSG00000186827	1	1146706	1149518	12	6	315894	0.01868	0.49255	TNFRSF4
ENSG00000078808	1	1152288	1167411	112	9	315894	-0.31825	0.62485	SDF4
ENSG00000176022	1	1167629	1170421	10	3	315894	0.32423	0.37288	B3GALT6
ENSG00000184163	1	1177826	1182102	14	4	315894	0.81252	0.20825	FAM132A
ENSG00000160087	1	1189289	1209265	72	15	315894	1.741	0.040846	UBE2J2
ENSG00000162572	1	1215816	1227409	51	19	315894	1.5513	0.060419	SCNN1D
ENSG00000131584	1	1227756	1244989	68	19	315894	1.2582	0.10416	ACAP3
ENSG00000169972	1	1243947	1247057	6	4	315894	0.9036	0.1831	PUSL1
ENSG00000127054	1	1246965	1260071	30	11	315894	1.6086	0.053856	CPSF3L
ENSG00000224051	1	1260136	1264277	18	6	315894	1.3085	0.095346	GLTPD1
