GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
1	rs10753661	1	165119792	rs10753661	2019-03-28	30643251	Liu M	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643251	Association studies of up to 1.2 million individuals yield new insights into the genetic etiology of tobacco and alcohol use.	Alcohol consumption (drinks per week)	up to 941,280 European ancestry individuals	NA	1q23.3	NR	RNU6-755P - LMX1A	ENSG00000201270	ENSG00000162761		170418	51312	rs10753661-A	rs10753661	0	10753661	intergenic_variant	1	0.684	4E-8	7.3979400086720375		0.008638128	[0.0056-0.0117] unit decrease	NR [~ 10000000] (imputed)	N
1	rs10753661	1	165119792	rs10753661	2019-03-28	30643251	Liu M	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643251	Association studies of up to 1.2 million individuals yield new insights into the genetic etiology of tobacco and alcohol use.	Alcohol consumption (drinks per week) (MTAG)	up to 1,039,210 European ancestry individuals	NA	1q23.3	NR	RNU6-755P - LMX1A	ENSG00000201270	ENSG00000162761		170418	51312	rs10753661-A	rs10753661	0	10753661	intergenic_variant	1	0.684	6E-9	8.221848749616356		0.00824938	[0.0055-0.011] unit decrease	NR [~ 9732723] (imputed)	N
2	rs28680958	1	173848808	rs28680958	2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Depressive symptoms	1,067,913 European ancestry individuals	228,033 European ancestry individuals	1q25.1	NR	ZBTB37			ENSG00000185278			rs28680958-A	rs28680958	0	28680958	intron_variant	0	0.216767090768648	3E-8	7.522878745280337		0.006313394	[0.0041-0.0085] unit decrease	NR [NR]	N
2	rs28680958	1	173848808	rs28680958	2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	1q25.1	NR	ZBTB37			ENSG00000185278			rs28680958-A	rs28680958	0	28680958	intron_variant	0	0.216767090768648	3E-8	7.522878745280337		0.009903482	[0.0064-0.0134] unit decrease	NR [NR]	N
2	rs28680958	1	173848808	rs28680958	2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Positive affect	410,603 European ancestry individuals	NA	1q25.1	NR	ZBTB37			ENSG00000185278			rs28680958-A	rs28680958	0	28680958	intron_variant	0	0.216767090768648	4E-8	7.3979400086720375		0.007578531	[0.0049-0.0103] unit decrease	NR [NR]	N
2	rs28680958	1	173848808	rs28680958	2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Well-being spectrum (multivariate analysis)	2,083,151 European ancestry individuals	287,239 European ancestry individuals	1q25.1	NR	ZBTB37			ENSG00000185278			rs28680958-A	rs28680958	0	28680958	intron_variant	0	0.216767090768648	3E-8	7.522878745280337		0.0061734323	[0.004-0.0084] unit decrease	NR [NR]	N
2	rs28680958	1	173848808	rs28680958	2019-03-28	30643251	Liu M	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643251	Association studies of up to 1.2 million individuals yield new insights into the genetic etiology of tobacco and alcohol use.	Alcohol consumption (drinks per week)	up to 941,280 European ancestry individuals	NA	1q25.1	NR	ZBTB37			ENSG00000185278			rs28680958-A	rs28680958	0	28680958	intron_variant	0	0.217	5E-10	9.301029995663981		0.010996457	[0.0075-0.0145] unit decrease	NR [~ 10000000] (imputed)	N
2	rs28680958	1	173848808	rs28680958	2019-03-28	30643251	Liu M	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643251	Association studies of up to 1.2 million individuals yield new insights into the genetic etiology of tobacco and alcohol use.	Alcohol consumption (drinks per week) (MTAG)	up to 1,039,210 European ancestry individuals	NA	1q25.1	NR	ZBTB37			ENSG00000185278			rs28680958-A	rs28680958	0	28680958	intron_variant	0	0.217	7E-13	12.154901959985743		0.0114771	[0.0083-0.0146] unit decrease	NR [~ 9732723] (imputed)	N
2	rs28680958	1	173868955	rs6691053	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Heel bone mineral density	approximately 446,000 European ancestry individuals	NA	1q25.1		ZBTB37			ENSG00000185278			rs6691053-?	rs6691053	0	6691053	3_prime_UTR_variant	0	NR	5E-13	12.301029995663981				NR [~ 8900000] (imputed)	N
3	rs4665966	2	27424636	rs1395	2014-12-10	24816252	Shin SY	2014-05-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24816252	An atlas of genetic influences on human blood metabolites.	Blood metabolite levels	7,824 European ancestry individuals	NA	2p23.3	SLC5A6	SLC5A6			ENSG00000138074			rs1395-A	rs1395	0	1395	missense_variant	0	0.7	8E-11	10.096910013008056	(pantothenate)	0.017	[0.011-0.023] unit increase	Affymetrix, Illumina [2100000] (imputed)	N
