GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000269831	1	738532	739137	1	1	183019	-0.69988	0.758	AL669831.1
ENSG00000269308	1	818043	819983	6	4	198762	-0.58856	0.72192	AL645608.2
ENSG00000187634	1	860260	879955	118	33	234313	-0.86739	0.80714	SAMD11
ENSG00000268179	1	861264	866445	40	14	232461	-0.96139	0.83182	AL645608.1
ENSG00000188976	1	879584	894689	97	23	236728	0.64604	0.25913	NOC2L
ENSG00000187961	1	895967	901095	31	10	237195	0.61177	0.27034	KLHL17
ENSG00000187583	1	901877	911245	58	30	242953	-0.29095	0.61445	PLEKHN1
ENSG00000187642	1	910579	917497	38	13	249257	-1.6158	0.94693	C1orf170
ENSG00000188290	1	934342	935552	5	2	247222	-1.0428	0.85147	HES4
ENSG00000187608	1	948803	949920	9	4	241023	0.10147	0.45959	ISG15
ENSG00000188157	1	955503	991496	216	42	239388	1.2282	0.10969	AGRN
ENSG00000237330	1	1006346	1009687	15	7	246058	0.25456	0.39953	RNF223
ENSG00000131591	1	1017198	1051741	162	29	248671	-1.5777	0.94268	C1orf159
ENSG00000162571	1	1109264	1133315	173	29	254896	-0.628	0.735	TTLL10
ENSG00000186891	1	1138888	1142071	18	7	238038	-0.7094	0.76096	TNFRSF18
ENSG00000186827	1	1146706	1149518	12	6	250692	-0.67825	0.75119	TNFRSF4
ENSG00000078808	1	1152288	1167411	128	12	249247	-1.0041	0.84233	SDF4
ENSG00000176022	1	1167629	1170421	12	5	252719	0.046115	0.48161	B3GALT6
ENSG00000184163	1	1177826	1182102	20	7	246894	0.36693	0.35683	FAM132A
ENSG00000160087	1	1189289	1209265	78	18	248619	0.99725	0.15932	UBE2J2
ENSG00000162572	1	1215816	1227409	58	24	249793	0.94162	0.17319	SCNN1D
ENSG00000131584	1	1227756	1244989	85	24	235257	0.86319	0.19402	ACAP3
ENSG00000169972	1	1243947	1247057	10	7	232933	2.4467	0.0072089	PUSL1
ENSG00000127054	1	1246965	1260071	43	19	232061	2.4825	0.0065238	CPSF3L
ENSG00000224051	1	1260136	1264277	18	6	244702	1.8872	0.029567	GLTPD1
ENSG00000169962	1	1266694	1270686	25	12	232234	0.6508	0.25759	TAS1R3
ENSG00000107404	1	1270656	1284730	60	20	244490	1.3059	0.095795	DVL1
ENSG00000162576	1	1288069	1297157	44	13	242870	1.5192	0.064362	MXRA8
ENSG00000175756	1	1309110	1310875	11	4	252798	-0.32196	0.62626	AURKAIP1
ENSG00000221978	1	1321091	1334708	41	21	236557	1.3256	0.092489	CCNL2
ENSG00000224870	1	1334902	1337426	12	5	254401	1.3674	0.085746	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	20	9	232130	0.92921	0.17639	MRPL20
ENSG00000235098	1	1353800	1357149	15	8	251817	-0.081233	0.53237	ANKRD65
ENSG00000205116	1	1361508	1363167	8	3	263954	1.7235	0.042401	TMEM88B
ENSG00000179403	1	1370241	1378262	28	10	240118	1.2549	0.10475	VWA1
ENSG00000215915	1	1385069	1405538	106	26	240240	0.7632	0.22267	ATAD3C
ENSG00000160072	1	1407143	1433228	128	21	245833	0.65783	0.25532	ATAD3B
ENSG00000197785	1	1447531	1470067	113	29	244981	0.75927	0.22384	ATAD3A
ENSG00000205090	1	1470554	1475833	15	8	244003	0.1248	0.45034	TMEM240
ENSG00000160075	1	1477053	1510249	135	23	249775	0.14804	0.44116	SSU72
ENSG00000215014	1	1510355	1511373	3	1	263954	0.35792	0.3602	AL645728.1
ENSG00000228594	1	1533392	1535476	5	3	243186	-1.8826	0.97012	C1orf233
ENSG00000197530	1	1550795	1565990	52	15	251381	-1.152	0.87534	MIB2
ENSG00000248333	1	1570603	1590473	26	7	233399	-1.0682	0.85728	CDK11B
ENSG00000189339	1	1592939	1624167	84	25	248236	-0.2498	0.59863	SLC35E2B
ENSG00000008128	1	1634169	1655766	55	7	249808	0.25245	0.40035	CDK11A
ENSG00000215790	1	1656277	1677431	57	19	249307	2.5222	0.0058309	SLC35E2
ENSG00000008130	1	1682671	1711896	111	24	248348	2.9904	0.0013932	NADK
ENSG00000078369	1	1716729	1822495	283	50	242169	2.3119	0.01039	GNB1
ENSG00000169885	1	1846266	1848735	13	4	258591	2.8336	0.0023013	CALML6
