ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000160716	CHRNB2	1	154540257	154552502	1	protein_coding	1141	CHRNB2	0.720254345017317	-0.35158637	7	12.38	1.71e-12	rs2072659;rs4292956	1
ENSG00000160710	ADAR	1	154554538	154600475	-1	protein_coding	103	ADAR	0.907595373477161	-0.566599759	12	12.38	1.71e-12	rs2072659;rs4292956	1
ENSG00000268141	AL606500.1	1	154585067	154585190	1	protein_coding	NA	NA	NA	NA	3	5.93	5e-08	rs4292956	1
ENSG00000154822	PLCL2	3	16844159	17132086	1	protein_coding	23228	PLCL2	0.999118779774419	NA	46	11.88	1.22e-08	rs2084533	2
ENSG00000213672	NCKIPSD	3	48701364	48723797	-1	protein_coding	51517	NCKIPSD	0.00713136165785669	-0.551018211	7	16.5	5.45e-09	rs7431710	3
ENSG00000068745	IP6K2	3	48725436	48777786	-1	protein_coding	51447	IP6K2	0.989457702873501	-0.392798697	20	16.5	3.03e-09	rs7431710	3
ENSG00000114302	PRKAR2A	3	48782030	48885279	-1	protein_coding	5576	PRKAR2A	0.983250575891508	-2.868402322	38	11.45	2.72e-09	rs7431710	3
ENSG00000178537	SLC25A20	3	48894369	48936426	-1	protein_coding	788	SLC25A20	2.04566835698354e-07	-0.773546303	31	11.65	1.82e-09	rs7431710	3
ENSG00000221883	ARIH2OS	3	48955221	48956818	-1	protein_coding	646450	ARIH2OS	0.437613435241329	-0.628345895	12	11.63	2.13e-09	rs7431710	3
ENSG00000177479	ARIH2	3	48956254	49023815	1	protein_coding	10425	ARIH2	0.987412494790781	-1.699919822	38	11.63	1.89e-09	rs7431710	3
ENSG00000178467	P4HTM	3	49027319	49044587	1	protein_coding	54681	P4HTM	0.0232749358306657	NA	8	13.01	2.84e-09	rs7431710	3
ENSG00000178252	WDR6	3	49044495	49053386	1	protein_coding	11180	WDR6	9.19647551585082e-07	-0.058949543	5	13.01	2.84e-09	rs7431710	3
ENSG00000178149	DALRD3	3	49052921	49059726	-1	protein_coding	55152	DALRD3	1.84813920683629e-05	0.072306759	3	13.01	3.7e-09	rs7431710	3
ENSG00000178057	NDUFAF3	3	49057892	49060928	1	protein_coding	25915	NDUFAF3	4.85972513641338e-05	-2.090068809	1	8.161	4.88e-09	rs7431710	3
ENSG00000178035	IMPDH2	3	49061758	49066841	-1	protein_coding	3615	IMPDH2	0.00135316628366044	-0.509342888	5	8.161	4.39e-09	rs7431710	3
ENSG00000198218	QRICH1	3	49067140	49131796	-1	protein_coding	54870	QRICH1	0.996069748046578	-0.27929443	22	6.234	3.27e-09	rs7431710	3
ENSG00000172053	QARS	3	49133365	49142553	-1	protein_coding	5859	QARS	8.78969829865226e-08	-0.634755548	8	6.234	3.27e-09	rs7431710	3
ENSG00000172046	USP19	3	49145479	49158371	-1	protein_coding	10869	USP19	0.999991981492882	-0.429632772	7	21.3	3.5e-09	rs7431710	3
ENSG00000172037	LAMB2	3	49158547	49170551	-1	protein_coding	3913	LAMB2	7.45006902753361e-11	-0.451081722	5	21.3	3.46e-08	rs7431710	3
ENSG00000177352	CCDC71	3	49199968	49203754	-1	protein_coding	64925	CCDC71	0.0169896394893115	NA	13	10.2	1.16e-07	rs7431710	3
ENSG00000185909	KLHDC8B	3	49209044	49213917	1	protein_coding	200942	KLHDC8B	0.010421420264697	-0.077352225	8	10.2	1.42e-07	rs7431710	3
ENSG00000236980	C3orf84	3	49215065	49229291	-1	protein_coding	646498	C3orf84	0.000221291799515334	0.059049684	12	15.24	1.31e-07	rs7431710	3
ENSG00000173421	CCDC36	3	49235861	49295537	1	protein_coding	339834	CCDC36	0.509348612076541	-0.452712817	20	15.24	1.03e-07	rs7431710	3
ENSG00000225399	RP11-3B7.1	3	49297518	49298744	1	protein_coding	NA	NA	NA	NA	2	0.945	1.06e-07	rs7431710	3
ENSG00000188315	C3orf62	3	49306035	49315342	-1	protein_coding	375341	C3orf62	0.00712465933483595	-1.950313785	1	0.097	1.29e-07	rs7431710	3
ENSG00000114316	USP4	3	49315264	49378145	-1	protein_coding	7375	USP4	6.20193619608728e-07	NA	1	4.67	2.66e-08	rs7431710	3
ENSG00000173402	DAG1	3	49506146	49573048	1	protein_coding	1605	DAG1	0.940921791331691	-0.838742424	1	4.228	NA	rs7431710	3
ENSG00000168298	HIST1H1E	6	26156559	26157343	1	protein_coding	3008	HIST1H1E	NA	-0.396521589	1	0	NA	rs7766641	6
ENSG00000158373	HIST1H2BD	6	26158349	26171577	1	protein_coding	3017	HIST1H2BD	0.000277979441009119	-0.015297657	2	3.34	4.36e-08	rs7766641	6
ENSG00000197697	HIST1H2BE	6	26183958	26184454	1	protein_coding	8344	HIST1H2BE	0.000307871828087192	0.445738376	5	22.4	3.2e-08	rs7766641;rs806798	6
ENSG00000188987	HIST1H4D	6	26188938	26189304	-1	protein_coding	8360	HIST1H4D	0.00226430020608533	0.870145303	7	22.4	3.2e-08	rs7766641;rs806798	6
ENSG00000197409	HIST1H3D	6	26197068	26199521	-1	protein_coding	8351	HIST1H3D	0.011195071454157	NA	11	21.1	3.78e-08	rs806798;rs7766641	6
ENSG00000196866	HIST1H2AD	6	26199079	26199471	-1	protein_coding	3013	HIST1H2AD	3.99677268819075e-05	0.28775859	10	21.1	3.78e-08	rs806798;rs7766641	6
ENSG00000197846	HIST1H2BF	6	26199748	26200942	1	protein_coding	8343	HIST1H2BF	0.000300020472922898	0.851062902	9	21.1	3.78e-08	rs806798;rs7766641	6
ENSG00000198518	HIST1H4E	6	26204858	26206266	1	protein_coding	8367	HIST1H4E	0.000642250549090646	1.835781936	11	21.1	2.48e-08	rs806798;rs7766641	6
ENSG00000187990	HIST1H2BG	6	26216428	26216872	-1	protein_coding	8339	HIST1H2BG	2.94452400546665e-06	0.025345178	6	10.82	2.48e-08	rs7766641;rs806798	6
ENSG00000168274	HIST1H2AE	6	26217165	26217711	1	protein_coding	3012	HIST1H2AE	0.62412365369502	-0.273878285	6	10.82	2.48e-08	rs7766641;rs806798	6
ENSG00000196966	HIST1H3E	6	26225383	26225844	1	protein_coding	8353	HIST1H3E	0.000813428842528686	-0.20979509	4	3.863	2.5e-08	rs806798;rs7766641	6
ENSG00000124575	HIST1H1D	6	26234440	26235216	-1	protein_coding	3007	HIST1H1D	NA	0.136123163	5	4.068	2.5e-08	rs7766641;rs806798	6
ENSG00000198327	HIST1H4F	6	26240561	26240976	1	protein_coding	8361	HIST1H4F	0.181985150966619	1.063119385	3	4.068	5.56e-08	rs7766641	6
ENSG00000124578	HIST1H4G	6	26246886	26247259	-1	protein_coding	8369	HIST1H4G	0.00262999657981332	-0.050940889	5	7.216	5.56e-08	rs7766641;rs806798	6
ENSG00000256316	HIST1H3F	6	26250370	26250835	-1	protein_coding	8968	HIST1H3F	0.042215361750485	-0.181854433	4	7.216	7.14e-07	rs806798;rs7766641	6
